NORTH TRAILER												
001 B	1/2/2010	7.49222										
002 P	1/2/2010	7.49222	DWW	WLP								
003 V	1/2/2010	7.49222	3	3								
004 S	1/2/2010	7.83694	1	276	0.99	2	1	DWW	WLP	3	3	
005 S	1/2/2010	7.93167	1	270	1.31	1.4	1	DWW	WLP	3	3	 
006 S	1/2/2010	8.19667	1	253	0.99	2	1	DWW	WLP	3	3	
007 S	1/2/2010	8.38056	1	236	0.96	2.1	1	DWW	WLP	3	3	
008 S	1/2/2010	8.50083	1	212	0.92	2.2	1	DWW	WLP	3	3	
009 V	1/2/2010	8.56611	3	2								
010 S	1/2/2010	8.88194	2	270	2.33	0.6	5	DWW	WLP	3	2	
011 P	1/2/2010	9.0175	AdV	DWW								
012 V	1/2/2010	9.0175	3	2								
013 S	1/2/2010	9.07028	2	248	2.33	0.6	6	AdV	DWW	3	2	
014 S	1/2/2010	9.20556	2	232	1.68	1	6	AdV	DWW	3	2	
015 S	1/2/2010	9.24694	2	226	1.68	1	6	AdV	DWW	3	2	
016 V	1/2/2010	9.50722	3	3								
017 S	1/2/2010	9.53639	3	276	2.59	0.5	2	AdV	DWW	3	3	
018 S	1/2/2010	9.77	3	262	1.95	0.8	3	AdV	DWW	3	3	
019 S	1/2/2010	9.95361	4	222	0.55	4	1	AdV	DWW	3	3	
020 S	1/2/2010	9.97583	3	255	1.68	1	3	AdV	DWW	3	3	
021 S	1/2/2010	10.12583	3	234	1.57	1.1	3	AdV	DWW	3	3	
022 S	1/2/2010	10.15472	5	267	2.59	0.5	1	AdV	DWW	3	3	
023 S	1/2/2010	10.16	6	270	1.8	0.9	1	AdV	DWW	3	3	
024 S	1/2/2010	10.18417	5	266	2.59	0.5	2	AdV	DWW	3	3	
025 S	1/2/2010	10.22167	3	220	1.47	1.2	3	AdV	DWW	3	3	
026 S	1/2/2010	10.26667	5	260	2.59	0.5	3	AdV	DWW	3	3	
027 S	1/2/2010	10.38361	5	254	2.59	0.5	3	AdV	DWW	3	3	
028 S	1/2/2010	10.47361	5	245	2.33	0.6	3	AdV	DWW	3	3	
029 P	1/2/2010	10.50444	WLP	AdV								
030 V	1/2/2010	10.50444	3	3								
031 S	1/2/2010	10.60417	5	235	1.68	1	5	WLP	AdV	3	3	
032 S	1/2/2010	10.70083	5	222	1.57	1.1	5	WLP	AvD	3	3	
033 S	1/2/2010	10.90361	7	236	1.13	1.7	1	WLP	AvD	3	3	
034 S	1/2/2010	11.81056	8	273	1.19	1.6	1	WLP	AvD	3	3	
035 S	1/2/2010	12.00556	8	246	0.89	2.3	2	WLP	AvD	3	3	
036 P	1/2/2010	12.02556	DWW	WLP								
037 V	1/2/2010	12.02556	3	3								
038 S	1/2/2010	12.44639	9	265	2.33	0.6	2	DWW	WLP	3	3	
039 S	1/2/2010	12.52556	10	257	1.57	1.1	2	DWW	WLP	3	3	
040 S	1/2/2010	12.54861	9	258	2.12	0.7	2	DWW	WLP	3	3	
041 S	1/2/2010	12.63056	9	251	2.12	0.7	2	DWW	WLP	3	3	
042 S	1/2/2010	12.68306	10	240	1.57	1.1	2	DWW	WLP	3	3	
043 S	1/2/2010	12.72111	10	234	1.47	1.2	2	DWW	WLP	3	3	
044 V	1/2/2010	12.77667	4	3								
045 S	1/2/2010	12.79111	10	225	1.47	1.2	2	DWW	WLP	4	3	
046 S	1/2/2010	12.815	11	266	1.68	1	1	DWW	WLP	4	3	
047 S	1/2/2010	12.86556	9	240	1.95	0.8	3	DWW	WLP	4	3	
048 S	1/2/2010	12.96194	11	253	1.47	1.2	1	DWW	WLP	4	3	
049 S	1/2/2010	13.00083	9	236	1.8	0.9	4	DWW	WLP	4	3	
050 S	1/2/2010	13.19028	11	225	1.47	1.2	3	DWW	WLP	4	3	
051 S	1/2/2010	13.2125	12	259	1.04	1.9	1	DWW	WLP	4	3	
052 S	1/2/2010	13.32944	12	236	1.04	1.9	1	DWW	WLP	4	3	
053 V	1/2/2010	13.43	4	3								
054 P	1/2/2010	13.52861	AdV	DWW								
055 V	1/2/2010	13.52861	4	3								
056 V	1/2/2010	13.76944	4	3								
057 S	1/2/2010	13.98667	13	277	1.95	0.8	1	AdV	DWW	4	3	
058 S	1/2/2010	14.0525	13	271	1.95	0.8	1	AdV	DWW	4	3	
059 S	1/2/2010	14.195	13	252	1.47	1.2	1	AdV	DWW	4	3	
060 S	1/2/2010	14.46944	13	205	1.47	1.2	1	AdV	DWW	4	3	
061 V	1/2/2010	14.75472	4	3								
000 P	1/2/2010	15.00001	WLP	ADV								
062 V	1/2/2010	15.00611	5	4								
064 V	1/2/2010	15.34861	5	4								
065 S	1/2/2010	15.35806	14	269	1.04	1.9	1	WLP	AdV	5	4	
066 S	1/2/2010	15.45444	14	255	0.99	2	1	WLP	AdV	5	4	
067 S	1/2/2010	15.5975	14	238	0.86	2.4	1	WLP	AdV	5	4	
068 E	1/2/2010	16.49972										
