NORTH TRAILER												
001 B	1/4/2010	7.50556										
002 P	1/4/2010	7.50556	SEH	AdV								
003 V	1/4/2010	7.50556	1	2								
004 S	1/4/2010	7.74944	1	250	1.25	1.5	2	SEH	AdV	1	2	
005 S	1/4/2010	7.83944	1	233	1.13	1.7	3	SEH	AdV	1	2	
006 S	1/4/2010	8.25639	2	243	1.39	1.3	1	SEH	AdV	1	2	
007 S	1/4/2010	8.30028	2	237	1.47	1.2	2	SEH	AdV	1	2	
008 S	1/4/2010	8.45028	2	222	1.47	1.2	2	SEH	AdV	1	2	
009 S	1/4/2010	8.7125	3	241	1.47	1.2	1	SEH	AdV	1	2	
010 S	1/4/2010	8.84722	3	219	1.25	1.5	1	SEH	AdV	1	2	
011 P	1/4/2010	9.0025	arl	seh								
012 V	1/4/2010	9.0025	2	2								
013 S	1/4/2010	9.35139	4	262	1.39	1.3	1	arl	seh	2	2	
014 S	1/4/2010	9.41611	4	254	1.25	1.5	1	arl	seh	2	2	
015 S	1/4/2010	9.46944	4	246	1.25	1.5	2	arl	seh	2	2	
016 S	1/4/2010	9.64056	5	240	1.08	1.8	2	arl	seh	2	2	
017 S	1/4/2010	9.68583	5	233	1.08	1.8	2	arl	seh	2	2	
018 S	1/4/2010	9.71056	6	257	1.68	1	1	arl	seh	2	2	
019 S	1/4/2010	9.79056	6	248	1.68	1	1	arl	seh	2	2	
020 S	1/4/2010	9.81917	5	219	1.08	1.8	2	arl	seh	2	2	
021 S	1/4/2010	9.84528	6	229	1.47	1.2	1	arl	seh	2	2	
022 S	1/4/2010	9.85722	7	255	1.47	1.2	1	arl	seh	2	2	
023 S	1/4/2010	10.04722	7	228	1.31	1.4	2	arl	seh	2	2	
024 S	1/4/2010	10.45222	8	248	1.95	0.8	2	arl	seh	2	2	
025 P	1/4/2010	10.51111	AdV	arl								
026 V	1/4/2010	10.51111	2	2								
027 S	1/4/2010	10.54361	8	240	1.95	0.8	2	AdV	arl	2	2	
028 S	1/4/2010	10.59111	8	234	1.95	0.8	3	AdV	arl	2	2	
029 S	1/4/2010	10.66	9	214	1.25	1.5	1	AdV	arl	2	2	
030 S	1/4/2010	10.73417	8	220	1.95	0.8	3	AdV	arl	2	2	
031 S	1/4/2010	10.86	10	238	1.95	0.8	1	AdV	arl	2	2	
032 S	1/4/2010	10.94639	10	228	1.95	0.8	1	AdV	arl	2	2	
033 S	1/4/2010	11.99667	11	259	0.83	2.5	1	AdV	arl	2	2	
034 P	1/4/2010	12.00806	SEH	AdV								
035 V	1/4/2010	12.00806	2	2								
036 S	1/4/2010	12.21167	11	204	0.62	3.5	2	SEH	AdV	2	2	
037 S	1/4/2010	12.27111	12	255	2.59	0.5	1	SEH	AdV	2	2	
038 S	1/4/2010	12.40111	13	211	1.31	1.4	3	SEH	AdV	2	2	
039 S	1/4/2010	12.49694	12	237	1.95	0.8	3	SEH	AdV	2	2	
040 S	1/4/2010	12.75056	14	228	1.57	1.1	4	SEH	AdV	2	2	
041 S	1/4/2010	12.83	15	260	1.68	1	3	SEH	AdV	2	2	
042 S	1/4/2010	12.93444	14	220	1.57	1.1	4	SEH	AdV	2	2	
043 S	1/4/2010	12.98583	16	240	1.95	0.8	3	SEH	AdV	2	2	
044 S	1/4/2010	13.0175	15	239	1.47	1.2	2	SEH	AdV	2	2	
045 S	1/4/2010	13.04389	16	238	1.95	0.8	3	SEH	AdV	2	2	
046 S	1/4/2010	13.11889	16	231	1.8	0.9	2	SEH	AdV	2	2	
047 S	1/4/2010	13.13028	15	232	1.47	1.2	3	SEH	AdV	2	2	
048 S	1/4/2010	13.15028	15	217	1.47	1.2	3	SEH	AdV	2	2	
049 S	1/4/2010	13.16	16	225	1.95	0.8	2	SEH	AdV	2	2	
050 S	1/4/2010	13.24694	17	262	1.57	1.1	1	SEH	AdV	2	2	
051 S	1/4/2010	13.35361	18	222	1.68	1	4	SEH	AdV	2	2	
052 S	1/4/2010	13.49417	17	240	1.25	1.5	1	SEH	AdV	2	2	
053 P	1/4/2010	13.50694	arl	seh								
054 V	1/4/2010	13.50694	2	2								
055 S	1/4/2010	13.61722	19	228	1.19	1.6	1	arl	seh	2	2	
056 S	1/4/2010	13.69611	39	222	0.99	2	1	arl	seh	2	2	
057 S	1/4/2010	13.71861	20	240	1.68	1	2	arl	seh	2	2	
058 S	1/4/2010	13.74528	19	215	1.19	1.6	1	arl	seh	2	2	
060 S	1/4/2010	13.92111	21	234	1.47	1.2	3	arl	seh	2	2	
061 S	1/4/2010	14.36194	22	241	0.89	2.3	1	arl	seh	2	2	
062 S	1/4/2010	14.43472	22	222	0.86	2.4	1	arl	seh	2	2	
063 S	1/4/2010	14.68472	23	225	1.13	1.7	3	arl	seh	2	2	
064 S	1/4/2010	14.99167	24	251	1.68	1	1	arl	seh	2	2	
065 P	1/4/2010	15.00528	AdV	arl								
066 V	1/4/2010	15.00528	2	2								
067 S	1/4/2010	15.02556	25	271	2.33	0.6	3	AdV	arl	2	2	
068 S	1/4/2010	15.05472	24	245	1.8	0.9	1	AdV	arl	2	2	
069 S	1/4/2010	15.08083	25	263	2.33	0.6	4	AdV	arl	2	2	
070 S	1/4/2010	15.13639	26	268	2.12	0.7	1	AdV	arl	2	2	
071 S	1/4/2010	15.165	25	254	2.12	0.7	4	AdV	arl	2	2	
072 S	1/4/2010	15.17444	24	230	1.68	1	2	AdV	arl	2	2	
073 S	1/4/2010	15.20472	27	246	1.25	1.5	1	AdV	arl	2	2	
074 S	1/4/2010	15.23083	27	231	1.25	1.5	1	AdV	arl	2	2	
075 S	1/4/2010	15.23861	26	261	1.68	1	2	AdV	arl	2	2	
077 S	1/4/2010	15.28222	29	238	1.25	1.5	1	AdV	arl	2	2	
078 S	1/4/2010	15.28972	26	238	1.68	1	2	AdV	arl	2	2	
079 S	1/4/2010	15.34278	29	231	1.25	1.5	1	AdV	arl	2	2	
080 S	1/4/2010	15.35639	30	257	1.68	1	1	AdV	arl	2	2	
082 S	1/4/2010	15.38694	30	255	1.47	1.2	1	AdV	arl	2	2	
083 S	1/4/2010	15.41083	31	249	1.47	1.2	2	AdV	arl	2	2	
084 S	1/4/2010	15.4225	25	218	1.68	1	4	AdV	arl	2	2	
085 S	1/4/2010	15.4325	32	235	1.47	1.2	2	AdV	arl	2	2	
086 S	1/4/2010	15.45556	33	253	1.57	1.1	2	AdV	arl	2	2	
087 S	1/4/2010	15.46778	26	222	1.68	1	2	AdV	arl	2	2	
088 S	1/4/2010	15.49722	33	249	1.47	1.2	2	AdV	arl	2	2	
089 S	1/4/2010	15.50722	32	221	1.47	1.2	2	AdV	arl	2	2	
090 S	1/4/2010	15.53583	30	233	1.25	1.5	2	AdV	arl	2	2	
091 S	1/4/2010	15.56389	30	229	1.25	1.5	2	AdV	arl	2	2	
092 S	1/4/2010	15.595	33	235	1.47	1.2	2	AdV	arl	2	2	
094 S	1/4/2010	15.68583	34	221	1.39	1.3	2	AdV	arl	2	2	
095 S	1/4/2010	15.72667	35	267	2.59	0.5	2	AdV	arl	2	2	
096 S	1/4/2010	15.84611	35	260	1.95	0.8	2	AdV	arl	2	2	
097 V	1/4/2010	15.97139	2	3								
098 S	1/4/2010	15.98611	35	247	1.47	1.2	2	AdV	arl	2	3	
099 S	1/4/2010	16.0475	37	268	2.59	0.5	3	AdV	arl	2	3	
100 S	1/4/2010	16.11833	37	264	2.59	0.5	3	AdV	arl	2	3	
101 S	1/4/2010	16.14306	35	225	1.31	1.4	3	AdV	arl	2	3	
102 S	1/4/2010	16.18444	37	258	2.59	0.5	3	AdV	arl	2	3	
104 S	1/4/2010	16.26306	37	251	1.95	0.8	3	AdV	arl	2	3	
105 S	1/4/2010	16.34556	37	243	1.8	0.9	3	AdV	arl	2	3	
106 S	1/4/2010	16.40611	37	233	1.68	1	3	AdV	arl	2	3	
107 S	1/4/2010	16.44556	37	227	1.47	1.2	3	AdV	arl	2	3	
108 S	1/4/2010	16.50000	38	266	0.29	8	1	AdV	arl	2	3	
109 E	1/4/2010	16.51278										
