NORTH TRAILER												
001 B	1/5/2010	7.50001										
002 P	1/5/2010	7.50001	arl	seh								
003 V	1/5/2010	7.50001	2	2								
004 S	1/5/2010	8.17139	1	239	0.99	2	1	arl	seh	2	2	
005 P	1/5/2010	9.00001	AdV	arl								
006 V	1/5/2010	9.00001	2	2								
007 C	1/5/2010	9.07306										"other sighting = G. gri at 198@2.5R traveling north, 50-40-60, best/hi/low"
008 V	1/5/2010	9.14083	2	3								
009 S	1/5/2010	9.1875	2	262	1.13	1.7	3	AdV	arl	2	3	
010 S	1/5/2010	9.40917	2	257	0.92	2.2	3	AdV	arl	2	3	
011 C	1/5/2010	9.42389										group2 is moving inshore now; reaction to G gri?
012 C	1/5/2010	9.46083										"G gri group currently at 2.7 and 237, moving offshore now."
013 S	1/5/2010	9.54472	2	237	0.71	3	3	AdV	arl	2	3	
014 S	1/5/2010	9.62889	2	211	0.75	2.8	3	AdV	arl	2	3	
015 V	1/5/2010	9.65167	2	2								
016 S	1/5/2010	10.28806	4	277	2.33	0.6	2	AdV	arl	2	2	
017 S	1/5/2010	10.38167	4	269	2.12	0.7	2	AdV	arl	2	2	
018	P	1/5/2010	10.50001	SEH AdV
019 V	1/5/2010	10.50001	3	2								
020 S	1/5/2010	10.50139	5	278	2.59	0.5	1	AdV	arl	2	2	
021 S	1/5/2010	10.55139	4	259	1.68	1	2	SEH	AdV	3	2	
022 S	1/5/2010	10.64861	5	266	1.68	1	1	SEH	AdV	3	2	
023 S	1/5/2010	10.72722	4	252	1.47	1.2	3	SEH	AdV	3	2	
024 S	1/5/2010	10.8125	4	238	1.39	1.3	3	SEH	AdV	3	2	
025 S	1/5/2010	10.88861	5	243	1.47	1.2	1	SEH	AdV	3	2	
026 S	1/5/2010	10.90611	4	224	1.31	1.4	4	SEH	AdV	3	2	
027 S	1/5/2010	11.11889	5	218	1.39	1.3	1	SEH	AdV	3	2	
028 V	1/5/2010	11.68917	4	3								
029 P	1/5/2010	12.03611	ARL	SEH								
030 V	1/5/2010	12.03611	4	3								
031 S	1/5/2010	12.17	6	274	2.12	0.7	2	ARL	SEH	4	3	
032 S	1/5/2010	12.31917	7	238	1.47	1.2	2	ARL	SEH	4	3	
033 S	1/5/2010	12.52861	8	249	1.47	1.2	3	ARL	SEH	4	3	
034 S	1/5/2010	12.63889	8	238	1.47	1.2	3	ARL	SEH	4	3	
035 S	1/5/2010	12.71167	8	228	1.47	1.2	3	ARL	SEH	4	3	
036 S	1/5/2010	13.00056	9	256	1.25	1.5	1	ARL	SEH	4	3	
037 S	1/5/2010	13.16306	10	246	1.25	1.5	1	ARL	SEH	4	3	
038 S	1/5/2010	13.18194	11	267	1.47	1.2	2	ARL	SEH	4	3	
039 S	1/5/2010	13.20444	10	240	1.08	1.8	1	ARL	SEH	4	3	
040 S	1/5/2010	13.25333	10	229	0.99	2	1	ARL	SEH	4	3	
041 S	1/5/2010	13.37917	11	243	1.13	1.7	2	ARL	SEH	4	3	
042 S	1/5/2010	13.42028	11	237	1.08	1.8	4	ARL	SEH	4	3	
043 P	1/5/2010	13.505	AdV	ARL								
044 V	1/5/2010	13.505	4	3								
045 S	1/5/2010	13.59694	11	211	1.08	1.8	4	AdV	ARL	4	3	
046 S	1/5/2010	13.61806	12	214	0.67	3.2	1	AdV	ARL	4	3	
048 V	1/5/2010	13.97194	4	4								
049 S	1/5/2010	14.06806	13	243	1.08	1.8	1	AdV	ARL	4	4	
050 S	1/5/2010	14.10111	14	256	1.68	1	1	AdV	ARL	4	4	
051 C	1/5/2010	14.1875										"Other sighting = Unid small cetaceans (T tru or G gri?), 1R and 228, 50-40-60 (B/L/H)"
052 S	1/5/2010	14.22722	15	234	1.25	1.5	1	AdV	ARL	4	4	
053 S	1/5/2010	14.43556	16	239	1.47	1.2	2	AdV	ARL	4	4	
054 S	1/5/2010	14.59333	17	230	1.47	1.2	1	AdV	ARL	4	4	
055 S	1/5/2010	14.66111	17	222	1.47	1.2	2	AdV	ARL	4	4	
056 S	1/5/2010	14.955	18	231	2.12	0.7	1	AdV	ARL	4	4	
057 P	1/5/2010	15.015	SEH	AdV								
058 V	1/5/2010	15.015	4	4								
059 S	1/5/2010	15.18361	19	226	1.68	1	2	SEH	AdV	4	4	
060 S	1/5/2010	15.83444	20	260	1.25	1.5	1	SEH	AdV	4	4	
061 S	1/5/2010	15.89167	20	247	1.19	1.6	1	SEH	AdV	4	4	
062 S	1/5/2010	15.95222	20	234	1.08	1.8	1	SEH	AdV	4	4	
063 S	1/5/2010	16.02333	21	256	0.75	2.8	1	SEH	AdV	4	4	
064 S	1/5/2010	16.05417	22	263	1.47	1.2	1	SEH	AdV	4	4	
065 V	1/5/2010	16.06472	4	4								
066 S	1/5/2010	16.1525	21	229	0.62	3.5	1	SEH	AdV	4	4	
067 S	1/5/2010	16.24278	22	235	0.99	2	1	SEH	AdV	4	4	
068 S	1/5/2010	16.265	22	229	0.99	2	1	SEH	AdV	4	4	
069 E	1/5/2010	16.50306										
