NORTH TRAILER												
001 B	1/6/2010	7.49639										
002 P	1/6/2010	7.49639	AdV	ARL								
003 V	1/6/2010	7.49639	2	2								
004 S	1/6/2010	7.55167	1	228	1.25	1.5	1	AdV	ARL	2	2	
005 S	1/6/2010	7.56583	2	246	1.95	0.8	1	AdV	ARL	2	2	
006 S	1/6/2010	7.61278	2	241	1.8	0.9	1	AdV	ARL	2	2	
007 S	1/6/2010	7.66889	3	243	2.12	0.7	1	AdV	ARL	2	2	
008 S	1/6/2010	7.72639	3	235	2.12	0.7	1	AdV	ARL	2	2	
009 S	1/6/2010	7.85889	2	231	1.57	1.1	2	AdV	ARL	2	2	
010 S	1/6/2010	7.95667	4	258	1.47	1.2	1	AdV	ARL	2	2	
011 V	1/6/2010	7.97083	2	3								
012 S	1/6/2010	7.9975	5	229	1.68	1	2	AdV	ARL	2	3	
013 S	1/6/2010	8.05667	5	223	1.57	1.1	2	AdV	ARL	2	3	
014 S	1/6/2010	8.10417	4	235	1.25	1.5	1	AdV	ARL	2	3	
015 S	1/6/2010	8.13944	6	277	3.37	0.3	1	AdV	ARL	2	3	
016 S	1/6/2010	8.18	4	224	1.25	1.5	1	AdV	ARL	2	3	
017 S	1/6/2010	8.32361	6	271	2.33	0.6	1	AdV	ARL	2	3	
018 C	1/6/2010	8.33694										
019 S	1/6/2010	8.51333	7	278	2.59	0.5	3	AdV	ARL	2	3	
020 V	1/6/2010	8.57194	3	3								
021 S	1/6/2010	8.58778	6	247	1.68	1	1	AdV	ARL	3	3	
022 S	1/6/2010	8.66944	8	210	0.38	6	1	AdV	ARL	3	3	
023 S	1/6/2010	8.68333	6	235	1.68	1	1	AdV	ARL	3	3	
024 S	1/6/2010	8.69583	9	247	0.41	5.5	1	AdV	ARL	3	3	
025 S	1/6/2010	8.72472	9	236	0.45	5	1	AdV	ARL	3	3	
026 S	1/6/2010	8.75917	7	262	1.68	1	3	AdV	ARL	3	3	
027 S	1/6/2010	8.85444	10	258	2.59	0.5	1	AdV	ARL	3	3	
028 S	1/6/2010	8.89833	10	248	2.59	0.5	1	AdV	ARL	3	3	
029 S	1/6/2010	8.91556	7	248	1.57	1.1	3	AdV	ARL	3	3	
030 S	1/6/2010	8.97222	7	241	1.39	1.3	3	AdV	ARL	3	3	
031 P	1/6/2010	9.01056	SEH	AdV								
032 V	1/6/2010	9.01056	4	3								
033 S	1/6/2010	9.07583	11	255	0.45	5	1	SEH	AdV	4	3	
034 S	1/6/2010	9.09694	11	250	0.5	4.5	1	SEH	AdV	4	3	
035 S	1/6/2010	9.12194	7	232	1.31	1.4	3	SEH	AdV	4	3	
036 S	1/6/2010	9.14028	12	230	0.59	3.7	1	SEH	AdV	4	3	
037 S	1/6/2010	9.20944	12	205	0.59	3.7	1	SEH	AdV	4	3	
038 S	1/6/2010	9.22306	7	215	1.25	1.5	3	SEH	AdV	4	3	
039 S	1/6/2010	9.2775	13	254	1.68	1	2	SEH	AdV	4	3	
040 S	1/6/2010	9.37694	13	246	1.68	1	2	SEH	AdV	4	3	
041 S	1/6/2010	9.52917	14	272	1.47	1.2	1	SEH	AdV	4	3	
042 S	1/6/2010	9.54167	13	227	1.47	1.2	2	SEH	AdV	4	3	
043 S	1/6/2010	9.68444	14	265	1.25	1.5	1	SEH	AdV	4	3	
