NORTH TRAILER												
001 B	1/8/2010	7.49472										
002 P	1/8/2010	7.49472	ARL	SEH								
003 V	1/8/2010	7.49472	2	4								
004 S	1/8/2010	7.67444	1	239	1.08	1.8	1	ARL	SEH	2	4	
005 S	1/8/2010	7.8175	1	215	1.13	1.7	2	ARL	SEH	2	4	
006 S	1/8/2010	8.18111	2	236	1.25	1.5	2	ARL	SEH	2	4	
007 S	1/8/2010	8.54167	3	242	1.13	1.7	1	ARL	SEH	2	4	
008 S	1/8/2010	8.56056	4	229	0.89	2.3	1	ARL	SEH	2	4	
012 S	1/8/2010	8.60167	5	246	1.19	1.6	2	arl	seh	2	4	
013 S	1/8/2010	8.64639	6	257	1.47	1.2	2	arl	seh	2	4	
014 S	1/8/2010	8.65833	6	257	1.47	1.2	3	arl	seh	2	4	
015 S	1/8/2010	8.72306	5	237	1.25	1.5	2	arl	seh	2	4	
016 S	1/8/2010	8.86111	6	236	1.25	1.5	3	arl	seh	2	4	
017 S	1/8/2010	8.94972	6	211	1.31	1.4	3	arl	seh	2	4	
018 V	1/8/2010	8.99444	2	4								
019 P	1/8/2010	8.99694	adv	arl								
020 V	1/8/2010	8.99694	2	4								
021 C	1/8/2010	9.09111										"other sighting = unided dolphins, 242 @ 2.3R, heading north, 20/30/15 (best/hi/low)"
022 S	1/8/2010	9.11667	7	245	1.13	1.7	1	adv	arl	2	4	
023 C	1/8/2010	9.58417										"other sighting = G gri at 229@2.7R, 6/10/8 animals (best/hi/low), heading south"
024 S	1/8/2010	9.7075	8	231	0.71	3	1	adv	arl	2	4	
025 S	1/8/2010	9.75194	8	217	0.73	2.9	1	adv	arl	2	4	
026 S	1/8/2010	9.78	9	270	3.37	0.3	1	adv	arl	2	4	
027 S	1/8/2010	9.81889	11	264	4.01	0.2	2	adv	arl	2	4	
028 S	1/8/2010	9.86028	9	265	2.92	0.4	1	adv	arl	2	4	
029 S	1/8/2010	9.93028	9	259	2.92	0.4	1	adv	arl	2	4	
030 S	1/8/2010	9.94972	11	260	4.01	0.2	2	adv	arl	2	4	
032 S	1/8/2010	10.08611	11	254	4.01	0.2	2	adv	arl	2	4	
033 S	1/8/2010	10.12944	9	241	1.95	0.8	1	adv	arl	2	4	
034 S	1/8/2010	10.345	9	228	1.68	1	3	adv	arl	2	4	
035 S	1/8/2010	10.40917	9	222	1.57	1.1	3	adv	arl	2	4	
036 S	1/8/2010	10.45972	11	236	3.37	0.3	2	adv	arl	2	4	
037 P	1/8/2010	10.52556	seh	adv								
038 V	1/8/2010	10.52556	2	3								
039 S	1/8/2010	10.60944	11	227	3.37	0.3	2	seh	adv	2	3	
040 S	1/8/2010	10.80194	12	241	1.25	1.5	1	seh	adv	2	3	
041 V	1/8/2010	10.87472	2	4								
042 S	1/8/2010	10.89306	12	229	1.25	1.5	1	seh	adv	2	4	
043 S	1/8/2010	11.09056	13	220	1.08	1.8	3	seh	adv	2	4	
044 S	1/8/2010	11.13556	14	265	1.57	1.1	3	seh	adv	2	4	
045 S	1/8/2010	11.22778	14	253	1.47	1.2	3	seh	adv	2	4	
046 S	1/8/2010	11.34389	14	241	1.39	1.3	3	seh	adv	2	4	
047 S	1/8/2010	11.43139	15	244	0.99	2	1	seh	adv	2	4	
048 S	1/8/2010	11.44139	15	245	1.04	1.9	2	seh	adv	2	4	
049 S	1/8/2010	11.48139	14	221	1.39	1.3	3	seh	adv	2	4	
050 S	1/8/2010	11.54861	15	224	0.92	2.2	2	seh	adv	2	4	
051 S	1/8/2010	11.57361	16	260	1.04	1.9	2	seh	adv	2	4	
052 S	1/8/2010	11.70111	17	278	1.68	1	3	seh	adv	2	4	
053 S	1/8/2010	11.78222	16	243	0.96	2.1	3	seh	adv	2	4	
054 S	1/8/2010	11.9475	16	220	0.92	2.2	3	seh	adv	2	4	
056 P	1/8/2010	12.01861	arl	seh								
057 V	1/8/2010	12.01861	2	4								
058 S	1/8/2010	12.14583	17	235	1.13	1.7	1	arl	seh	2	4	
060 S	1/8/2010	12.28083	20	262	1.31	1.4	1	arl	seh	2	4	
061 S	1/8/2010	12.28639	21	260	1.95	0.8	2	arl	seh	2	4	
062 V	1/8/2010	12.31667	3	4								
063 S	1/8/2010	12.36639	22	220	0.62	3.5	1	arl	seh	3	4	
064 S	1/8/2010	12.38639	20	250	1.25	1.5	2	arl	seh	3	4	
065 S	1/8/2010	12.43944	21	249	1.68	1	2	arl	seh	3	4	
066 S	1/8/2010	12.49028	20	229	1.04	1.9	2	arl	seh	3	4	
067 S	1/8/2010	12.55389	21	237	1.57	1.1	2	arl	seh	3	4	
068 S	1/8/2010	12.78306	21	225	1.47	1.2	2	arl	seh	3	4	
069 S	1/8/2010	13.10222	23	227	1.47	1.2	2	arl	seh	3	4	
070 S	1/8/2010	13.28917	23	217	1.39	1.3	2	arl	seh	3	4	
071 S	1/8/2010	13.45472	24	262	1.25	1.5	3	arl	seh	3	4	
072 P	1/8/2010	13.505	AdV	ARL								
073 V	1/8/2010	13.505	3	4								
074 S	1/8/2010	13.58111	25	262	1.39	1.3	1	AdV	ARL	3	4	
075 S	1/8/2010	13.60028	24	242	1.13	1.7	3	AdV	ARL	3	4	
076 S	1/8/2010	13.62139	25	255	1.39	1.3	3	AdV	ARL	3	4	
077 S	1/8/2010	13.66556	24	238	1.13	1.7	3	AdV	ARL	3	4	
078 S	1/8/2010	13.69917	24	232	1.08	1.8	3	AdV	ARL	3	4	
079 S	1/8/2010	13.75444	26	260	1.57	1.1	1	AdV	ARL	3	4	
080 S	1/8/2010	13.80083	25	224	1.25	1.5	3	AdV	ARL	3	4	
082 S	1/8/2010	13.99944	26	227	1.04	1.9	2	AdV	ARL	3	4	
083 S	1/8/2010	14.04861	28	277	1.68	1	1	AdV	ARL	3	4	
084 S	1/8/2010	14.14806	28	269	1.47	1.2	1	AdV	ARL	3	4	
085 S	1/8/2010	14.2975	29	239	1.47	1.2	1	AdV	ARL	3	4	
086 S	1/8/2010	14.31972	28	254	1.25	1.5	1	AdV	ARL	3	4	
087 S	1/8/2010	14.35083	30	274	1.57	1.1	1	AdV	ARL	3	4	
088 S	1/8/2010	14.45361	28	235	1.25	1.5	2	AdV	ARL	3	4	
090 S	1/8/2010	14.53833	28	221	1.25	1.5	2	AdV	ARL	3	4	
091 S	1/8/2010	14.55083	30	251	1.25	1.5	1	AdV	ARL	3	4	
092 S	1/8/2010	14.57694	31	266	1.19	1.6	1	AdV	ARL	3	4	
093 S	1/8/2010	14.64167	30	236	1.25	1.5	1	AdV	ARL	3	4	
094 S	1/8/2010	14.65306	32	231	0.38	6	1	AdV	ARL	3	4	
095 S	1/8/2010	14.71361	31	252	1.13	1.7	1	AdV	ARL	3	4	
096 S	1/8/2010	14.76222	33	274	1.95	0.8	1	AdV	ARL	3	4	
