NORTH TRAILER												
001 B	1/12/2010	7.50167										
002 P	1/12/2010	7.50167	SLR	SEH								
003 V	1/12/2010	7.50167	4	4								
004 S	1/12/2010	7.57806	1	225	0.99	2	1	SLR	SEH	4	4	
005 S	1/12/2010	7.63167	2	252	0.99	2	1	SLR	SEH	4	4	
006 S	1/12/2010	7.65944	3	251	1.47	1.2	1	SLR	SEH	4	4	
007 S	1/12/2010	7.68556	2	233	0.99	2	1	SLR	SEH	4	4	
008 S	1/12/2010	7.70472	2	232	0.99	2	1	SLR	SEH	4	4	
009 C	1/12/2010	7.70972										doing more scanning w handhelds (than usual) bc vis poor
010 S	1/12/2010	7.75806	4	251	1.47	1.2	2	SLR	SEH	4	4	
011 S	1/12/2010	7.78972	4	252	1.39	1.3	4	SLR	SEH	4	4	
012 S	1/12/2010	7.83056	3	231	1.31	1.4	1	SLR	SEH	4	4	
013 S	1/12/2010	7.88194	4	238	1.25	1.5	4	SLR	SEH	4	4	
014 S	1/12/2010	7.95111	4	230	1.25	1.5	4	SLR	SEH	4	4	
015 S	1/12/2010	8.01028	5	230	1.04	1.9	1	SLR	SEH	4	4	
016 S	1/12/2010	8.07889	6	267	1.68	1	1	SLR	SEH	4	4	
017 S	1/12/2010	8.10139	7	230	1.13	1.7	1	SLR	SEH	4	4	
018 S	1/12/2010	8.12417	7	227	1.08	1.8	2	SLR	SEH	4	4	
019 S	1/12/2010	8.23111	6	250	1.68	1	1	SLR	SEH	4	4	
020 S	1/12/2010	8.28694	6	242	1.39	1.3	1	SLR	SEH	4	4	
021 C	1/12/2010	8.30833										sighting 8 = sighting 6
022 S	1/12/2010	8.42167	6	237	1.39	1.3	2	SLR	SEH	4	4	
023 S	1/12/2010	8.43722	6	234	1.31	1.4	2	SLR	SEH	4	4	
024 S	1/12/2010	8.47833	6	228	1.25	1.5	2	SLR	SEH	4	4	
025 V	1/12/2010	8.50056	4	3								
026 S	1/12/2010	8.54083	9	229	1.31	1.4	1	SLR	SEH	4	3	
027 S	1/12/2010	8.71778	10	235	0.99	2	1	SLR	SEH	4	3	
028 S	1/12/2010	8.83444	10	220	0.99	2	1	SLR	SEH	4	3	
029 S	1/12/2010	8.89417	11	250	1.68	1	1	SLR	SEH	4	3	
030 S	1/12/2010	8.91583	11	220	1.39	1.3	1	SLR	SEH	4	3	
031 C	1/12/2010	8.91722										"first sighting of 11 was estimated with approximate time, so looks like (s)he moved too quickly"
032 P	1/12/2010	8.97528	DWW	SLR								
033 V	1/12/2010	8.97528	4	3								
034 S	1/12/2010	9.28139	12	237	0.99	2	1	DWW	SLR	4	3	
035 C	1/12/2010	9.33667										no horizon 227-241
036 V	1/12/2010	9.45389	4	4								
