NORTH TRAILER												
001 B	1/14/2010	7.5										
002 P	1/14/2010	7.5	SEH	DWW								
003 V	1/14/2010	7.5	2	3								
004 S	1/14/2010	7.63889	1	274	1.57	1.1	2	SEH	DWW	2	3	
005 S	1/14/2010	7.66167	2	216	1.25	1.5	1	SEH	DWW	2	3	
006 S	1/14/2010	7.67333	3	252	1.19	1.6	2	SEH	DWW	2	3	
007 S	1/14/2010	7.7675	3	234	1.19	1.6	2	SEH	DWW	2	3	
008 S	1/14/2010	7.855	4	227	0.99	2	1	SEH	DWW	2	3	
009 S	1/14/2010	7.94639	5	245	1.04	1.9	1	SEH	DWW	2	3	
010 S	1/14/2010	7.97972	5	241	1.04	1.9	1	SEH	DWW	2	3	
011 S	1/14/2010	8.02556	6	262	1.47	1.2	1	SEH	DWW	2	3	
012 S	1/14/2010	8.085	7	242	1.13	1.7	1	SEH	DWW	2	3	
013 S	1/14/2010	8.12583	7	234	1.19	1.6	1	SEH	DWW	2	3	
014 S	1/14/2010	8.155	8	224	1.13	1.7	1	SEH	DWW	2	3	
015 S	1/14/2010	8.19639	9	233	1.08	1.8	1	SEH	DWW	2	3	
016 V	1/14/2010	8.2475	3	3								
017 S	1/14/2010	8.26722	10	251	2.33	0.6	1	SEH	DWW	3	3	
018 S	1/14/2010	8.33694	11	243	1.39	1.3	1	SEH	DWW	3	3	
019 S	1/14/2010	8.345	10	244	2.33	0.6	4	SEH	DWW	3	3	
020 S	1/14/2010	8.41139	11	233	1.39	1.3	1	SEH	DWW	3	3	
021 S	1/14/2010	8.43361	10	233	2.33	0.6	4	SEH	DWW	3	3	
022 S	1/14/2010	8.47167	12	238	0.99	2	2	SEH	DWW	3	3	
023 C	1/14/2010	8.4875										5 degree diff. btw ob and rec binos - ob 5 lower
024 S	1/14/2010	8.52472	13	235	1.25	1.5	1	SEH	DWW	3	3	
025 S	1/14/2010	8.56056	14	250	1.47	1.2	2	SEH	DWW	3	3	
026 S	1/14/2010	8.61556	15	253	1.04	1.9	1	SEH	DWW	3	3	
027 S	1/14/2010	8.69333	14	231	1.47	1.2	2	SEH	DWW	3	3	
028 S	1/14/2010	8.72556	16	255	0.89	2.3	1	SEH	DWW	3	3	
029 S	1/14/2010	8.76361	15	210	0.92	2.2	2	SEH	DWW	3	3	
030 S	1/14/2010	8.81444	17	252	1.68	1	1	SEH	DWW	3	3	
031 S	1/14/2010	8.91556	18	241	0.78	2.7	1	SEH	DWW	3	3	
032 S	1/14/2010	8.965	17	242	1.68	1	1	SEH	DWW	3	3	
033 S	1/14/2010	8.98306	19	242	1.57	1.1	3	SEH	DWW	3	3	
034 P	1/14/2010	9.00833	SLR	SEH								
035 V	1/14/2010	9.00833	3	3								
036 S	1/14/2010	9.07194	19	229	1.47	1.2	4	SLR	SEH	3	3	
037 S	1/14/2010	9.0775	20	227	0.75	2.8	1	SLR	SEH	3	3	
038 S	1/14/2010	9.13389	21	243	1.95	0.8	1	SLR	SEH	3	3	
039 S	1/14/2010	9.14306	21	242	1.68	1	2	SLR	SEH	3	3	
040 S	1/14/2010	9.25056	21	228	1.68	1	2	SLR	SEH	3	3	
041 S	1/14/2010	9.32139	22	255	1.57	1.1	1	SLR	SEH	3	3	
042 S	1/14/2010	9.3425	23	250	0.71	3	1	SLR	SEH	3	3	
043 S	1/14/2010	9.34722	22	253	1.47	1.2	2	SLR	SEH	3	3	
044 S	1/14/2010	9.42361	23	230	0.55	4	1	SLR	SEH	3	3	
045 S	1/14/2010	9.45278	22	243	1.39	1.3	2	SLR	SEH	3	3	
046 S	1/14/2010	9.455	22	243	1.39	1.3	3	SLR	SEH	3	3	
047 S	1/14/2010	9.47694	22	241	1.39	1.3	4	SLR	SEH	3	3	
048 S	1/14/2010	9.52583	24	254	1.31	1.4	2	SLR	SEH	3	3	
049 S	1/14/2010	9.57167	24	248	1.25	1.5	2	SLR	SEH	3	3	
050 S	1/14/2010	9.58583	22	222	1.31	1.4	4	SLR	SEH	3	3	
051 S	1/14/2010	9.71778	24	226	0.99	2	2	SLR	SEH	3	3	
052 S	1/14/2010	9.73722	25	252	1.68	1	2	SLR	SEH	3	3	
053 S	1/14/2010	9.80056	26	248	1.95	0.8	2	SLR	SEH	3	3	
054 S	1/14/2010	9.8075	26	248	1.95	0.8	3	SLR	SEH	3	3	
055 S	1/14/2010	9.83194	25	241	1.47	1.2	2	SLR	SEH	3	3	
056 V	1/14/2010	9.87	3	2								
057 S	1/14/2010	9.87667	25	233	1.47	1.2	2	SLR	SEH	3	2	
058 S	1/14/2010	9.91806	25	228	1.39	1.3	3	SLR	SEH	3	2	
059 S	1/14/2010	10.02889	27	233	1.25	1.5	1	SLR	SEH	3	2	
060 V	1/14/2010	10.07694	3	3								
061 C	1/14/2010	10.08111										more haze now
062 S	1/14/2010	10.33056	28	225	1.8	0.9	3	SLR	SEH	3	3	
063 S	1/14/2010	10.48139	29	261	1.47	1.2	5	SLR	SEH	3	3	
064 P	1/14/2010	10.5075	DWW	SLR								
065 V	1/14/2010	10.5075	3	2								
066 S	1/14/2010	10.57806	30	250	0.92	2.2	1	DWW	SLR	3	2	
067 S	1/14/2010	10.62583	31	249	1.8	0.9	1	DWW	SLR	3	2	
068 S	1/14/2010	10.63611	29	242	1.47	1.2	5	DWW	SLR	3	2	
069 S	1/14/2010	10.73694	30	216	0.92	2.2	1	DWW	SLR	3	2	
070 S	1/14/2010	10.76056	32	242	0.99	2	1	DWW	SLR	3	2	
071 S	1/14/2010	10.85722	32	224	0.99	2	1	DWW	SLR	3	2	
072 S	1/14/2010	10.87444	33	250	1.13	1.7	1	DWW	SLR	3	2	
073 S	1/14/2010	11.055	34	229	1.13	1.7	1	DWW	SLR	3	2	
074 S	1/14/2010	11.2125	35	230	0.99	2	1	DWW	SLR	3	2	
075 S	1/14/2010	11.23778	36	268	1.57	1.1	1	DWW	SLR	3	2	
076 S	1/14/2010	11.30833	36	262	1.39	1.3	3	DWW	SLR	3	2	
077 S	1/14/2010	11.33833	37	261	2.12	0.7	2	DWW	SLR	3	2	
078 S	1/14/2010	11.41056	38	242	1.39	1.3	1	DWW	SLR	3	2	
079 S	1/14/2010	11.43278	36	249	1.08	1.8	3	DWW	SLR	3	2	
080 S	1/14/2010	11.49556	39	229	0.89	2.3	1	DWW	SLR	3	2	
081 S	1/14/2010	11.52278	36	232	1.04	1.9	3	DWW	SLR	3	2	
082 S	1/14/2010	11.63583	40	228	1.04	1.9	1	DWW	SLR	3	2	
083 S	1/14/2010	11.67417	41	240	1.57	1.1	3	DWW	SLR	3	2	
084 S	1/14/2010	11.71556	42	246	0.92	2.2	1	DWW	SLR	3	2	
085 S	1/14/2010	11.77722	41	225	1.57	1.1	3	DWW	SLR	3	2	
