NORTH TRAILER												
001 B	1/16/2010	7.49944										
002 P	1/16/2010	7.49944	DWW	SLR								
003 V	1/16/2010	7.49944	3	3								
004 S	1/16/2010	7.5325	1	219	1.31	1.4	1	DWW	SLR	3	3	
005 S	1/16/2010	7.59111	2	216	1.31	1.4	1	DWW	SLR	3	3	
006 S	1/16/2010	7.71972	3	223	1.31	1.4	1	DWW	SLR	3	3	
007 S	1/16/2010	7.79806	4	249	1.57	1.1	3	DWW	SLR	3	3	
008 S	1/16/2010	7.84167	5	221	1.08	1.8	3	DWW	SLR	3	3	
009 S	1/16/2010	7.87583	4	235	1.47	1.2	3	DWW	SLR	3	3	
010 S	1/16/2010	7.98389	6	234	1.31	1.4	3	DWW	SLR	3	3	
011 S	1/16/2010	8.06306	7	233	1.25	1.5	1	DWW	SLR	3	3	
012 S	1/16/2010	8.10778	6	216	1.47	1.2	3	DWW	SLR	3	3	
013 S	1/16/2010	8.13833	8	246	1.57	1.1	2	DWW	SLR	3	3	
014 S	1/16/2010	8.18972	8	240	1.57	1.1	4	DWW	SLR	3	3	
015 S	1/16/2010	8.2025	9	270	1.68	1	1	DWW	SLR	3	3	
016 S	1/16/2010	8.24361	8	232	1.57	1.1	4	DWW	SLR	3	3	
017 S	1/16/2010	8.27083	10	248	1.68	1	2	DWW	SLR	3	3	
018 S	1/16/2010	8.315	10	243	1.68	1	3	DWW	SLR	3	3	
019 S	1/16/2010	8.35639	9	251	1.57	1.1	1	DWW	SLR	3	3	
020 S	1/16/2010	8.43861	9	236	1.57	1.1	1	DWW	SLR	3	3	
021 S	1/16/2010	8.45333	11	244	1.39	1.3	1	DWW	SLR	3	3	
022 S	1/16/2010	8.47583	10	217	1.47	1.2	4	DWW	SLR	3	3	
023 S	1/16/2010	8.59861	11	226	1.47	1.2	2	DWW	SLR	3	3	
024 S	1/16/2010	8.62222	12	237	1.25	1.5	1	DWW	SLR	3	3	
025 S	1/16/2010	8.65611	13	260	1.95	0.8	4	DWW	SLR	3	3	
026 S	1/16/2010	8.71389	13	251	1.95	0.8	4	DWW	SLR	3	3	
027 S	1/16/2010	8.78444	13	240	1.8	0.9	4	DWW	SLR	3	3	
028 S	1/16/2010	8.82833	14	249	1.47	1.2	2	DWW	SLR	3	3	
029 S	1/16/2010	8.91361	15	246	2.59	0.5	2	DWW	SLR	3	3	
030 S	1/16/2010	8.9275	16	250	1.57	1.1	1	DWW	SLR	3	3	
031 S	1/16/2010	9.00361	14	239	1.47	1.2	2	DWW	SLR	3	3	
032 P	1/16/2010	9.01722	SEH	DWW								
033 V	1/16/2010	9.01722	3	3								
034 S	1/16/2010	9.05583	15	236	2.33	0.6	2	SEH	DWW	3	3	
035 S	1/16/2010	9.15528	17	271	1.8	0.9	2	SEH	DWW	3	3	
036 S	1/16/2010	9.33389	18	248	1.25	1.5	1	SEH	DWW	3	3	
037 S	1/16/2010	9.34972	19	267	3.37	0.3	1	SEH	DWW	3	3	
038 S	1/16/2010	9.36389	20	266	2.33	0.6	1	SEH	DWW	3	3	
039 S	1/16/2010	9.37	17	255	1.57	1.1	2	SEH	DWW	3	3	
040 S	1/16/2010	9.40361	21	228	1.68	1	2	SEH	DWW	3	3	
041 S	1/16/2010	9.44611	17	242	1.47	1.2	2	SEH	DWW	3	3	
042 S	1/16/2010	9.55417	18	210	1.25	1.5	1	SEH	DWW	3	3	
043 S	1/16/2010	9.58806	20	244	1.8	0.9	1	SEH	DWW	3	3	
044 S	1/16/2010	9.61028	17	222	1.47	1.2	3	SEH	DWW	3	3	
