NORTH TRAILER												
001 B	1/22/2010	7.69972										
002 P	1/22/2010	7.69972	BLH	JDR								
003 V	1/22/2010	7.69972	3	3								
004 C	1/22/2010	7.71028										"hazy horizon, but improving"
005 S	1/22/2010	8.28056	1	235	1.31	1.4	2	BLH	JDR	3	3	
006 S	1/22/2010	8.41694	1	211	1.13	1.7	2	BLH	JDR	3	3	
007 S	1/22/2010	8.44194	2	256	1.57	1.1	2	BLH	JDR	3	3	
008 S	1/22/2010	8.51861	2	241	1.47	1.2	3	BLH	JDR	3	3	
009 S	1/22/2010	8.57278	2	229	1.47	1.2	3	BLH	JDR	3	3	
010 S	1/22/2010	8.60639	2	224	1.57	1.1	4	BLH	JDR	3	3	
011 S	1/22/2010	8.84639	3	216	1.57	1.1	3	BLH	JDR	3	3	
012 P	1/22/2010	9.01972	SJC	BLH								
013 V	1/22/2010	9.01972	3	3								
014 S	1/22/2010	9.29889	4	245	1.19	1.6	1	SJC	BLH	3	3	
015 S	1/22/2010	9.31278	5	247	1.08	1.8	1	SJC	BLH	3	3	
016 S	1/22/2010	9.335	5	244	1.08	1.8	1	SJC	BLH	3	3	
017 S	1/22/2010	9.35139	4	240	1.19	1.6	2	SJC	BLH	3	3	
018 S	1/22/2010	9.36556	6	263	1.25	1.5	1	SJC	BLH	3	3	
019 S	1/22/2010	9.40389	7	228	1.68	1	1	SJC	BLH	3	3	
020 S	1/22/2010	9.41306	6	260	1.47	1.2	2	SJC	BLH	3	3	
021 S	1/22/2010	9.43417	8	269	1.47	1.2	1	SJC	BLH	3	3	
022 S	1/22/2010	9.46222	7	222	1.68	1	2	SJC	BLH	3	3	
023 S	1/22/2010	9.49194	5	226	1.08	1.8	1	SJC	BLH	3	3	
024 S	1/22/2010	9.505	4	225	1.19	1.6	2	SJC	BLH	3	3	
025 S	1/22/2010	9.51139	5	222	0.99	2	1	SJC	BLH	3	3	
026 S	1/22/2010	9.51694	4	219	1.13	1.7	2	SJC	BLH	3	3	
027 C	1/22/2010	9.52139										looks like 4 and 5 converged but we kept them seperate
028 S	1/22/2010	9.56472	8	247	1.08	1.8	1	SJC	BLH	3	3	
029 S	1/22/2010	9.57167	6	252	1.47	1.2	2	SJC	BLH	3	3	
030 S	1/22/2010	9.58528	10	258	1.68	1	2	SJC	BLH	3	3	
031 S	1/22/2010	9.62111	6	238	1.39	1.3	2	SJC	BLH	3	3	
032 S	1/22/2010	9.63111	8	235	1.25	1.5	1	SJC	BLH	3	3	
033 S	1/22/2010	9.64806	10	248	1.47	1.2	2	SJC	BLH	3	3	
034 S	1/22/2010	9.69611	8	223	1.19	1.6	1	SJC	BLH	3	3	
035 S	1/22/2010	9.71028	10	241	1.47	1.2	2	SJC	BLH	3	3	
036 S	1/22/2010	9.73306	6	218	1.31	1.4	2	SJC	BLH	3	3	
037 S	1/22/2010	9.76139	10	234	1.31	1.4	2	SJC	BLH	3	3	
038 S	1/22/2010	9.78389	10	230	1.39	1.3	2	SJC	BLH	3	3	
039 S	1/22/2010	9.81111	10	228	1.39	1.3	2	SJC	BLH	3	3	
040 S	1/22/2010	9.87111	11	267	2.33	0.6	1	SJC	BLH	3	3	
041 S	1/22/2010	9.88111	12	272	1.57	1.1	2	SJC	BLH	3	3	
042 S	1/22/2010	9.90583	13	228	1.25	1.5	2	SJC	BLH	3	3	
043 S	1/22/2010	9.96167	12	262	1.47	1.2	2	SJC	BLH	3	3	
044 S	1/22/2010	9.96778	11	260	2.33	0.6	1	SJC	BLH	3	3	
045 S	1/22/2010	10.00028	12	257	1.25	1.5	2	SJC	BLH	3	3	
046 S	1/22/2010	10.05056	11	254	2.12	0.7	1	SJC	BLH	3	3	
047 S	1/22/2010	10.07667	12	247	1.19	1.6	2	SJC	BLH	3	3	
048 S	1/22/2010	10.1125	14	270	3.37	0.3	3	SJC	BLH	3	3	
049 S	1/22/2010	10.16667	12	233	1.08	1.8	2	SJC	BLH	3	3	
050 S	1/22/2010	10.18611	12	229	1.13	1.7	3	SJC	BLH	3	3	
051 C	1/22/2010	10.20694										horizon hazy from 260 bearing out
052 S	1/22/2010	10.22972	14	265	2.92	0.4	4	SJC	BLH	3	3	
053 S	1/22/2010	10.27361	11	239	1.68	1	1	SJC	BLH	3	3	
054 S	1/22/2010	10.38111	14	255	2.59	0.5	4	SJC	BLH	3	3	
055 S	1/22/2010	10.45139	15	270	2.59	0.5	3	SJC	BLH	3	3	
056 C	1/22/2010	10.49083										horizon clear
057 P	1/22/2010	10.51111	JDR	BLH								
058 V	1/22/2010	10.51111	3	2								
059 S	1/22/2010	10.55194	14	241	1.95	0.8	4	JDR	BLH	3	2	
062 S	1/22/2010	10.61611	15	261	2.59	0.5	3	JDR	SJC	3	2	
063 S	1/22/2010	10.66889	16	260	1.68	1	2	JDR	SJC	3	2	
064 S	1/22/2010	10.71472	14	233	1.47	1.2	4	JDR	SJC	3	2	
065 S	1/22/2010	10.78417	17	243	1.08	1.8	2	JDR	SJC	3	2	
066 S	1/22/2010	10.81361	15	249	2.33	0.6	3	JDR	SJC	3	2	
067 S	1/22/2010	10.83639	16	244	1.25	1.5	2	JDR	SJC	3	2	
068 S	1/22/2010	10.86889	18	253	1.47	1.2	2	JDR	SJC	3	2	
069 S	1/22/2010	10.92472	14	226	1.57	1.1	4	JDR	SJC	3	2	
070 C	1/22/2010	10.92944										think sight 19 should be deleted &info added to s14
071 S	1/22/2010	10.93944	14	216	0.99	2	2	JDR	SJC	3	2	
072 S	1/22/2010	11.00778	14	235	1.31	1.4	3	JDR	SJC	3	2	
073 C	1/22/2010	11.065										Looks like groups 16 & 18 joined
074 S	1/22/2010	11.12639	14	227	1.8	0.9	3	JDR	SJC	3	2	
075 S	1/22/2010	11.20556	20	236	1.8	0.9	2	JDR	SJC	3	2	
076 S	1/22/2010	11.23472	21	260	1.95	0.8	2	JDR	SJC	3	2	
077 S	1/22/2010	11.33139	20	227	1.68	1	2	JDR	SJC	3	2	
078 S	1/22/2010	11.35917	22	249	2.33	0.6	1	JDR	SJC	3	2	
079 S	1/22/2010	11.37306	23	251	1.47	1.2	2	JDR	SJC	3	2	
080 C	1/22/2010	11.40833										NO EDIT NEEDED - Sight 21 & 23 merged; total group size est is 4
081 S	1/22/2010	11.47083	22	239	2.33	0.6	1	JDR	SJC	3	2	
