NORTH TRAILER												
001 B	1/23/2010	7.50111										
002 P	1/23/2010	7.50111	SJC	BLH								
003 V	1/23/2010	7.50111	3	3								
004 C	1/23/2010	7.50583										
006 S	1/23/2010	7.54333	1	255	2.59	0.5	1	SJC	BLH	3	3	
007 S	1/23/2010	7.57556	2	229	1.25	1.5	1	SJC	BLH	3	3	
008 S	1/23/2010	7.78167	1	234	2.33	0.6	1	SJC	BLH	3	3	
009 S	1/23/2010	7.87861	1	225	1.95	0.8	2	SJC	BLH	3	3	
010 S	1/23/2010	7.93806	3	245	0.8	2.6	2	SJC	BLH	3	3	
011 S	1/23/2010	7.9575	4	245	1.39	1.3	1	SJC	BLH	3	3	
012 S	1/23/2010	8.00917	5	255	1.47	1.2	2	SJC	BLH	3	3	
013 S	1/23/2010	8.02139	3	229	0.92	2.2	2	SJC	BLH	3	3	
014 S	1/23/2010	8.05528	6	237	0.8	2.6	1	SJC	BLH	3	3	
015 S	1/23/2010	8.12472	5	237	1.39	1.3	2	SJC	BLH	3	3	
016 S	1/23/2010	8.1375	4	229	1.39	1.3	1	SJC	BLH	3	3	
017 S	1/23/2010	8.23806	7	236	0.92	2.2	1	SJC	BLH	3	3	
019 S	1/23/2010	8.26278	5	216	1.39	1.3	2	SJC	BLH	3	3	
020 S	1/23/2010	8.26889	8	240	0.62	3.5	1	SJC	BLH	3	3	
021 V	1/23/2010	8.33833	3	4								
022 C	1/23/2010	8.345										horizon is hazy 
023 V	1/23/2010	8.36083	3	5								
024 S	1/23/2010	8.48972	9	237	1.08	1.8	2	SJC	BLH	3	5	
025 V	1/23/2010	8.61806	3	4								
026 V	1/23/2010	8.71139	3	3								
027 S	1/23/2010	8.93472	10	245	1.8	0.9	1	SJC	BLH	3	3	
028 P	1/23/2010	9.05361	JDR	SJC								
029 V	1/23/2010	9.05361	3	3								
030 S	1/23/2010	9.12778	11	243	1.47	1.2	2	JDR	SJC	3	3	
031 S	1/23/2010	9.25139	11	223	1.31	1.4	2	JDR	SJC	3	3	
032 S	1/23/2010	9.32417	12	218	1.57	1.1	2	JDR	SJC	3	3	
033 S	1/23/2010	9.57528	13	223	0.8	2.6	1	JDR	SJC	3	3	
034 S	1/23/2010	9.6025	14	250	1.68	1	1	JDR	SJC	3	3	
035 S	1/23/2010	9.63111	14	247	1.95	0.8	3	JDR	SJC	3	3	
036 S	1/23/2010	9.65417	15	253	1.31	1.4	1	JDR	SJC	3	3	
037 S	1/23/2010	9.69611	14	244	1.95	0.8	3	JDR	SJC	3	3	
038 S	1/23/2010	9.82139	15	228	1.25	1.5	2	JDR	SJC	3	3	
039 S	1/23/2010	9.84028	14	224	1.95	0.8	3	JDR	SJC	3	3	
040 S	1/23/2010	9.87861	16	243	1.25	1.5	1	JDR	SJC	3	3	
041 S	1/23/2010	9.97556	16	224	1.13	1.7	1	JDR	SJC	3	3	
042 S	1/23/2010	10.14556	17	247	1.47	1.2	1	JDR	SJC	3	3	
043 P	1/23/2010	10.50694	BLH	JDR								
044 V	1/23/2010	10.50694	3	3								
045 C	1/23/2010	10.52833										can't see horizon from 260 to 275; hazy
046 V	1/23/2010	10.65833	3	4								
047 S	1/23/2010	10.79278	18	235	1.39	1.3	2	BLH	JDR	3	4	
048 S	1/23/2010	10.88361	19	245	1.25	1.5	1	BLH	JDR	3	4	
049 V	1/23/2010	10.89944										
050 C	1/23/2010	10.9025										horizon is clear
051 V	1/23/2010	10.91306	3	3								
052 S	1/23/2010	10.94444	20	236	0.99	2	1	BLH	JDR	3	3	
053 S	1/23/2010	11.00083	19	228	1.19	1.6	3	BLH	JDR	3	3	
054 S	1/23/2010	11.06472	21	269	2.12	0.7	1	BLH	JDR	3	3	
055 S	1/23/2010	11.09944	22	230	1.95	0.8	1	BLH	JDR	3	3	
056 S	1/23/2010	11.12972	23	230	0.65	3.3	1	BLH	JDR	3	3	
057 S	1/23/2010	11.18639	22	220	1.95	0.8	2	BLH	JDR	3	3	
058 S	1/23/2010	11.19444	24	257	1.13	1.7	1	BLH	JDR	3	3	
059 S	1/23/2010	11.25944	25	226	1.68	1	3	BLH	JDR	3	3	
060 S	1/23/2010	11.38583	25	217	1.68	1	3	BLH	JDR	3	3	
061 S	1/23/2010	11.41639	21	232	1.68	1	1	BLH	JDR	3	3	
062 S	1/23/2010	11.46	21	227	1.68	1	1	BLH	JDR	3	3	
063 S	1/23/2010	11.51944	26	268	1.8	0.9	1	BLH	JDR	3	3	
064 S	1/23/2010	11.57306	27	240	1.95	0.8	1	BLH	JDR	3	3	
065 S	1/23/2010	11.625	27	236	2.12	0.7	1	BLH	JDR	3	3	
066 S	1/23/2010	11.66583	28	246	2.12	0.7	2	BLH	JDR	3	3	
067 C	1/23/2010	11.68111										horizon is hazy from 220 to 250
068 S	1/23/2010	11.70306	27	231	2.12	0.7	2	BLH	JDR	3	3	
069 S	1/23/2010	11.73028	27	225	1.95	0.8	2	BLH	JDR	3	3	
070 S	1/23/2010	11.8025	26	232	1.57	1.1	1	BLH	JDR	3	3	
071 S	1/23/2010	11.80472	28	231	2.12	0.7	2	BLH	JDR	3	3	
072 S	1/23/2010	11.89944	29	240	1.57	1.1	1	BLH	JDR	3	3	
073 S	1/23/2010	11.96667	29	235	1.57	1.1	2	BLH	JDR	3	3	
074 S	1/23/2010	11.98056	30	235	0.99	2	1	BLH	JDR	3	3	
075 V	1/23/2010	12.00861	3	3								
076 P	1/23/2010	12.01361	SJC	BLH								
077 V	1/23/2010	12.01361	3	3								
078 C	1/23/2010	12.02667										hazy from 240-220
079 S	1/23/2010	12.04333	29	221	1.57	1.1	4	SJC	BLH	3	3	
080 S	1/23/2010	12.05	31	262	1.95	0.8	3	SJC	BLH	3	3	
081 S	1/23/2010	12.06667	30	216	1.19	1.6	1	SJC	BLH	3	3	
082 S	1/23/2010	12.15389	31	250	1.68	1	3	SJC	BLH	3	3	
083 S	1/23/2010	12.17306	32	263	1.8	0.9	3	SJC	BLH	3	3	
084 S	1/23/2010	12.22472	33	217	1.68	1	1	SJC	BLH	3	3	
085 S	1/23/2010	12.23528	31	241	1.47	1.2	3	SJC	BLH	3	3	
086 S	1/23/2010	12.29389	31	233	1.47	1.2	3	SJC	BLH	3	3	
087 S	1/23/2010	12.31194	32	251	1.47	1.2	3	SJC	BLH	3	3	
088 C	1/23/2010	12.35417										horizon clear
089 S	1/23/2010	12.38639	34	250	1.8	0.9	2	SJC	BLH	3	3	
090 S	1/23/2010	12.40028	35	255	1.57	1.1	2	SJC	BLH	3	3	
091 S	1/23/2010	12.43306	31	215	1.68	1	3	SJC	BLH	3	3	
092 S	1/23/2010	12.47389	34	246	1.68	1	2	SJC	BLH	3	3	
093 S	1/23/2010	12.4925	32	230	1.47	1.2	3	SJC	BLH	3	3	
094 S	1/23/2010	12.50333	34	240	1.68	1	2	SJC	BLH	3	3	
095 S	1/23/2010	12.52361	35	250	1.57	1.1	2	SJC	BLH	3	3	
096 S	1/23/2010	12.53806	34	236	1.68	1	2	SJC	BLH	3	3	
097 S	1/23/2010	12.56861	36	260	2.59	0.5	4	SJC	BLH	3	3	
098 S	1/23/2010	12.60472	32	217	1.39	1.3	3	SJC	BLH	3	3	
099 S	1/23/2010	12.64528	34	220	1.68	1	2	SJC	BLH	3	3	
100 S	1/23/2010	12.66611	36	253	2.33	0.6	4	SJC	BLH	3	3	
101 S	1/23/2010	12.67528	35	235	1.57	1.1	3	SJC	BLH	3	3	
102 S	1/23/2010	12.71306	35	232	1.57	1.1	4	SJC	BLH	3	3	
103 S	1/23/2010	12.74222	37	246	1.68	1	3	SJC	BLH	3	3	
104 S	1/23/2010	12.75722	38	249	1.95	0.8	2	SJC	BLH	3	3	
105 S	1/23/2010	12.82389	35	219	1.68	1	4	SJC	BLH	3	3	
106 S	1/23/2010	12.85	37	241	1.68	1	3	SJC	BLH	3	3	
107 S	1/23/2010	12.89333	37	234	1.57	1.1	3	SJC	BLH	3	3	
108 S	1/23/2010	12.9425	36	233	2.33	0.6	4	SJC	BLH	3	3	
109 S	1/23/2010	12.94889	38	231	1.8	0.9	2	SJC	BLH	3	3	
