NORTH TRAILER												
001 B	1/25/2010	7.50028										
002 P	1/25/2010	7.50028	DJR	DWW								
003 V	1/25/2010	7.50028	4	4								
004 S	1/25/2010	7.51444	1	238	0.42	5.4	1	DJR	DWW	4	4	
005 C	1/25/2010	7.51694										OBS BEARING = 293
006 S	1/25/2010	7.58	2	257	1.08	1.8	2	DJR	DWW	4	4	
007 S	1/25/2010	7.59028	3	257	1.19	1.6	1	DJR	DWW	4	4	
008 S	1/25/2010	7.72917	2	232	0.89	2.3	2	DJR	DWW	4	4	
009 S	1/25/2010	7.77389	2	226	0.89	2.3	2	DJR	DWW	4	4	
010 S	1/25/2010	7.79139	2	222	0.89	2.3	2	DJR	DWW	4	4	
011 S	1/25/2010	7.91583	4	220	0.99	2	1	DJR	DWW	4	4	
012 S	1/25/2010	7.93056	5	249	0.99	2	4	DJR	DWW	4	4	
013 S	1/25/2010	7.94694	6	240	0.99	2	3	DJR	DWW	4	4	
014 S	1/25/2010	7.99139	6	242	0.96	2.1	3	DJR	DWW	4	4	
015 S	1/25/2010	8.02583	7	271	1.13	1.7	1	DJR	DWW	4	4	
016 C	1/25/2010	8.03556										GRPS 5 AND 6 MERGE
017 S	1/25/2010	8.07278	8	231	0.99	2	3	DJR	DWW	4	4	
018 S	1/25/2010	8.08639	8	227	0.92	2.2	3	DJR	DWW	4	4	
019 V	1/25/2010	8.21306	3	3								
020 S	1/25/2010	8.26806	7	228	0.67	3.2	1	DJR	DWW	3	3	
021 S	1/25/2010	8.32444	9	243	0.99	2	1	DJR	DWW	3	3	
022 S	1/25/2010	8.34611	10	266	1.68	1	1	DJR	DWW	3	3	
023 S	1/25/2010	8.44222	9	221	0.99	2	1	DJR	DWW	3	3	
024 S	1/25/2010	8.45	11	261	1.8	0.9	1	DJR	DWW	3	3	
025 S	1/25/2010	8.58194	12	241	0.96	2.1	1	DJR	DWW	3	3	
026 S	1/25/2010	8.59694	13	254	1.47	1.2	1	DJR	DWW	3	3	
027 S	1/25/2010	8.74972	14	266	1.68	1	2	DJR	DWW	3	3	
028 V	1/25/2010	8.75306	3	2								
029 S	1/25/2010	8.77028	15	224	0.92	2.2	1	DJR	DWW	3	2	
030 S	1/25/2010	8.79361	14	264	1.57	1.1	2	DJR	DWW	3	2	
031 S	1/25/2010	8.81472	16	243	1.31	1.4	1	DJR	DWW	3	2	
032 S	1/25/2010	8.84139	14	258	1.39	1.3	2	DJR	DWW	3	2	
033 S	1/25/2010	8.93444	14	247	1.31	1.4	2	DJR	DWW	3	2	
034 S	1/25/2010	8.98361	17	234	1.47	1.2	1	DJR	DWW	3	2	
035 C	1/25/2010	8.99611										OBS BEARING = 293
036 S	1/25/2010	9.01278	17	232	1.39	1.3	1	DJR	DWW	3	2	
037 P	1/25/2010	9.01694	MJG	DJR								
038 V	1/25/2010	9.01694	3	2								
039 S	1/25/2010	9.07361	18	236	1.25	1.5	2	MJG	DJR	3	2	
040 V	1/25/2010	9.27306	3	3								
041 S	1/25/2010	9.35889	19	234	1.13	1.7	1	MJG	DJR	3	3	
043 S	1/25/2010	9.46222	20	229	1.8	0.9	2	MJG	DJR	3	3	
045 C	1/25/2010	9.51333										"EDITED, LINES 42 AND 44 DELETED - DELETE DATA LINE 42 AND 44"
046 S	1/25/2010	9.64472	21	220	2.33	0.6	1	MJG	DJR	3	3	
047 S	1/25/2010	9.76028	22	267	1.68	1	1	MJG	DJR	3	3	
048 S	1/25/2010	9.77167	22	267	1.68	1	2	MJG	DJR	3	3	
049 S	1/25/2010	9.89778	23	256	1.19	1.6	2	MJG	DJR	3	3	
050 S	1/25/2010	9.99111	23	243	0.99	2	2	MJG	DJR	3	3	
051 S	1/25/2010	10.02056	23	226	1.04	1.9	2	MJG	DJR	3	3	
052 S	1/25/2010	10.15361	22	205	1.08	1.8	2	MJG	DJR	3	3	
053 C	1/25/2010	10.15889										PODS 22 AND 23 HAVE ALMOST JOINED
054 C	1/25/2010	10.18028										EDITED - ADDED SIGHTING TO RECORD AFTER LINE 050 - POD OF 1 AT 226 RET 6 ABOUT 10:01 MISSED IN THE RECORD
055 S	1/25/2010	10.24028	24	237	1.13	1.7	1	MJG	DJR	3	3	
056 S	1/25/2010	10.25944	25	210	0.31	7.5	1	MJG	DJR	3	3	
057 S	1/25/2010	10.41611	26	267	1.13	1.7	1	MJG	DJR	3	3	
058 S	1/25/2010	10.47972	27	216	1.19	1.6	1	MJG	DJR	3	3	
059 P	1/25/2010	10.50444	DWW	MJG								
060 V	1/25/2010	10.50444	3	3								
061 C	1/25/2010	10.515										OBS BEARING=293
062 V	1/25/2010	10.57139	4	3								
063 S	1/25/2010	10.76944	28	244	1.39	1.3	1	DWW	MJG	4	3	
064 S	1/25/2010	10.85167	28	231	1.25	1.5	1	DWW	MJG	4	3	
065 S	1/25/2010	10.94611	28	221	1.13	1.7	1	DWW	MJG	4	3	
066 S	1/25/2010	11.08944	29	272	1.95	0.8	1	DWW	MJG	4	3	
067 S	1/25/2010	11.29944	30	265	1.68	1	3	DWW	MJG	4	3	
068 S	1/25/2010	11.49417	31	218	1.47	1.2	2	DWW	MJG	4	3	
069 S	1/25/2010	11.53806	32	272	1.47	1.2	1	DWW	MJG	4	3	
070 S	1/25/2010	11.67667	33	235	1.13	1.7	2	DWW	MJG	4	3	
071 S	1/25/2010	11.77778	34	250	1.47	1.2	1	DWW	MJG	4	3	
072 S	1/25/2010	11.81389	32	225	1.08	1.8	1	DWW	MJG	4	3	
073 S	1/25/2010	11.88083	35	269	2.12	0.7	2	DWW	MJG	4	3	
074 S	1/25/2010	11.93056	36	213	1.25	1.5	2	DWW	MJG	4	3	
075 S	1/25/2010	11.95444	37	241	1.08	1.8	1	DWW	MJG	4	3	
076 P	1/25/2010	12.00001	DWW	MJG								
077 V	1/25/2010	12.00001	4	3								
078 S	1/25/2010	12.00833	38	244	1.08	1.8	2	DWW	MJG	4	3	
079 C	1/25/2010	12.03167										OBS BEARING = 293
080 S	1/25/2010	12.07417	38	237	1.08	1.8	2	DWW	MJG	4	3	
081 P	1/25/2010	12.08972	DJR	DWW	
082	V	1/25/2010	12.08972	4	3
083 S	1/25/2010	12.10528	39	243	1.08	1.8	1	DJR	DWW	4	3	
084 S	1/25/2010	12.12722	40	259	1.68	1	2	DJR	DWW	4	3	
085 S	1/25/2010	12.18917	39	231	1.19	1.6	1	DJR	DWW	4	3	
086 S	1/25/2010	12.19611	41	229	1.13	1.7	1	DJR	DWW	4	3	
087 S	1/25/2010	12.22583	39	227	1.13	1.7	1	DJR	DWW	4	3	
088 S	1/25/2010	12.28833	42	271	1.68	1	2	DJR	DWW	4	3	
089 S	1/25/2010	12.37583	43	215	1.19	1.6	1	DJR	DWW	4	3	
090 S	1/25/2010	12.39083	44	261	0.65	3.3	1	DJR	DWW	4	3	
091 S	1/25/2010	12.43194	45	245	1.13	1.7	1	DJR	DWW	4	3	
092 S	1/25/2010	12.48333	46	234	1.39	1.3	1	DJR	DWW	4	3	
093 S	1/25/2010	12.53139	47	234	0.59	3.7	2	DJR	DWW	4	3	
094 S	1/25/2010	12.58361	48	259	1.39	1.3	1	DJR	DWW	4	3	
095 S	1/25/2010	12.60222	49	232	1.08	1.8	1	DJR	DWW	4	3	
096 S	1/25/2010	12.67861	48	249	1.39	1.3	1	DJR	DWW	4	3	
097 S	1/25/2010	12.75778	50	263	1.39	1.3	1	DJR	DWW	4	3	
098 S	1/25/2010	12.76361	48	234	1.25	1.5	1	DJR	DWW	4	3	
099 S	1/25/2010	12.79722	48	228	1.19	1.6	1	DJR	DWW	4	3	
100 S	1/25/2010	12.85611	51	238	1.19	1.6	2	DJR	DWW	4	3	
101 S	1/25/2010	12.8975	52	252	1.39	1.3	1	DJR	DWW	4	3	
102 S	1/25/2010	12.97306	50	233	1.25	1.5	1	DJR	DWW	4	3	
103 C	1/25/2010	12.99194										BREACH
104 S	1/25/2010	13.00028	50	228	1.31	1.4	1	DJR	DWW	4	3	
105 S	1/25/2010	13.01278	52	242	1.19	1.6	1	DJR	DWW	4	3	
106 S	1/25/2010	13.03222	53	230	1.25	1.5	1	DJR	DWW	4	3	
107 V	1/25/2010	13.03833	5	3								
108 S	1/25/2010	13.06167	50	217	1.31	1.4	1	DJR	DWW	5	3	
109 P	1/25/2010	13.50389	MJG	DJR								
110 V	1/25/2010	13.50389	5	3								
111 C	1/25/2010	13.56389										LOBOS ROCK 294 DEG
