NORTH TRAILER												
003 B	1/26/2010	7.52361										
004 P	1/26/2010	7.52361	MJG	DJR								
005 V	1/26/2010	7.52361	5	5								
006 C	1/26/2010	7.53278										LOBOS ROCK 294 DEG
007 S	1/26/2010	7.55444	1	223	1.25	1.5	1	MJG	DJR	5	5	
008 S	1/26/2010	7.59333	2	207	0.41	5.5	1	MJG	DJR	5	5	
009 S	1/26/2010	7.63167	3	236	1.19	1.6	1	MJG	DJR	5	5	
010 V	1/26/2010	7.65306	5	4								
011 S	1/26/2010	7.72056	4	232	1.25	1.5	2	MJG	DJR	5	4	
012 S	1/26/2010	7.80306	5	237	1.13	1.7	3	MJG	DJR	5	4	
013 S	1/26/2010	7.89861	5	217	1.08	1.8	3	MJG	DJR	5	4	
014 S	1/26/2010	7.93306	6	235	1.19	1.6	3	MJG	DJR	5	4	
015 C	1/26/2010	7.94861										EDITED LINE 014 - POD 6 IS 3 WHALES
017 C	1/26/2010	8.02										BREAK THE CONNECTION BETWEEN POD 6 AND 7 - PLEASE!
018 C	1/26/2010	8.03583										HORIZON IS FUZZY WITH RAIN
019 S	1/26/2010	8.11611	7	268	0.99	2	1	MJG	DJR	5	4	
020 S	1/26/2010	8.15056	8	210	1.31	1.4	1	MJG	DJR	5	4	
021 S	1/26/2010	8.19028	9	230	1.25	1.5	1	MJG	DJR	5	4	
022 S	1/26/2010	8.22056	7	228	1.25	1.5	1	MJG	DJR	5	4	
023 C	1/26/2010	8.22667										"2ND SHOT OF POD ""9"" SHOULD BE POD 7"
024 C	1/26/2010	8.24722										
025 S	1/26/2010	8.28917	10	230	1.19	1.6	1	MJG	DJR	5	4	
026 V	1/26/2010	8.33944	4	3								
027 S	1/26/2010	8.35917	11	242	1.39	1.3	2	MJG	DJR	4	3	
028 S	1/26/2010	8.36611	12	252	1.19	1.6	1	MJG	DJR	4	3	
029 S	1/26/2010	8.37417	13	255	1.57	1.1	1	MJG	DJR	4	3	
030 S	1/26/2010	8.38889	10	212	1.25	1.5	1	MJG	DJR	4	3	
031 S	1/26/2010	8.45417	14	226	0.71	3	1	MJG	DJR	4	3	
032 S	1/26/2010	8.49056	15	216	1.19	1.6	2	MJG	DJR	4	3	
033 S	1/26/2010	8.51556	12	230	1.25	1.5	2	MJG	DJR	4	3	
034 C	1/26/2010	8.53083										"EDITED, CHANGED LINE 033 - GROUP 12 IS 2 WHALES"
035 S	1/26/2010	8.55889	16	252	1.47	1.2	2	MJG	DJR	4	3	
036 S	1/26/2010	8.5675	17	254	1.57	1.1	1	MJG	DJR	4	3	
037 S	1/26/2010	8.60528	17	234	1.47	1.2	1	MJG	DJR	4	3	
038 S	1/26/2010	8.63139	18	267	1.68	1	1	MJG	DJR	4	3	
039 S	1/26/2010	8.63806	19	245	1.39	1.3	2	MJG	DJR	4	3	
040 S	1/26/2010	8.6475	20	263	1.68	1	1	MJG	DJR	4	3	
041 S	1/26/2010	8.665	17	225	1.47	1.2	1	MJG	DJR	4	3	
042 S	1/26/2010	8.67861	13	214	1.68	1	1	MJG	DJR	4	3	
043 V	1/26/2010	8.71806	3	3								
044 S	1/26/2010	8.74389	16	229	1.47	1.2	2	MJG	DJR	3	3	
045 S	1/26/2010	8.76972	17	214	1.47	1.2	1	MJG	DJR	3	3	
046 S	1/26/2010	8.77972	19	230	1.25	1.5	2	MJG	DJR	3	3	
047 S	1/26/2010	8.78611	21	233	1.04	1.9	1	MJG	DJR	3	3	
048 S	1/26/2010	8.7925	22	232	1.47	1.2	2	MJG	DJR	3	3	
049 S	1/26/2010	8.80278	22	232	1.47	1.2	4	MJG	DJR	3	3	
050 C	1/26/2010	8.8075										GROUP 22 IS NOW 4 WHALES
051 S	1/26/2010	8.83833	23	252	1.68	1	2	MJG	DJR	3	3	
052 S	1/26/2010	8.84611	24	248	1.68	1	1	MJG	DJR	3	3	
053 S	1/26/2010	8.85944	25	221	1.68	1	2	MJG	DJR	3	3	
054 S	1/26/2010	8.89333	19	217	1.31	1.4	2	MJG	DJR	3	3	
