NORTH TRAILER												
001 B	1/27/2010	7.5										
002 P	1/27/2010	7.5	DWW	MJG								
003 V	1/27/2010	7.5	2	2								
004 C	1/27/2010	7.50889										OBS BEARING=293
005 S	1/27/2010	7.54083	1	253	1.13	1.7	1	DWW	MJG	2	2	
006 S	1/27/2010	7.61583	1	238	1.13	1.7	1	DWW	MJG	2	2	
007 S	1/27/2010	7.64056	2	242	1.39	1.3	1	DWW	MJG	2	2	
008 S	1/27/2010	7.68222	3	269	2.12	0.7	1	DWW	MJG	2	2	
009 S	1/27/2010	7.70528	4	251	1.39	1.3	1	DWW	MJG	2	2	
010 S	1/27/2010	7.73722	1	222	1.13	1.7	2	DWW	MJG	2	2	
011 S	1/27/2010	7.74778	5	228	1.13	1.7	2	DWW	MJG	2	2	
012 S	1/27/2010	7.77722	6	226	1.25	1.5	2	DWW	MJG	2	2	
013 V	1/27/2010	7.82333	3	2								
014 S	1/27/2010	7.82833	7	264	1.95	0.8	1	DWW	MJG	3	2	
015 S	1/27/2010	7.87944	8	276	2.59	0.5	2	DWW	MJG	3	2	
016 S	1/27/2010	7.90694	9	215	0.45	5	1	DWW	MJG	3	2	
017 S	1/27/2010	7.93639	10	252	1.47	1.2	4	DWW	MJG	3	2	
018 S	1/27/2010	7.94472	11	242	1.95	0.8	2	DWW	MJG	3	2	
019 S	1/27/2010	7.97861	3	240	1.47	1.2	2	DWW	MJG	3	2	
020 S	1/27/2010	7.99667	11	235	1.95	0.8	2	DWW	MJG	3	2	
021 S	1/27/2010	8.02778	10	240	1.47	1.2	7	DWW	MJG	3	2	
022 S	1/27/2010	8.06083	12	259	1.95	0.8	1	DWW	MJG	3	2	
023 S	1/27/2010	8.11611	7	244	1.68	1	1	DWW	MJG	3	2	
024 S	1/27/2010	8.12833	10	232	1.47	1.2	7	DWW	MJG	3	2	
025 B	1/27/2010	8.22194										
026 P	1/27/2010	8.22194	DWW	MJG								
027 V	1/27/2010	8.22194	3	2								
028 C	1/27/2010	8.23028										COMPUTER CRASH 2ND FILE FOR DAY
029 S	1/27/2010	8.31028	13	267	1.95	0.8	3	DWW	MJG	3	2	
030 S	1/27/2010	8.39056	13	264	1.8	0.9	3	DWW	MJG	3	2	
031 S	1/27/2010	8.39472	14	267	1.95	0.8	1	DWW	MJG	3	2	
032 S	1/27/2010	8.40861	15	232	1.57	1.1	2	DWW	MJG	3	2	
033 S	1/27/2010	8.435	16	240	1.68	1	1	DWW	MJG	3	2	
034 S	1/27/2010	8.49722	17	272	2.59	0.5	1	DWW	MJG	3	2	
035 S	1/27/2010	8.51472	18	264	1.95	0.8	1	DWW	MJG	3	2	
036 S	1/27/2010	8.5325	15	218	1.68	1	2	DWW	MJG	3	2	
037 S	1/27/2010	8.54028	19	242	1.8	0.9	1	DWW	MJG	3	2	
038 S	1/27/2010	8.55389	13	251	1.68	1	2	DWW	MJG	3	2	
039 S	1/27/2010	8.57222	20	247	1.95	0.8	2	DWW	MJG	3	2	
040 C	1/27/2010	8.58139										"EDITED, LINE 038 NOW READS GRP 13 - RESIGHTING OF 14 IS ACTUALLY RESIGHTING OF 13"
041 S	1/27/2010	8.59444	18	255	1.8	0.9	1	DWW	MJG	3	2	
042 S	1/27/2010	8.635	18	248	1.57	1.1	1	DWW	MJG	3	2	
043 S	1/27/2010	8.65861	13	229	1.47	1.2	3	DWW	MJG	3	2	
044 S	1/27/2010	8.67056	21	237	1.8	0.9	4	DWW	MJG	3	2	
045 S	1/27/2010	8.68917	14	234	1.47	1.2	2	DWW	MJG	3	2	
046 S	1/27/2010	8.71778	18	243	1.47	1.2	5	DWW	MJG	3	2	
047 S	1/27/2010	8.745	22	273	2.33	0.6	2	DWW	MJG	3	2	
048 S	1/27/2010	8.765	23	246	1.8	0.9	1	DWW	MJG	3	2	
049 S	1/27/2010	8.77444	18	237	1.47	1.2	5	DWW	MJG	3	2	
050 S	1/27/2010	8.78972	17	254	1.8	0.9	3	DWW	MJG	3	2	
051 S	1/27/2010	8.83944	24	241	1.47	1.2	1	DWW	MJG	3	2	
052 S	1/27/2010	8.84917	25	235	1.68	1	4	DWW	MJG	3	2	
053 S	1/27/2010	8.87361	22	263	1.68	1	2	DWW	MJG	3	2	
054 S	1/27/2010	8.89639	23	234	1.57	1.1	1	DWW	MJG	3	2	
055 S	1/27/2010	8.96528	26	269	1.95	0.8	2	DWW	MJG	3	2	
056 S	1/27/2010	8.96861	27	265	1.95	0.8	3	DWW	MJG	3	2	
057 S	1/27/2010	9.00083	28	253	1.57	1.1	1	DWW	MJG	3	2	
058 S	1/27/2010	9.01083	22	246	1.57	1.1	2	DWW	MJG	3	2	
059 P	1/27/2010	9.02611	DJR	DWW								
060 V	1/27/2010	9.02611	3	2								
061 C	1/27/2010	9.04944										OBS BEARING = 293
062 S	1/27/2010	9.07111	29	235	1.31	1.4	1	MJG	DWW	3	2	
063 S	1/27/2010	9.08583	28	241	1.39	1.3	2	MJG	DWW	3	2	
064 S	1/27/2010	9.10444	29	230	1.39	1.3	1	MJG	DWW	3	2	
065 S	1/27/2010	9.11333	30	255	1.47	1.2	3	MJG	DWW	3	2	
066 S	1/27/2010	9.11944	26	256	1.57	1.1	2	MJG	DWW	3	2	
067 S	1/27/2010	9.12389	28	242	1.39	1.3	2	MJG	DWW	3	2	
068 S	1/27/2010	9.12861	31	265	1.95	0.8	3	MJG	DWW	3	2	
069 S	1/27/2010	9.17	32	255	1.68	1	1	MJG	DWW	3	2	
070 S	1/27/2010	9.1875	28	234	1.31	1.4	2	MJG	DWW	3	2	
071 S	1/27/2010	9.19222	32	252	1.68	1	1	MJG	DWW	3	2	
072 S	1/27/2010	9.21861	33	267	1.8	0.9	4	MJG	DWW	3	2	
073 S	1/27/2010	9.23528	30	241	1.31	1.4	3	MJG	DWW	3	2	
074 S	1/27/2010	9.2725	26	235	1.39	1.3	2	MJG	DWW	3	2	
075 S	1/27/2010	9.29167	30	233	1.31	1.4	3	MJG	DWW	3	2	
076 S	1/27/2010	9.30667	34	233	1.39	1.3	4	MJG	DWW	3	2	
077 S	1/27/2010	9.31611	32	248	1.47	1.2	1	MJG	DWW	3	2	
078 S	1/27/2010	9.33639	32	247	1.39	1.3	2	MJG	DWW	3	2	
081 V	1/27/2010	9.35944	3	2								
082 S	1/27/2010	9.38194	31	225	1.39	1.3	3	DJR	DWW	3	2	
083 S	1/27/2010	9.39333	32	238	1.31	1.4	2	DJR	DWW	3	2	
084 S	1/27/2010	9.40833	35	254	1.68	1	2	DJR	DWW	3	2	
085 S	1/27/2010	9.41722	32	230	1.39	1.3	8	DJR	DWW	3	2	
086 V	1/27/2010	9.45333	4	2								
087 S	1/27/2010	9.47528	33	240	1.31	1.4	4	DJR	DWW	4	2	
088 S	1/27/2010	9.49611	33	236	1.31	1.4	4	DJR	DWW	4	2	
089 S	1/27/2010	9.50472	36	268	2.33	0.6	1	DJR	DWW	4	2	
090 S	1/27/2010	9.51111	37	267	0.78	2.7	1	DJR	DWW	4	2	
091 S	1/27/2010	9.51528	38	252	1.39	1.3	3	DJR	DWW	4	2	
092 S	1/27/2010	9.53333	33	230	1.25	1.5	4	DJR	DWW	4	2	
093 S	1/27/2010	9.54472	38	249	1.39	1.3	3	DJR	DWW	4	2	
094 S	1/27/2010	9.55306	39	269	1.95	0.8	1	DJR	DWW	4	2	
095 S	1/27/2010	9.55611	37	259	0.65	3.3	1	DJR	DWW	4	2	
096 S	1/27/2010	9.60639	40	264	1.57	1.1	2	DJR	DWW	4	2	
097 S	1/27/2010	9.63083	39	261	1.68	1	1	DJR	DWW	4	2	
098 S	1/27/2010	9.68417	38	234	1.39	1.3	3	DJR	DWW	4	2	
099 S	1/27/2010	9.69639	41	244	0.47	4.8	1	DJR	DWW	4	2	
100 S	1/27/2010	9.71472	38	229	1.39	1.3	3	DJR	DWW	4	2	
101 S	1/27/2010	9.74667	42	248	1.19	1.6	1	DJR	DWW	4	2	
102 S	1/27/2010	9.75306	40	247	1.39	1.3	2	DJR	DWW	4	2	
103 S	1/27/2010	9.76694	43	254	1.39	1.3	1	DJR	DWW	4	2	
104 S	1/27/2010	9.795	40	245	1.39	1.3	2	DJR	DWW	4	2	
105 S	1/27/2010	9.80083	44	230	0.71	3	1	DJR	DWW	4	2	
106 S	1/27/2010	9.81	45	254	0.47	4.8	1	DJR	DWW	4	2	
107 S	1/27/2010	9.835	46	234	1.25	1.5	1	DJR	DWW	4	2	
108 S	1/27/2010	9.85694	40	236	1.39	1.3	2	DJR	DWW	4	2	
109 S	1/27/2010	9.86778	42	228	1.19	1.6	1	DJR	DWW	4	2	
110 S	1/27/2010	9.88167	40	233	1.31	1.4	2	DJR	DWW	4	2	
111 V	1/27/2010	9.89306	4	3								
112 S	1/27/2010	9.93389	47	268	2.92	0.4	3	DJR	DWW	4	3	
113 S	1/27/2010	9.965	48	202	0.73	2.9	1	DJR	DWW	4	3	
114 S	1/27/2010	9.99222	43	218	1.31	1.4	2	DJR	DWW	4	3	
115 V	1/27/2010	9.99472	5	3								
116 S	1/27/2010	10.03	49	254	1.95	0.8	2	DJR	DWW	5	3	
117 S	1/27/2010	10.04139	50	258	1.68	1	1	DJR	DWW	5	3	
118 S	1/27/2010	10.04722	51	252	1.57	1.1	1	DJR	DWW	5	3	
119 S	1/27/2010	10.05389	52	265	2.33	0.6	1	DJR	DWW	5	3	
120 S	1/27/2010	10.07056	50	251	1.47	1.2	1	DJR	DWW	5	3	
121 S	1/27/2010	10.1275	51	244	1.47	1.2	1	DJR	DWW	5	3	
122 S	1/27/2010	10.13583	50	247	1.39	1.3	1	DJR	DWW	5	3	
123 S	1/27/2010	10.20667	51	233	1.39	1.3	1	DJR	DWW	5	3	
124 S	1/27/2010	10.21917	53	261	1.39	1.3	2	DJR	DWW	5	3	
125 S	1/27/2010	10.24111	51	228	1.39	1.3	2	DJR	DWW	5	3	
126 S	1/27/2010	10.26389	54	258	1.95	0.8	1	DJR	DWW	5	3	
127 S	1/27/2010	10.27	55	254	1.8	0.9	2	DJR	DWW	5	3	
128 S	1/27/2010	10.28306	50	223	1.39	1.3	1	DJR	DWW	5	3	
129 S	1/27/2010	10.33972	53	236	1.31	1.4	2	DJR	DWW	5	3	
130 S	1/27/2010	10.37444	55	246	1.68	1	2	DJR	DWW	5	3	
131 S	1/27/2010	10.405	56	243	1.57	1.1	3	DJR	DWW	5	3	
132 V	1/27/2010	10.4475	5	3								
133 P	1/27/2010	10.51278	MJG	DJR								
134 V	1/27/2010	10.51278	4	3								
135 C	1/27/2010	10.52583										OBS BEARING=293
136 S	1/27/2010	10.54556	52	217	1.68	1	2	MJG	DJR	4	3	
137 S	1/27/2010	10.55361	54	239	1.68	1	2	MJG	DJR	4	3	
138 S	1/27/2010	10.6	57	287	2.59	0.5	1	MJG	DJR	4	3	
139 S	1/27/2010	10.70056	58	230	1.47	1.2	1	MJG	DJR	4	3	
140 S	1/27/2010	10.70611	59	276	1.8	0.9	3	MJG	DJR	4	3	
141 S	1/27/2010	10.7375	60	236	1.68	1	2	MJG	DJR	4	3	
142 S	1/27/2010	10.77444	60	232	1.68	1	2	MJG	DJR	4	3	
143 S	1/27/2010	10.8025	61	278	2.33	0.6	1	MJG	DJR	4	3	
144 S	1/27/2010	10.82361	59	261	1.47	1.2	1	MJG	DJR	4	3	
