NORTH TRAILER												
001 P	1/29/2010	7.49472	MJG	DJR								
000 B	1/29/2010	7.5										
002 V	1/29/2010	7.49472	2	5								
003 C	1/29/2010	7.51472										OBS BEARING = 294
004 S	1/29/2010	7.59972	1	231	1.19	1.6	1	MJG	DJR	2	5	
005 S	1/29/2010	7.69	1	219	1.39	1.3	1	MJG	DJR	2	5	
006 V	1/29/2010	7.70833	2	5								
007 V	1/29/2010	7.71222	2	5								
008 B	1/29/2010	7.71722										
009 P	1/29/2010	7.71722	MJG	DJR								
010 V	1/29/2010	7.71722	2	5								
013 C	1/29/2010	8.27694										BOAT CALIBRATION 223 DEG
014 S	1/29/2010	8.31778	3	280	2.92	0.4	2	MJG	DJR	2	5	
015 S	1/29/2010	8.34444	4	282	3.37	0.3	2	MJG	DJR	2	5	
016 S	1/29/2010	8.40389	5	276	2.92	0.4	1	MJG	DJR	2	5	
017 S	1/29/2010	8.41611	5	275	2.92	0.4	1	MJG	DJR	2	5	
018 V	1/29/2010	8.42833	2	4								
019 S	1/29/2010	8.44667	6	233	1.39	1.3	1	MJG	DJR	2	4	
020 S	1/29/2010	8.50056	7	271	2.59	0.5	1	MJG	DJR	2	4	
021 C	1/29/2010	8.50222										CALIBRATION BOAT AT 223.5 DEG
022 S	1/29/2010	8.5425	6	223	1.47	1.2	1	MJG	DJR	2	4	
023 S	1/29/2010	8.59944	5	263	2.59	0.5	1	MJG	DJR	2	4	
024 S	1/29/2010	8.62361	6	214	1.47	1.2	1	MJG	DJR	2	4	
025 S	1/29/2010	8.67778	4	266	2.33	0.6	2	MJG	DJR	2	4	
026 S	1/29/2010	8.72056	8	277	2.59	0.5	1	MJG	DJR	2	4	
027 S	1/29/2010	8.75528	5	249	2.33	0.6	1	MJG	DJR	2	4	
028 C	1/29/2010	8.76333										BOAT AT 224.5 DEG
029 S	1/29/2010	8.84194	3	239	1.8	0.9	2	MJG	DJR	2	4	
030 S	1/29/2010	8.8475	5	237	2.22	0.65	1	MJG	DJR	2	4	
