NORTH TRAILER												
001 B	2/1/2010	7.51028										
002 P	2/1/2010	7.51028	mjg	wlp								
003 V	2/1/2010	7.51028	2	4								
004 C	2/1/2010	7.52361										obs bearing = 294
005 S	2/1/2010	7.61222	1	216	1.08	1.8	2	mjg	wlp	2	4	
006 S	2/1/2010	7.78972	2	226	1.08	1.8	2	mjg	wlp	2	4	
007 V	2/1/2010	7.80611	2	4								
009 S	2/1/2010	7.82889	2	219	1.39	1.3	2	mjg	wlp	2	4	
010 S	2/1/2010	8.12806	3	216	1.25	1.5	1	mjg	wlp	2	4	
011 S	2/1/2010	8.14833	3	213	1.39	1.3	1	mjg	wlp	2	4	
012 S	2/1/2010	8.2125	4	227	1.08	1.8	1	mjg	wlp	2	4	
013 S	2/1/2010	8.25694	4	219	1.04	1.9	1	mjg	wlp	2	4	
014 S	2/1/2010	8.55083	5	256	1.39	1.3	1	mjg	wlp	2	4	
015 S	2/1/2010	8.60167	6	268	1.57	1.1	1	mjg	wlp	2	4	
016 S	2/1/2010	8.62417	7	214	1.19	1.6	2	mjg	wlp	2	4	
017 V	2/1/2010	8.62889	2	3								
018 S	2/1/2010	8.78278	5	225	1.25	1.5	1	mjg	wlp	2	3	
019 S	2/1/2010	8.875	6	228	1.31	1.4	1	mjg	wlp	2	3	
020 P	2/1/2010	9.05333	rch	mjg								
021 V	2/1/2010	9.05333	2	3								
022 S	2/1/2010	9.09861	8	219	1.39	1.3	1	rch	mjg	2	3	
023 C	2/1/2010	9.10056										obs bearing = 293
024 S	2/1/2010	9.15056	9	219	1.31	1.4	1	rch	mjg	2	3	
025 S	2/1/2010	9.16639	9	217	1.31	1.4	1	rch	mjg	2	3	
026 S	2/1/2010	9.19722	8	213	1.39	1.3	1	rch	mjg	2	3	
027 S	2/1/2010	9.47111	10	230	1.08	1.8	1	rch	mjg	2	3	
028 S	2/1/2010	9.50111	10	228	1.08	1.8	1	rch	mjg	2	3	
029 S	2/1/2010	9.52722	11	270	1.68	1	4	rch	mjg	2	3	
030 S	2/1/2010	9.53472	12	250	0.99	2	1	rch	mjg	2	3	
031 S	2/1/2010	9.55917	10	217	1.08	1.8	1	rch	mjg	2	3	
032 S	2/1/2010	9.62694	13	260	1.39	1.3	2	rch	mjg	2	3	
033 S	2/1/2010	9.66111	14	256	1.08	1.8	1	rch	mjg	2	3	
034 S	2/1/2010	9.67528	11	255	1.39	1.3	4	rch	mjg	2	3	
035 S	2/1/2010	9.70889	13	252	1.31	1.4	2	rch	mjg	2	3	
036 S	2/1/2010	9.72278	14	247	1.08	1.8	1	rch	mjg	2	3	
037 S	2/1/2010	9.75	15	247	0.92	2.2	1	rch	mjg	2	3	
038 S	2/1/2010	9.75972	11	244	1.31	1.4	2	rch	mjg	2	3	
039 C	2/1/2010	9.77389										4 whales in group 11 may have split into 2 groups (2 whales in group 13)
040 S	2/1/2010	9.79472	13	239	1.19	1.6	2	rch	mjg	2	3	
041 S	2/1/2010	9.82389	15	234	0.89	2.3	1	rch	mjg	2	3	
042 S	2/1/2010	9.86194	13	229	1.19	1.6	2	rch	mjg	2	3	
043 S	2/1/2010	9.86667	14	228	1.08	1.8	2	rch	mjg	2	3	
044 S	2/1/2010	9.88556	14	225	1.13	1.7	2	rch	mjg	2	3	
