NORTH TRAILER												
001 B	2/2/2010	7.50389										
002 P	2/2/2010	7.50389	MJG	RCH								
003 V	2/2/2010	7.50389	2	2								
004 C	2/2/2010	7.51333										OBS BEARING = 293
005 S	2/2/2010	7.53278	1	230	0.96	2.1	2	MJG	RCH	2	2	
006 S	2/2/2010	7.5825	1	218	0.96	2.1	2	MJG	RCH	2	2	
007 S	2/2/2010	7.68833	2	245	1.08	1.8	3	MJG	RCH	2	2	
008 S	2/2/2010	7.70833	2	240	1.04	1.9	3	MJG	RCH	2	2	
009 S	2/2/2010	7.79472	2	221	0.96	2.1	3	MJG	RCH	2	2	
010 S	2/2/2010	7.97	3	240	1.13	1.7	3	MJG	RCH	2	2	
011 S	2/2/2010	8.04833	3	225	0.99	2	3	MJG	RCH	2	2	
012 V	2/2/2010	8.10833	2	3								
013 S	2/2/2010	8.11611	4	212	1.13	1.7	1	MJG	RCH	2	3	 
014 S	2/2/2010	8.19556	5	226	1.25	1.5	1	MJG	RCH	2	3	
015 S	2/2/2010	8.28528	6	216	0.92	2.2	1	MJG	RCH	2	3	
016 S	2/2/2010	8.52194	7	208	2.12	0.7	1	MJG	RCH	2	3	
017 S	2/2/2010	8.56528	8	260	1.25	1.5	1	MJG	RCH	2	3	
018 S	2/2/2010	8.66028	8	240	1.31	1.4	1	MJG	RCH	2	3	
019 S	2/2/2010	8.70222	8	234	1.31	1.4	2	MJG	RCH	2	3	
020 S	2/2/2010	8.88806	9	227	1.08	1.8	1	MJG	RCH	2	3	
021 S	2/2/2010	8.98472	9	210	1.04	1.9	1	MJG	RCH	2	3	
022 S	2/2/2010	9.01306	9	207	1.04	1.9	1	MJG	RCH	2	3	!!!
023 P	2/2/2010	9.02722	WLP	RCH								
024 V	2/2/2010	9.02722	2	3								
025 S	2/2/2010	9.13389	10	258	0.99	2	1	WLP	RCH	2	3	
026 S	2/2/2010	9.38611	11	272	1.8	0.9	1	WLP	RCH	2	3	
027 S	2/2/2010	9.63306	12	275	1.95	0.8	2	WLP	RCH	2	3	
028 C	2/2/2010	9.66583										"GRAMPUS  217, 2 RET, 12 (10-16)"
029 S	2/2/2010	9.74722	12	272	1.8	0.9	2	WLP	RCH	2	3	
030 S	2/2/2010	9.88083	12	258	1.68	1	2	WLP	RCH	2	3	
031 S	2/2/2010	9.90694	11	224	1.19	1.6	1	WLP	RCH	2	3	
032 S	2/2/2010	9.93972	12	252	1.47	1.2	2	WLP	RCH	2	3	
033 S	2/2/2010	9.96972	13	272	1.8	0.9	2	WLP	RCH	2	3	
034 S	2/2/2010	10.00139	14	244	1.08	1.8	1	WLP	RCH	2	3	
035 S	2/2/2010	10.02528	15	250	1.57	1.1	1	WLP	RCH	2	3	
