NORTH TRAILER												
001 B	2/3/2010	7.51083										
002 P	2/3/2010	7.51083	WLP	RCH								
003 V	2/3/2010	7.51083	2	4								
004 S	2/3/2010	7.54889	1	242	0.8	2.6	2	WLP	RCH	2	4	
005 S	2/3/2010	7.55472	2	258	0.99	2	1	WLP	RCH	2	4	
006 S	2/3/2010	7.57389	1	237	0.83	2.5	2	WLP	RCH	2	4	
007 S	2/3/2010	7.60806	3	255	0.83	2.5	2	WLP	RCH	2	4	
008 S	2/3/2010	7.66083	4	219	0.62	3.5	2	WLP	RCH	2	4	
009 S	2/3/2010	7.68306	1	220	0.99	2	2	WLP	RCH	2	4	
010 S	2/3/2010	7.70278	3	223	0.92	2.2	2	WLP	RCH	2	4	
011 S	2/3/2010	7.71444	5	240	0.8	2.6	1	WLP	RCH	2	4	
012 S	2/3/2010	7.74194	6	244	0.99	2	1	WLP	RCH	2	4	
013 S	2/3/2010	7.75222	7	260	1.25	1.5	1	WLP	RCH	2	4	
014 S	2/3/2010	7.76639	2	209	1.08	1.8	1	WLP	RCH	2	4	
015 S	2/3/2010	7.78722	6	235	0.99	2	1	WLP	RCH	2	4	
016 S	2/3/2010	7.82806	8	227	0.55	4	1	WLP	RCH	2	4	
017 V	2/3/2010	7.86111	2	3								
018 S	2/3/2010	7.89056	7	236	0.99	2	3	WLP	RCH	2	3	
019 V	2/3/2010	7.92806	3	3								
020 S	2/3/2010	7.99194	7	217	1.08	1.8	3	WLP	RCH	3	3	
021 S	2/3/2010	8.19861	9	269	1.25	1.5	2	WLP	RCH	3	3	
022 S	2/3/2010	8.235	9	265	1.19	1.6	2	WLP	RCH	3	3	
023 S	2/3/2010	8.28917	9	253	1.08	1.8	3	WLP	RCH	3	3	
024 V	2/3/2010	8.29722	2	3								
025 S	2/3/2010	8.37167	9	240	0.99	2	3	WLP	RCH	2	3	
026 S	2/3/2010	8.40139	9	234	0.99	2	2	WLP	RCH	2	3	
027 S	2/3/2010	8.44972	9	227	0.99	2	2	WLP	RCH	2	3	
028 S	2/3/2010	8.47917	10	212	0.99	2	2	WLP	RCH	2	3	
029 S	2/3/2010	8.50833	11	255	1.68	1	2	WLP	RCH	2	3	
030 S	2/3/2010	8.60278	11	243	1.57	1.1	2	WLP	RCH	2	3	
031 S	2/3/2010	8.62972	12	272	1.68	1	1	WLP	RCH	2	3	
032 S	2/3/2010	8.67056	13	271	1.68	1	2	WLP	RCH	2	3	
033 S	2/3/2010	8.68889	11	226	1.39	1.3	3	WLP	RCH	2	3	
034 S	2/3/2010	8.71389	14	264	1.68	1	4	WLP	RCH	2	3	
035 S	2/3/2010	8.72833	12	261	1.57	1.1	1	WLP	RCH	2	3	
036 S	2/3/2010	8.76722	12	256	1.57	1.1	1	WLP	RCH	2	3	
037 S	2/3/2010	8.77389	14	256	1.47	1.2	4	WLP	RCH	2	3	
038 S	2/3/2010	8.80917	14	252	1.47	1.2	4	WLP	RCH	2	3	
039 S	2/3/2010	8.82917	12	249	1.47	1.2	1	WLP	RCH	2	3	
040 S	2/3/2010	8.91056	13	241	1.25	1.5	2	WLP	RCH	2	3	
041 S	2/3/2010	8.92167	14	239	1.25	1.5	4	WLP	RCH	2	3	
042 S	2/3/2010	8.95472	15	219	1.25	1.5	1	WLP	RCH	2	3	
043 S	2/3/2010	8.96528	16	242	1.47	1.2	2	WLP	RCH	2	3	
044 S	2/3/2010	8.96917	14	229	1.25	1.5	4	WLP	RCH	2	3	
045 S	2/3/2010	8.99333	13	233	1.25	1.5	4	WLP	RCH	2	3	
046 S	2/3/2010	9.05361	12	215	1.39	1.3	1	WLP	RCH	2	3	
047 P	2/3/2010	9.07444	MJG	WLP								
048 V	2/3/2010	9.07444	3	3								
049 S	2/3/2010	9.09583	16	222	1.39	1.3	2	MJG	WLP	3	3	
050 S	2/3/2010	9.10861	17	278	1.47	1.2	1	MJG	WLP	3	3	
051 C	2/3/2010	9.11306										OBS BEARIG IS 294
052 C	2/3/2010	9.14889										"MASS OF ANIMALS WENT THROUGH AROUND 855, GROUPS MERGED AND SEPARATED BUT THINK WE GOT TOTAL NUMBER RIGHT"
053 S	2/3/2010	9.19472	18	264	1.25	1.5	1	MJG	WLP	3	3	
054 S	2/3/2010	9.22833	17	263	1.31	1.4	2	MJG	WLP	3	3	
055 S	2/3/2010	9.28056	18	250	1.04	1.9	1	MJG	WLP	3	3	
056 S	2/3/2010	9.2975	18	247	1.04	1.9	2	MJG	WLP	3	3	
057 S	2/3/2010	9.43083	19	275	1.31	1.4	2	MJG	WLP	3	3	
058 S	2/3/2010	9.44944	18	213	0.96	2.1	2	MJG	WLP	3	3	
059 S	2/3/2010	9.48972	18	210	0.99	2	2	MJG	WLP	3	3	
060 S	2/3/2010	9.50444	17	216	1.11	1.75	2	MJG	WLP	3	3	
061 S	2/3/2010	9.54389	20	262	1.25	1.5	1	MJG	WLP	3	3	
062 S	2/3/2010	9.62028	20	248	1.08	1.8	1	MJG	WLP	3	3	
063 S	2/3/2010	9.63639	19	244	0.99	2	2	MJG	WLP	3	3	
064 S	2/3/2010	9.64278	19	241	1.04	1.9	2	MJG	WLP	3	3	
065 S	2/3/2010	9.71028	20	230	0.99	2	2	MJG	WLP	3	3	
066 C	2/3/2010	9.72861										BOTH 19 AND 20 ARE CLOSE TOGETHER BUT PLOT SHOWS OTHERWISE AFTER AN EDIT
067 S	2/3/2010	9.76861	21	282	1.25	1.5	2	MJG	WLP	3	3	
068 S	2/3/2010	9.79556	22	256	1.39	1.3	3	MJG	WLP	3	3	
069 S	2/3/2010	9.82944	22	252	1.39	1.3	3	MJG	WLP	3	3	
070 S	2/3/2010	9.89028	23	222	0.99	2	2	MJG	WLP	3	3	
071 S	2/3/2010	9.99556	23	200	1.13	1.7	2	MJG	WLP	3	3	
072 S	2/3/2010	10.045	24	246	1.28	1.45	4	MJG	WLP	3	3	
073 S	2/3/2010	10.06361	21	238	0.73	2.9	2	MJG	WLP	3	3	
074 S	2/3/2010	10.12889	21	220	0.73	2.9	2	MJG	WLP	3	3	
075 S	2/3/2010	10.15361	21	214	0.73	2.9	2	MJG	WLP	3	3	
076 V	2/3/2010	10.19667	4	3								
077 S	2/3/2010	10.26722	24	229	1.08	1.8	4	MJG	WLP	4	3	
078 C	2/3/2010	10.31111										"ABOUT 125 COMMON DOLPHINS HEADED NORTH FULL SPEED, .9RET 218"
079 S	2/3/2010	10.39306	24	211	1.08	1.8	4	MJG	WLP	4	3	
080 S	2/3/2010	10.41639	24	204	1.13	1.7	4	MJG	WLP	4	3	
081 S	2/3/2010	10.4875	25	282	2.33	0.6	1	MJG	WLP	4	3	
082 P	2/3/2010	10.54972	RCH	MJG								
083 V	2/3/2010	10.54972	4	3								
084 C	2/3/2010	10.65667										OBS BEARING = 293
085 S	2/3/2010	10.70667	26	229	0.89	2.3	1	RCH	MJG	4	3	
086 S	2/3/2010	10.73861	27	231	0.89	2.3	1	RCH	MJG	4	3	
087 S	2/3/2010	10.79444	28	245	1.08	1.8	1	RCH	MJG	4	3	
088 S	2/3/2010	10.85528	25	254	1.08	1.8	1	RCH	MJG	4	3	
089 S	2/3/2010	10.90361	25	246	0.92	2.2	2	RCH	MJG	4	3	
090 S	2/3/2010	10.9425	28	217	1.13	1.7	1	RCH	MJG	4	3	
091 S	2/3/2010	10.97611	29	243	0.96	2.1	1	RCH	MJG	4	3	
092 S	2/3/2010	11.10361	25	215	0.92	2.2	1	RCH	MJG	4	3	
093 S	2/3/2010	11.16167	29	225	0.96	2.1	1	RCH	MJG	4	3	
094 S	2/3/2010	11.19694	30	237	1.74	0.95	1	RCH	MJG	4	3	
095 S	2/3/2010	11.22667	30	233	1.68	1	1	RCH	MJG	4	3	
096 S	2/3/2010	11.25583	30	230	1.68	1	2	RCH	MJG	4	3	
097 S	2/3/2010	11.31806	31	233	1.25	1.5	1	RCH	MJG	4	3	
098 S	2/3/2010	11.35167	31	226	1.19	1.6	1	RCH	MJG	4	3	
099 S	2/3/2010	11.43194	30	223	1.68	1	2	RCH	MJG	4	3	
100 S	2/3/2010	11.50694	32	266	0.92	2.2	1	RCH	MJG	4	3	
101 C	2/3/2010	11.51444										"GRAMPUS 263, 1.6 RETICLES; n=75(50-150), TRAVEL N "
102 S	2/3/2010	11.56056	33	257	1.13	1.7	1	RCH	MJG	4	3	
103 S	2/3/2010	11.60417	34	259	1.08	1.8	2	RCH	MJG	4	3	
104 S	2/3/2010	11.64639	32	255	0.48	4.7	1	RCH	MJG	4	3	
105 S	2/3/2010	11.65583	34	257	0.89	2.3	2	RCH	MJG	4	3	
106 S	2/3/2010	11.68694	33	239	1.08	1.8	1	RCH	MJG	4	3	
107 S	2/3/2010	11.73833	35	235	1.95	0.8	1	RCH	MJG	4	3	
108 S	2/3/2010	11.75944	32	215	0.29	8	1	RCH	MJG	4	3	
109 S	2/3/2010	11.80528	36	228	1.68	1	1	RCH	MJG	4	3	
110 S	2/3/2010	11.81528	35	226	1.95	0.8	1	RCH	MJG	4	3	
111 S	2/3/2010	11.86	36	223	1.68	1	1	RCH	MJG	4	3	
112 C	2/3/2010	11.86833										GRAMPUS MILLING AT 220; 3 RETICLES
113 S	2/3/2010	11.91778	34	214	0.86	2.4	1	RCH	MJG	4	3	2 
114 S	2/3/2010	11.96556	37	225	1.68	1	3	RCH	MJG	4	3	
115 S	2/3/2010	12.04778	37	216	1.8	0.9	3	RCH	MJG	4	3	
116 P	2/3/2010	12.10111	WLP	RCH								
117 V	2/3/2010	12.10111	4	3								
118 S	2/3/2010	12.15944	38	271	1.68	1	2	WLP	RCH	4	3	
119 S	2/3/2010	12.20222	39	266	1.57	1.1	1	WLP	RCH	4	3	
120 S	2/3/2010	12.24333	39	262	1.47	1.2	2	WLP	RCH	4	3	
121 S	2/3/2010	12.24806	38	266	1.57	1.1	2	WLP	RCH	4	3	
