NORTH TRAILER												
001 B	2/5/2010	7.50111										
002 P	2/5/2010	7.50111	RCH	MJG								
003 V	2/5/2010	7.50111	2	4								
004 C	2/5/2010	7.53861										OBS BEARING = 293
005 S	2/5/2010	7.73306	1	251	1.39	1.3	1	RCH	MJG	2	4	
006 S	2/5/2010	7.745	2	249	1.25	1.5	2	RCH	MJG	2	4	
007 S	2/5/2010	7.77944	3	251	0.73	2.9	1	RCH	MJG	2	4	
008 V	2/5/2010	7.78861	3	5								
009 S	2/5/2010	7.85611	1	234	1.25	1.5	2	RCH	MJG	3	4	
010 S	2/5/2010	7.87083	2	233	1.13	1.7	2	RCH	MJG	3	4	
011 S	2/5/2010	7.87722	4	227	0.89	2.3	1	RCH	MJG	3	4	
012 S	2/5/2010	7.885	5	224	1.19	1.6	1	RCH	MJG	3	4	
013 V	2/5/2010	7.85	3	4								
014 S	2/5/2010	7.93111	4	215	0.99	2	1	RCH	MJG	3	4	
015 S	2/5/2010	8.0075	4	206	1.04	1.9	1	RCH	MJG	3	4	
016 S	2/5/2010	8.12139	2	211	1.13	1.7	2	RCH	MJG	3	4	
017 S	2/5/2010	8.21278	6	215	1.57	1.1	1	RCH	MJG	3	4	
019 S	2/5/2010	8.58083	8	230	1.8	0.9	1	RCH	MJG	3	4	
020 C	2/5/2010	8.73917										BELOW 215 HORIZON OBSCURE
021 S	2/5/2010	8.80194	9	230	1.47	1.2	2	RCH	MJG	3	4	
022 S	2/5/2010	8.85167	9	222	1.47	1.2	2	RCH	MJG	3	4	
023 S	2/5/2010	8.94833	8	212	1.8	0.9	1	RCH	MJG	3	4	
024 S	2/5/2010	8.98861	10	194	0.62	3.5	1	RCH	MJG	3	4	
025 S	2/5/2010	9.01083	10	188	0.62	3.5	1	RCH	MJG	3	4	
026 P	2/5/2010	9.03472	WLP	RCH								
027 V	2/5/2010	9.03472	3	4								
028 S	2/5/2010	9.26028	11	250	2.59	0.5	1	WLP	RCH	3	4	
029 S	2/5/2010	9.59472	11	215	2.59	0.5	1	WLP	RCH	3	4	
030 V	2/5/2010	9.94056	4	4								
031 S	2/5/2010	10.23972	12	242	1.8	0.9	1	WLP	RCH	4	4	
032 P	2/5/2010	10.55028	MJG	WLP								
033 V	2/5/2010	10.55028	4	4								
034 S	2/5/2010	10.61944	13	261	1.68	1	1	MJG	WLP	4	4	
035 S	2/5/2010	10.64694	14	276	2.59	0.5	2	MJG	WLP	4	4	
036 S	2/5/2010	10.74611	13	252	1.57	1.1	1	MJG	WLP	4	4	
037 S	2/5/2010	10.76083	15	216	1.95	0.8	1	MJG	WLP	4	4	
038 C	2/5/2010	11.15944										"Bearing on boat, south shed 241, north shed 227"
039 C	2/5/2010	11.17194										obs 294
040 S	2/5/2010	11.38028	16	246	1.13	1.7	1	MJG	WLP	4	4	
041 S	2/5/2010	11.41667	17	243	1.57	1.1	2	MJG	WLP	4	4	
042 S	2/5/2010	11.45944	18	249	1.68	1	2	MJG	WLP	4	4	
043 S	2/5/2010	11.50056	18	247	1.68	1	2	MJG	WLP	4	4	
044 C	2/5/2010	11.50444										horizon obscured by rain and fog
