NORTH TRAILER																 
001 B	2/6/2010	9.00083														
002 P	2/6/2010	9.00083	mjg	wlp												
003 V	2/6/2010	9.00083	2	4												
004 C	2/6/2010	9.06389														
005 C	2/6/2010	9.06611										obs 294				
006 C	2/6/2010	9.075										delayed start of watch due to rain				
007 S	2/6/2010	9.40417	1	266	1.47	1.2	1	mjg	wlp	2	4					
008 C	2/6/2010	9.40556										"4 ret, 235, 10-15 probably Grampus c/c group, but far enough away that they could have been Tursiops"				
009 S	2/6/2010	9.46583	1	263	1.47	1.2	1	mjg	wlp	2	4					
010 S	2/6/2010	9.49694	2	259	1.57	1.1	1	mjg	wlp	2	4					
011 S	2/6/2010	9.50639	1	259	1.47	1.2	2	mjg	wlp	2	4					
012 S	2/6/2010	9.59111	1	252	1.39	1.3	2	mjg	wlp	2	4					
013 S	2/6/2010	9.67556	1	241	1.25	1.5	2	mjg	wlp	2	4					
014 V	2/6/2010	9.68167	2	3												
015 S	2/6/2010	9.72361	2	245	1.31	1.4	1	mjg	wlp	2	3	
016 S	2/6/2010	9.74361	1	230	1.25	1.5	2	mjg	wlp	2	3	
017 S	2/6/2010	9.81083	1	221	1.25	1.5	2	mjg	wlp	2	3	
018 C	2/6/2010	9.82306										"215 north shed, 226 south shed (primary obs) boat on horizon"				
019 S	2/6/2010	9.9425	1	203	1.31	1.4	2	mjg	wlp	2	3	
020 C	2/6/2010	10.05806										"233 obs, 236 rec; 244 obs, 251 rec;  boat on horizon"				
021 S	2/6/2010	10.17667	3	237	0.67	3.2	1	mjg	wlp	2	3					
022 P	2/6/2010	10.57028	RCH	MJG												
023 V	2/6/2010	10.57028	3	3												
024 C	2/6/2010	10.59528										OBS BEARING = 293				
025 C	2/6/2010	10.615														
026 S	2/6/2010	10.75944	4	214	1.68	1	1	RCH	MJG	3	3					
027 S	2/6/2010	10.83611	5	217	1.19	1.6	1	RCH	MJG	3	3					
028 V	2/6/2010	10.91833	3	4												
029 V	2/6/2010	11.01278	3	3												
030 S	2/6/2010	11.06444	6	272	2.12	0.7	1	RCH	MJG	3	3					
031 S	2/6/2010	11.13222	7	235	1.95	0.8	1	RCH	MJG	3	3					
032 S	2/6/2010	11.33333	7	230	1.8	0.9	1	RCH	MJG	3	3	RETICLE				
033 S	2/6/2010	11.60167	8	240	1.13	1.7	1	RCH	MJG	3	3					
034 S	2/6/2010	11.65556	8	233	1.13	1.7	1	RCH	MJG	3	3					
035 S	2/6/2010	11.70861	6	204	1.57	1.1	1	RCH	MJG	3	3	
036 S	2/6/2010	11.80444	8	217	1.08	1.8	1	RCH	MJG	3	3	
037 S	2/6/2010	11.84889	8	213	1.13	1.7	1	RCH	MJG	3	3	
038 S	2/6/2010	11.98111	9	257	1.8	0.9	2	RCH	MJG	3	3					
039 P	2/6/2010	12.01861	WLP	RCH												
040 V	2/6/2010	12.01861	3	3												
041 S	2/6/2010	12.05444	9	254	1.68	1	2	WLP	RCH	3	3					
042 S	2/6/2010	12.0725	10	275	1.68	1	1	WLP	RCH	3	3					
043 S	2/6/2010	12.10028	9	248	1.57	1.1	2	WLP	RCH	3	3					
