NORTH TRAILER												
001 B	2/8/2010	7.50694										
002 P	2/8/2010	7.50694	LTB	DWW								
003 V	2/8/2010	7.50694	4	3								
004 C	2/8/2010	7.60028										OBS BEARING = 293
005 C	2/8/2010	7.63889										"GRAMPUS, SOUTHBOUND, 200+"
006 S	2/8/2010	7.80639	1	240	2.12	0.7	2	LTB	DWW	4	3	
007 S	2/8/2010	7.90694	2	233	1.68	1	2	LTB	DWW	4	3	
008 V	2/8/2010	8.02111	4	4								
009 C	2/8/2010	8.1										"TURSIOPS, SOUTHBOUND, 8 RT, B=3,H=6,L=2"
010 S	2/8/2010	8.18889	3	211	1.57	1.1	2	LTB	DWW	4	4	
011 S	2/8/2010	8.42833	4	256	1.31	1.4	1	LTB	DWW	4	4	
012 P	2/8/2010	9.00778	JWG	LTB								
013 V	2/8/2010	9.00778	4	4								
014 C	2/8/2010	9.03389										OBS BEARING = 293
015 V	2/8/2010	9.10472	4	3								
016 P	2/8/2010	10.51028	CSM	JWG								
017 V	2/8/2010	10.51028	4	3								
018 S	2/8/2010	11.24	5	230	0.33	5	1	CSM	JWG	4	3	
019 C	2/8/2010	11.28861										Grampus sighting.best:145 high:165. low:125
020 C	2/8/2010	11.31917										
021 C	2/8/2010	11.33639										
022 S	2/8/2010	11.35139	6	273	0.83	2.5	2	CSM	JWG	4	3	
024 P	2/8/2010	12.00306	DWW	CSM								
025 V	2/8/2010	12.00306	4	2								
026 C	2/8/2010	12.02556										OBS BEARING = 293
027 C	2/8/2010	12.36										"GRAMPUS N-BOUND, n=2, 4 Ret"
028 S	2/8/2010	12.40694	7	211	1.08	1.8	2	DWW	CSM	4	2	
029 V	2/8/2010	12.43222	4	2								
030 V	2/8/2010	12.45111	4	3								
031 C	2/8/2010	12.48306										"UNID DOLPHIN, N-Bound, n=5, 1 Ret"
032 S	2/8/2010	12.63444	8	221	0.71	3	1	DWW	CSM	4	3	
033 S	2/8/2010	12.76972	9	263	1.25	1.5	1	DWW	CSM	4	3	
034 S	2/8/2010	12.82944	9	250	1.25	1.5	1	DWW	CSM	4	3	
035 S	2/8/2010	12.88889	10	236	0.99	2	1	DWW	CSM	4	3	
036 S	2/8/2010	12.93	10	223	0.96	2.1	1	DWW	CSM	4	3	
037 S	2/8/2010	12.96972	10	211	0.96	2.1	1	DWW	CSM	4	3	
038 S	2/8/2010	13	11	247	0.83	2.5	1	DWW	CSM	4	3	
039 S	2/8/2010	13.13139	11	205	0.83	2.5	1	DWW	CSM	4	3	
040 C	2/8/2010	13.27361										"TURSIOPS, S-Bound, n=10, 2.5 Ret, 239 deg"
041 P	2/8/2010	13.50944	LTB	DWW								
042 V	2/8/2010	13.50944	4	3								
043 C	2/8/2010	13.55972										OBS BEARING = 294
044 S	2/8/2010	13.58833	12	202	0.71	3	1	LTB	DWW	4	3	
045 S	2/8/2010	13.70111	13	261	0.39	5.8	1	LTB	DWW	4	3	
046 S	2/8/2010	13.71583	12	240	0.55	4	1	LTB	DWW	4	3	
047 S	2/8/2010	13.73306	13	245	0.36	6.5	1	LTB	DWW	4	3	
048 S	2/8/2010	13.78167	13	216	0.41	5.5	1	LTB	DWW	4	3	
049 S	2/8/2010	13.8825	12	274	0.75	2.8	1	LTB	DWW	4	3	
050 S	2/8/2010	14.10806	14	210	0.99	2	1	LTB	DWW	4	3	
051 S	2/8/2010	14.37583	15	262	1.25	1.5	1	LTB	DWW	4	3	
052 S	2/8/2010	14.56861	15	229	0.96	2.1	1	LTB	DWW	4	3	
053 S	2/8/2010	14.61028	15	218	1.08	1.8	1	LTB	DWW	4	3	
054 S	2/8/2010	14.84472	16	210	1.13	1.7	1	LTB	DWW	4	3	
055 P	2/8/2010	15.00139	JWG	LTB								
056 V	2/8/2010	15.00139	4	3								
057 C	2/8/2010	15.01667										OBS BEARING = 293
058 C	2/8/2010	15.84167										
059 C	2/8/2010	15.88833										SIGHTING CA. 5 MINS AGO DID NOT PROPERLY ENTER; SHOULD BE 265 AND 2 RET
060 S	2/8/2010	15.92556	17	245	5.08	0.1	3	JWG	LTB	4	3	
061 S	2/8/2010	15.97028	18	252	0.99	2	4	JWG	LTB	4	3	
063 S	2/8/2010	16.0025	18	248	0.92	2.2	4	JWG	LTB	4	3	
064 S	2/8/2010	16.05583	17	239	5.08	0.1	4	JWG	LTB	4	3	
065 C	2/8/2010	16.07694										COMMENT ON LINE 59 PERTAINS TO GROUP 18
066 S	2/8/2010	16.09361	18	230	0.83	2.5	4	JWG	LTB	4	3	
067 S	2/8/2010	16.20583	17	234	5.08	0.1	0	JWG	LTB	4	3	
068 S	2/8/2010	16.24417	19	242	0.71	3	1	JWG	LTB	4	3	
069 C	2/8/2010	16.29306										GROUP 17 IS NOW PROBABLE GRAY WHALES
070 S	2/8/2010	16.31639	17	227	5.08	0.1	4	JWG	LTB	4	3	
071 C	2/8/2010	16.32389										GROUP SIZE MIN FOR GROUP 17
072 S	2/8/2010	16.50028	17	225	5.08	0.1	5	JWG	LTB	4	3	
073 E	2/8/2010	16.50389										
