NORTH TRAILER												
001 B	2/11/2010	7.50528										
002 P	2/11/2010	7.50528	JWG	DWW								
003 V	2/11/2010	7.50528	2	2								
004 C	2/11/2010	7.51889										OBS BEARING = 293
005 V	2/11/2010	8.18444	2	3								
006 S	2/11/2010	8.8575	1	277	1.39	1.3	2	JWG	DWW	2	3	
007 S	2/11/2010	8.91111	1	273	1.39	1.3	2	JWG	DWW	2	3	
008 S	2/11/2010	8.92194	2	285	1.8	0.9	1	JWG	DWW	2	3	
009 S	2/11/2010	8.96667	1	268	1.13	1.7	2	JWG	DWW	2	3	
010	P	2/11/2010	9.00001	CSM JWG
011 V	2/11/2010	9.06778	2	3								
013 S	2/11/2010	9.03889	1	259	0.99	2	2	JWG	DWW	2	3	
015 S	2/11/2010	9.10361	1	247	0.89	2.3	4	CSM	JWG	2	3	
016 S	2/11/2010	9.21861	1	229	0.89	2.3	4	CSM	JWG	2	3	
017 S	2/11/2010	9.2475	2	255	0.99	2	1	CSM	JWG	2	3	
018 S	2/11/2010	9.27722	2	253	0.99	2	1	CSM	JWG	2	3	
019 S	2/11/2010	9.41444	2	233	0.99	2	1	CSM	JWG	2	3	
020 S	2/11/2010	9.42278	2	233	0.99	2	2	CSM	JWG	2	3	
021 S	2/11/2010	9.49417	3	290	1.8	0.9	3	CSM	JWG	2	3	
022 S	2/11/2010	9.51944	3	290	1.8	0.9	3	CSM	JWG	2	3	
023 S	2/11/2010	9.57556	3	273	1.8	0.9	3	CSM	JWG	2	3	
024 S	2/11/2010	9.69444	3	262	1.68	1	3	CSM	JWG	2	3	
025 C	2/11/2010	9.69472										
026 S	2/11/2010	9.70306	3	262	1.68	1	2	CSM	JWG	2	3	
027 S	2/11/2010	9.74611	3	262	1.68	1	3	CSM	JWG	2	3	
028 S	2/11/2010	9.81722	3	245	1.31	1.4	3	CSM	JWG	2	3	
029 S	2/11/2010	9.91611	3	229	1.31	1.4	3	CSM	JWG	2	3	
030 S	2/11/2010	9.98917	4	285	2.59	0.5	1	CSM	JWG	2	3	
031 V	2/11/2010	9.99417	2	2								
032 S	2/11/2010	10.05667	4	278	2.33	0.6	1	CSM	JWG	2	2	
033 S	2/11/2010	10.11417	4	272	1.95	0.8	3	CSM	JWG	2	2	
034 S	2/11/2010	10.25	4	264	1.47	1.2	3	CSM	JWG	2	2	
035 S	2/11/2010	10.32694	4	252	1.31	1.4	3	CSM	JWG	2	2	
036 S	2/11/2010	10.41722	4	238	1.25	1.5	3	CSM	JWG	2	2	
037 S	2/11/2010	10.43417	4	238	1.25	1.5	4	CSM	JWG	2	2	
038 S	2/11/2010	10.47056	4	229	1.08	1.8	4	CSM	JWG	2	2	
039 S	2/11/2010	10.52806	5	268	3.37	0.3	1	CSM	JWG	2	2	
040 P	2/11/2010	10.54083	DWW	CSM								
041 V	2/11/2010	10.54083	2	2								
042 C	2/11/2010	10.54833										OBS BEARING = 293
043 V	2/11/2010	11.43111	2	3								
044 S	2/11/2010	11.72833	6	247	1.25	1.5	1	DWW	CSM	2	3	
045 S	2/11/2010	11.86194	6	230	1.25	1.5	1	DWW	CSM	2	3	
046 S	2/11/2010	11.94972	6	216	1.19	1.6	1	DWW	CSM	2	3	
047 P	2/11/2010	12.0725	JWG	DWW								
048 V	2/11/2010	12.0725	2	3								
049 C	2/11/2010	12.0775										OBS BEARING = 293
050 S	2/11/2010	12.52417	7	233	0.75	2.8	1	JWG	DWW	2	3	
051 S	2/11/2010	12.60444	7	214	0.75	2.8	1	JWG	DWW	2	3	
052 S	2/11/2010	12.83361	8	278	1.47	1.2	3	JWG	DWW	2	3	
053 S	2/11/2010	12.90611	8	271	1.25	1.5	3	JWG	DWW	2	3	
054 S	2/11/2010	13.00444	8	259	1.08	1.8	3	JWG	DWW	2	3	
055 S	2/11/2010	13.08028	8	242	0.96	2.1	4	JWG	DWW	2	3	
056 S	2/11/2010	13.16139	8	224	0.8	2.6	4	JWG	DWW	2	3	
057 S	2/11/2010	13.20944	8	213	0.83	2.5	4	JWG	DWW	2	3	
058 S	2/11/2010	13.25861	9	243	1.68	1	3	JWG	DWW	2	3	
059 S	2/11/2010	13.36611	9	228	1.68	1	3	JWG	DWW	2	3	
060 S	2/11/2010	13.45944	9	217	1.57	1.1	3	JWG	DWW	2	3	
061 P	2/11/2010	13.53222	CSM	JWG								
062 V	2/11/2010	13.53222	2	3								
063 C	2/11/2010	13.54194										0BS BEARING:293
064 S	2/11/2010	13.55833	10	270	1.47	1.2	1	CSM	JWG	2	3	
065 S	2/11/2010	13.73556	10	259	1.31	1.4	1	CSM	JWG	2	3	
066 S	2/11/2010	13.83389	10	242	1.25	1.5	2	CSM	JWG	2	3	
067 S	2/11/2010	13.94861	10	220	1.04	1.9	2	CSM	JWG	2	3	
068 S	2/11/2010	14.33361	11	240	1.13	1.7	1	CSM	JWG	2	3	
069 P	2/11/2010	15.00222	DWW	CSM								
070 V	2/11/2010	15.00222	2	2								
071 C	2/11/2010	15.01167										OBS BEARING=293
072 S	2/11/2010	15.32667	12	277	1.95	0.8	4	DWW	CSM	2	2	
073 S	2/11/2010	15.45722	12	269	1.68	1	4	DWW	CSM	2	2	
074 S	2/11/2010	15.59056	12	258	1.25	1.5	4	DWW	CSM	2	2	
075 S	2/11/2010	15.70889	12	238	1.19	1.6	4	DWW	CSM	2	2	
076 S	2/11/2010	15.75278	12	227	1.08	1.8	4	DWW	CSM	2	2	
077 V	2/11/2010	16.05944	2	1								
079 V	2/11/2010	16.21028	2	2								
080 C	2/11/2010	16.22056										DELETE LINE 78
081 V	2/11/2010	16.31222	2	3								
082 E	2/11/2010	16.50194										
