NORTH TRAILER												
001 B	2/12/2010	7.50056										
002 P	2/12/2010	7.50056	CSM	JWG								
003 V	2/12/2010	7.50056	2	3								
004 C	2/12/2010	7.51333										OBS BEARING: 293
005 S	2/12/2010	7.57	1	222	0.73	2.9	1	CSM	JWG	2	3	
006 S	2/12/2010	7.57333	1	222	0.73	2.9	2	CSM	JWG	2	3	
007 S	2/12/2010	8.23028	2	237	0.75	2.8	1	CSM	JWG	2	3	
008 C	2/12/2010	8.23722										"FOGGY OFFSHORE, OVERCAST. SOME LIGHT SHOWERS TO THE NORTH"
009 S	2/12/2010	8.58028	3	272	1.95	0.8	2	CSM	JWG	2	3	
010 S	2/12/2010	8.66778	3	264	1.47	1.2	2	CSM	JWG	2	3	
011 S	2/12/2010	8.74472	3	256	1.39	1.3	2	CSM	JWG	2	3	
012 V	2/12/2010	8.80167	2	4								
013 C	2/12/2010	8.80944										"FOG BANK JUST ROLLED IN, 65% OF SURVEY AREA IN FOG"
014 S	2/12/2010	8.84472	3	242	1.31	1.4	2	CSM	JWG	2	4	
015 C	2/12/2010	8.9										FOG STARTING TO BACK OFF NOW
016 S	2/12/2010	8.93694	3	224	1.13	1.7	2	CSM	JWG	2	4	
017 P	2/12/2010	9.00333	DWW	CSM								
018 V	2/12/2010	9.00333	2	4								
019 C	2/12/2010	9.01778										OBS BEARING = 293
020 S	2/12/2010	9.31278	4	220	0.92	2.2	1	DWW	CSM	2	4	
021 V	2/12/2010	9.52917	2	3								
022 S	2/12/2010	9.60083	5	252	1.13	1.7	1	DWW	CSM	2	3	
023 S	2/12/2010	9.65028	5	245	1.19	1.6	1	DWW	CSM	2	3	
024 S	2/12/2010	9.77167	5	227	1.19	1.6	2	DWW	CSM	2	3	
025 S	2/12/2010	10.36333	6	232	1.13	1.7	1	DWW	CSM	2	3	
026 P	2/12/2010	10.50472	JWG	DWW								
027 V	2/12/2010	10.50472	2	3								
028 C	2/12/2010	10.51833										OBS BEARING = 293
029 S	2/12/2010	10.55944	6	201	1.13	1.7	1	JWG	DWW	2	3	
030 S	2/12/2010	10.94222	7	259	0.75	2.8	1	JWG	DWW	2	3	
031 S	2/12/2010	11.08056	7	230	0.58	3.8	2	JWG	DWW	2	3	
032 S	2/12/2010	11.15861	7	208	0.67	3.2	2	JWG	DWW	2	3	
033 C	2/12/2010	11.65361										"GRAMPUS, 237 DEGREES, 4.3 RET, SOUTHBOUND, L=6, B=7, H=9"
034 S	2/12/2010	11.82972	8	242	1.08	1.8	1	JWG	DWW	2	3	
035 S	2/12/2010	11.8425	8	239	0.96	2.1	2	JWG	DWW	2	3	
036 S	2/12/2010	11.93917	8	220	0.96	2.1	2	JWG	DWW	2	3	
037 S	2/12/2010	11.95861	8	213	0.99	2	3	JWG	DWW	2	3	
038 P	2/12/2010	12.00778	CSM	JWG								
039 V	2/12/2010	12.00778	2	2								
040 C	2/12/2010	12.02861										OBS BEARING: 293
041 S	2/12/2010	12.94778	9	257	0.83	2.5	1	CSM	JWG	2	2	
042 S	2/12/2010	13.00167	9	242	0.78	2.7	1	CSM	JWG	2	2	
043 S	2/12/2010	13.075	9	224	0.75	2.8	1	CSM	JWG	2	2	
044 S	2/12/2010	13.12833	9	208	0.75	2.8	1	CSM	JWG	2	2	
045 S	2/12/2010	13.4275	10	220	1.13	1.7	1	CSM	JWG	2	2	
046 S	2/12/2010	13.46444	11	234	0.89	2.3	2	CSM	JWG	2	2	
047 P	2/12/2010	13.51417	DWW	CSM								
048 V	2/12/2010	13.51417	2	2								
049 C	2/12/2010	13.53056										OBS BEARING = 293
050 V	2/12/2010	13.8625	2	3								
051 S	2/12/2010	14.19861	12	219	0.41	5.5	1	DWW	CSM	2	3	
052 S	2/12/2010	14.27306	12	198	0.56	3.9	1	DWW	CSM	2	3	
053 S	2/12/2010	14.44972	13	264	2.12	0.7	1	DWW	CSM	2	3	
054 S	2/12/2010	14.9975	14	228	0.62	3.5	1	DWW	CSM	2	3	NORTHBOUND
055 P	2/12/2010	15.09139	JWG	DWW								
056 V	2/12/2010	15.09139	2	3								
057 S	2/12/2010	15.36667	14	286	0.99	2	1	JWG	DWW	2	3	NORTHBOUND
058 S	2/12/2010	15.56472	15	218	1.95	0.8	1	JWG	DWW	2	3	
059 S	2/12/2010	15.78139	16	220	0.45	5	2	JWG	DWW	2	3	NORTHBOUND
060 V	2/12/2010	15.79083	2	4								
061 S	2/12/2010	15.8175	16	228	0.45	5	2	JWG	DWW	2	4	NORTHBOUND 
062 E	2/12/2010	16.50167										
