NORTH TRAILER												
001 B	2/17/2010	7.5										
002 P	2/17/2010	7.5	MSL	CSM								
003 V	2/17/2010	7.5	3	2								
004 C	2/17/2010	7.50694										OBS BEARING = 294
005 S	2/17/2010	7.98	1	202	0.83	2.5	1	MSL	CSM	3	2	
006 V	2/17/2010	8.19278	2	2								
007 S	2/17/2010	8.82278	2	234	1.68	1	3	MSL	CSM	2	2	
008 S	2/17/2010	8.91889	3	200	0.5	4.5	1	MSL	CSM	2	2	
009 S	2/17/2010	8.99389	3	238	0.62	3.5	1	MSL	CSM	2	2	NORTHBOUND
010 C	2/17/2010	8.99528										GROUP #3 NORTHBOUND
011 P	2/17/2010	9.06944	JWG	MSL								
012 V	2/17/2010	9.06944	2	2								
013 C	2/17/2010	9.17361										OBS BEARING 294
014 C	2/17/2010	9.64667										
015 S	2/17/2010	9.74194	4	236	0.83	2.5	2	JWG	MSL	2	2	
016 C	2/17/2010	9.7425										GRP# 4 IS NORTHBOUND
017 S	2/17/2010	9.81833	4	236	0.83	2.5	2	JWG	MSL	2	2	
018 S	2/17/2010	9.83028	4	240	0.92	2.2	3	JWG	MSL	2	2	
019 C	2/17/2010	9.83222										"EDITED - GRP # 4 IS SAME AS #5, GRP#4 DID NOT SHOW UP ON TRACKING PAGE, SO REDID F2"
020 V	2/17/2010	9.85444	3	3								
021 S	2/17/2010	9.87861	5	240	0.92	2.2	3	JWG	MSL	3	3	
022 S	2/17/2010	9.99444	6	209	0.99	2	0	JWG	MSL	3	3	
023 P	2/17/2010	10.51222	CSM	JWG								
024 V	2/17/2010	10.51222	3	3								
025 C	2/17/2010	10.51833										OBS BEARING: 294
026 S	2/17/2010	11.59917	7	240	0.86	2.4	1	CSM	JWG	3	3	NORTHBOUND
027 C	2/17/2010	11.60083										1 GRAY WHALE (SIGHT NO. 7) GOING NORTH
028 S	2/17/2010	11.7275	7	262	0.71	3	1	CSM	JWG	3	3	NORTHBOUND
029 S	2/17/2010	11.95556	8	232	1.13	1.7	2	CSM	JWG	3	3	
030 C	2/17/2010	11.95639										2 WHALES (SIGHT 8) GOING NORTHBOUND
031 P	2/17/2010	12.00001	MSL	CSM								
032 V	2/17/2010	12.00001	3	2								
033 S	2/17/2010	12.03167	8	250	0.71	3	2	MSL	CSM	3	2	
034 S	2/17/2010	12.28472	8	280	0.99	2	2	MSL	CSM	3	2	
035 S	2/17/2010	12.29417	9	279	1.68	1	1	MSL	CSM	3	2	
036 S	2/17/2010	12.74528	10	245	0.42	5.4	1	MSL	CSM	3	2	
037 S	2/17/2010	12.81556	10	213	0.41	5.5	1	MSL	CSM	3	2	
038 S	2/17/2010	12.91583	10	190	0.45	5	1	MSL	CSM	3	2	
039 C	2/17/2010	13.32278										OBS (MSL) BEARING = 294 (LATE ENTRY)
040 P	2/17/2010	13.55028	JWG	MSL								
041 V	2/17/2010	13.55028	3	2								
042 C	2/17/2010	13.56417										OBS BEARING 293
043 S	2/17/2010	13.60056	11	195	1.08	1.8	1	JWG	MSL	3	2	
044 C	2/17/2010	13.61056										GRP #11 IS NORTHBOUND
045 S	2/17/2010	13.6625	11	203	1.08	1.8	1	JWG	MSL	3	2	
046 S	2/17/2010	13.73528	11	216	0.99	2	1	JWG	MSL	3	2	
047 S	2/17/2010	13.90472	11	258	1.08	1.8	1	JWG	MSL	3	2	
048 S	2/17/2010	14.50139	12	243	1.25	1.5	1	JWG	MSL	3	2	
049 S	2/17/2010	14.51917	12	239	1.25	1.5	3	JWG	MSL	3	2	
050 S	2/17/2010	14.69806	13	232	1.25	1.5	2	JWG	MSL	3	2	
051 S	2/17/2010	14.70306	13	214	1.25	1.5	5	JWG	MSL	3	2	
052 P	2/17/2010	15.07056	CSM	JWG								
053 V	2/17/2010	15.07056	3	2								
054 C	2/17/2010	15.07417										OBS BEARING: 294
055 S	2/17/2010	15.25889	14	275	1.08	1.8	1	CSM	JWG	3	2	
056 S	2/17/2010	15.36472	14	256	0.96	2.1	1	CSM	JWG	3	2	
057 S	2/17/2010	15.46417	14	230	0.78	2.7	1	CSM	JWG	3	2	
058 C	2/17/2010	15.50167										FOG AT THE HORIZON NOW.
059 C	2/17/2010	15.61583										75% OF THE SURVEY AREA IS COVERED IN A FOG BANK NOW.
060 V	2/17/2010	15.64667	3	6								
061 C	2/17/2010	15.65278										FOG BANK MOVING QUICKLY TOWARDS SHORE NOW
062 E	2/17/2010	15.65861										
