NORTH TRAILER												
001 B	2/18/2010	7.5										
002 P	2/18/2010	7.5	JWG	MSL								
003 V	2/18/2010	7.5	2	4								
004 C	2/18/2010	7.53306										"HORIZON OBSCURED BY FOG, ESPECIALLY TOWARDS NORTH, RETICALS SHOULD BE TAKEN AS APPROXIMATE"
005 S	2/18/2010	7.7325	1	243	0.83	2.5	1	JWG	MSL	2	4	
006 S	2/18/2010	8.11472	2	218	0.71	3	1	JWG	MSL	2	4	NORTHBOUND
007 C	2/18/2010	8.535										OBSERVER BEARING 293 (LATE ENTRY)
008 P	2/18/2010	9.02556	CSM	JWG								
009 V	2/18/2010	9.02556	2	4								
010 C	2/18/2010	9.02944										OBS BEARING:294
011 C	2/18/2010	9.0325										STILL FOGGY AT THE HORIZON; DARK OVERCAST SKIES.
012 C	2/18/2010	9.29222										"1 TURISOPS IN FRONT OF THE ROCKS, IN THE SURF"
013 C	2/18/2010	9.31806										THE TURSIOPS HAS A CALF
014 S	2/18/2010	9.74472	3	210	0.86	2.4	1	CSM	JWG	2	4	
015 S	2/18/2010	10.095	3	230	0.92	2.2	1	CSM	JWG	2	4	
016 C	2/18/2010	10.1										SIGHTING 3 NOW APPEARS TO BE A NORTHBOUND GRAY WHALE
017 S	2/18/2010	10.14611	3	242	0.83	2.5	1	CSM	JWG	2	4	NORTH
018 S	2/18/2010	10.175	4	245	0.62	3.5	1	CSM	JWG	2	4	
019 S	2/18/2010	10.37	3	253	0.78	2.7	1	CSM	JWG	2	4	
020 P	2/18/2010	10.49972	MSL	CSM								
021 V	2/18/2010	10.49972	2	4								
022 C	2/18/2010	10.50583										OBS BEARING = 294
023 C	2/18/2010	10.61										FOG IS BACKING OFF SLIGHTLY
024 C	2/18/2010	10.62										HORIZON MORE CLEAR
025 C	2/18/2010	10.62556										DELETE DATA LINE 24
026 S	2/18/2010	10.92889	5	198	0.92	2.2	1	MSL	CSM	2	4	NORTHBOUND
027 C	2/18/2010	11.05139										GROUP # 5 NORTHBOUND
028 S	2/18/2010	11.06444	6	224	0.26	9	1	MSL	CSM	2	4	NORTHBOUND
029 C	2/18/2010	11.065										GROUP # 6 NORTHBOUND
030 S	2/18/2010	11.20556	5	273	1.08	1.8	1	MSL	CSM	2	4	NORTHBOUND
031 C	2/18/2010	11.24056										"DATA LINE 30 IS A SECOND SIGHTING OF GROUP #5, NORTHBOUND"
032 P	2/18/2010	12.15833	JWG	MSL								
033 V	2/18/2010	12.15833	2	4								
034 C	2/18/2010	12.19417										OBS BEARING 291
035 S	2/18/2010	12.20417	7	210	1.68	1	1	JWG	MSL	2	4	NORTHBOUND
036 C	2/18/2010	12.20528										GRP 7 IS NORTHBOUND
037 V	2/18/2010	12.28833	3	4								
038 S	2/18/2010	12.34583	7	226	1.68	1	1	JWG	MSL	3	4	
039 S	2/18/2010	12.45528	7	243	1.68	1	1	JWG	MSL	3	4	
040 P	2/18/2010	13.60111	CSM	JWG								
041 V	2/18/2010	13.60111	3	4								
042 C	2/18/2010	13.61528										OBS BEARING: 294
043 S	2/18/2010	13.71667	8	250	1.25	1.5	2	CSM	JWG	3	4	
044 S	2/18/2010	13.76167	8	242	1.19	1.6	3	CSM	JWG	3	4	
045 S	2/18/2010	13.78333	9	212	1.08	1.8	1	CSM	JWG	3	4	NORTHBOUND
046 C	2/18/2010	13.78583										SIGHTING 9 GOING NORTHBOUND
047 S	2/18/2010	13.82778	8	233	0.99	2	3	CSM	JWG	3	4	
048 S	2/18/2010	13.8525	9	225	1.08	1.8	1	CSM	JWG	3	4	
049 S	2/18/2010	13.88611	9	230	1.04	1.9	1	CSM	JWG	3	4	
050 V	2/18/2010	13.93556	2	3								
051 S	2/18/2010	14.035	8	218	1.08	1.8	3	CSM	JWG	2	3	
052 S	2/18/2010	14.0925	8	218	1.08	1.8	4	CSM	JWG	2	3	
053 V	2/18/2010	14.09472	3	2								
054 S	2/18/2010	14.16917	8	208	1.04	1.9	4	CSM	JWG	3	2	
055 S	2/18/2010	14.24889	10	241	1.13	1.7	1	CSM	JWG	3	2	NORTHBOUND
056 C	2/18/2010	14.24972										SIGHTING 10 GOING NORTHBOUND
057 S	2/18/2010	14.29	11	230	1.04	1.9	2	CSM	JWG	3	2	
058 S	2/18/2010	14.365	10	262	1.25	1.5	1	CSM	JWG	3	2	
059 S	2/18/2010	14.37472	11	247	1.19	1.6	2	CSM	JWG	3	2	
060 S	2/18/2010	14.42417	11	255	1.19	1.6	2	CSM	JWG	3	2	
061 S	2/18/2010	14.46583	11	260	1.39	1.3	2	CSM	JWG	3	2	
062 S	2/18/2010	14.4825	10	275	1.57	1.1	1	CSM	JWG	3	2	
063 S	2/18/2010	14.55417	12	247	1.19	1.6	1	CSM	JWG	3	2	
064 S	2/18/2010	14.56111	12	256	1.19	1.6	1	CSM	JWG	3	2	NORTHBOUND
065 C	2/18/2010	14.56139										SIGHTING 12 IS GOING NORTHBOUND
066 S	2/18/2010	14.74028	12	279	1.8	0.9	1	CSM	JWG	3	2	
067 V	2/18/2010	14.82278	3	3								
068 P	2/18/2010	15.01944	MSL	CSM								
069 V	2/18/2010	15.01944	4	3								
070 C	2/18/2010	15.02917										OBS BEARING = 294
071 S	2/18/2010	15.06611	13	220	0.73	2.9	1	MSL	CSM	4	3	NORTHBOUND
072 C	2/18/2010	15.06694										GROUP # 13 NORTHBOUND
073 S	2/18/2010	15.39167	14	252	0.99	2	1	MSL	CSM	4	3	NORTHBOUND
074 C	2/18/2010	15.39917										GROUP 14 NORTHBOUND
075 S	2/18/2010	15.54	14	276	0.99	2	1	MSL	CSM	4	3	NORTHBOUND
076 S	2/18/2010	16.35917	15	214	0.96	2.1	2	MSL	CSM	4	3	NORTHBOUND
077 C	2/18/2010	16.35944										GROUP 15 NORTHBOUND
078 S	2/18/2010	16.49999	16	230	2.59	0.5	4	MSL	CSM	4	3	NORTHBOUND
079 E	2/18/2010	16.50306										
