SOUTH TRAILER												
016 B	1/11/2010	9.00056										
017 P	1/11/2010	9.00056	tsw	vlp								
018 V	1/11/2010	9.00056	2	4								
019 S	1/11/2010	9.06556	4	260	0.83	2.5	1	tsw	vlp	2	4	
020 C	1/11/2010	9.17										"FROM START OF shift, horizon not visable"
021 S	1/11/2010	9.28472	5	245	0.99	2	1	tsw	vlp	2	4	
022 S	1/11/2010	9.33556	5	237	0.99	2	1	tsw	vlp	2	4	
023 S	1/11/2010	10.27139	6	265	0.71	3	1	tsw	vlp	2	4	
024 P	1/11/2010	10.51167	arl	tsw								
025 V	1/11/2010	10.51167	2	4								
026 C	1/11/2010	10.51917										horizon still not visible
027 V	1/11/2010	10.76722	2	5								
028 C	1/11/2010	10.77056										Fog has moved in
029 V	1/11/2010	11.34194	2	4								
030 C	1/11/2010	11.34333										Fog still obscuring horizon
031 C	1/11/2010	11.65083										Horizon is more clear now
032 P	1/11/2010	12.01444	vlp	arl								
033 V	1/11/2010	12.01444	2	3								
034 S	1/11/2010	12.07417	7	254	1.68	1	3	vlp	arl	2	3	
035 S	1/11/2010	12.21917	8	273	1.68	1	1	vlp	arl	2	3	
036 S	1/11/2010	12.31083	7	225	1.47	1.2	3	vlp	arl	2	3	
037 S	1/11/2010	12.38889	8	254	1.47	1.2	2	vlp	arl	2	3	
038 S	1/11/2010	12.42806	9	261	0.55	4	1	vlp	arl	2	3	
042 C	1/11/2010	12.56694										
043 C	1/11/2010	12.60306										EDITED GROUP 8 = 2 WHALES ON 2ND SIGHTING- the further out group from before (~1.2R) is two animals - should be changed.
044 S	1/11/2010	12.67917	10	242	1.08	1.8	1	vlp	arl	2	3	
045 S	1/11/2010	12.91444	11	265	1.25	1.5	3	vlp	arl	2	3	
046 S	1/11/2010	12.97111	12	277	0.99	2	4	vlp	arl	2	3	
047 S	1/11/2010	13.0325	11	249	0.99	2	3	vlp	arl	2	3	
048 S	1/11/2010	13.32944	13	283	1.68	1	2	vlp	arl	2	3	
049 S	1/11/2010	13.45556	13	272	1.25	1.5	2	vlp	arl	2	3	
050 S	1/11/2010	13.48222	14	273	1.47	1.2	3	vlp	arl	2	3	
051 P	1/11/2010	13.51278	tsw	vlp								
052 V	1/11/2010	13.51278	2	3								
053 S	1/11/2010	13.67417	13	238	1.25	1.5	2	tsw	vlp	2	3	
054 S	1/11/2010	13.70944	14	236	1.08	1.8	3	tsw	vlp	2	3	
055 S	1/11/2010	13.74583	15	252	0.71	3	1	tsw	vlp	2	3	
056 S	1/11/2010	13.83889	15	234	0.99	2	1	tsw	vlp	2	3	
057 S	1/11/2010	14.42194	16	263	1.68	1	1	tsw	vlp	2	3	
058 S	1/11/2010	14.55389	16	251	1.68	1	2	tsw	vlp	2	3	
059 S	1/11/2010	14.59222	17	259	1.68	1	2	tsw	vlp	2	3	
060 S	1/11/2010	14.66222	17	250	1.68	1	2	tsw	vlp	2	3	
061 S	1/11/2010	14.74778	16	233	1.68	1	2	tsw	vlp	2	3	
062 S	1/11/2010	14.76222	17	240	1.68	1	2	tsw	vlp	2	3	
063 P	1/11/2010	15.00611	arl	tsw								
064 V	1/11/2010	15.00611	2	3								
065 S	1/11/2010	15.02944	18	263	1.95	0.8	1	arl	tsw	2	3	
066 S	1/11/2010	15.13417	19	277	1.13	1.7	3	arl	tsw	2	3	
067 S	1/11/2010	15.22111	19	261	1.08	1.8	3	arl	tsw	2	3	
068 S	1/11/2010	15.28167	19	247	0.99	2	3	arl	tsw	2	3	
069 S	1/11/2010	15.30722	18	244	1.57	1.1	1	arl	tsw	2	3	
070 C	1/11/2010	15.33										EDITED - Group 20 = Group 18
071 S	1/11/2010	15.53556	21	235	1.68	1	2	arl	tsw	2	3	
072 S	1/11/2010	15.69278	22	266	1.13	1.7	2	arl	tsw	2	3	
073 S	1/11/2010	15.76611	22	253	1.08	1.8	2	arl	tsw	2	3	
074 C	1/11/2010	15.785										Horizon is unclear now
075 S	1/11/2010	15.82972	22	242	1.08	1.8	2	arl	tsw	2	3	
076 S	1/11/2010	15.86556	22	235	1.08	1.8	3	arl	tsw	2	3	
077 S	1/11/2010	15.98667	23	276	1.25	1.5	1	arl	tsw	2	3	
078 S	1/11/2010	16.06278	23	264	1.13	1.7	1	arl	tsw	2	3	
079 S	1/11/2010	16.14361	23	248	1.08	1.8	1	arl	tsw	2	3	
080 S	1/11/2010	16.29889	24	250	1.47	1.2	2	arl	tsw	2	3	
081 C	1/11/2010	16.46306										Fog coming in thick over the line
082 E	1/11/2010	16.49389										
