SOUTH TRAILER												
001 V	1/13/2010	7.40806										
002 B	1/13/2010	7.49306										
003 P	1/13/2010	7.49306	arl	tsw								
004 V	1/13/2010	7.49306	2	3								
005 C	1/13/2010	7.49694										horizon is visible
006 S	1/13/2010	7.56194	1	258	1.25	1.5	1	arl	tsw	2	3	
007 S	1/13/2010	7.57722	2	228	1.39	1.3	2	arl	tsw	2	3	
008 S	1/13/2010	7.68167	1	235	1.39	1.3	3	arl	tsw	2	3	
009 S	1/13/2010	7.69861	3	242	1.08	1.8	1	arl	tsw	2	3	
010 S	1/13/2010	7.82028	4	240	1.13	1.7	1	arl	tsw	2	3	
011 S	1/13/2010	7.85806	5	244	0.99	2	1	arl	tsw	2	3	
012 S	1/13/2010	8.02222	6	240	0.83	2.5	1	arl	tsw	2	3	
013 S	1/13/2010	8.25889	7	239	0.67	3.2	1	arl	tsw	2	3	
014 S	1/13/2010	8.36389	8	262	0.99	2	1	arl	tsw	2	3	
015 S	1/13/2010	8.57333	9	264	0.71	3	1	arl	tsw	2	3	
016 S	1/13/2010	8.57611	10	264	1.08	1.8	1	arl	tsw	2	3	
017 S	1/13/2010	8.60194	11	252	1.08	1.8	1	arl	tsw	2	3	
018 S	1/13/2010	8.62833	9	256	0.83	2.5	2	arl	tsw	2	3	
019 S	1/13/2010	8.64861	10	253	0.99	2	1	arl	tsw	2	3	
020 S	1/13/2010	8.68472	12	231	0.75	2.8	1	arl	tsw	2	3	
021 S	1/13/2010	8.73444	13	244	0.92	2.2	1	arl	tsw	2	3	
022 S	1/13/2010	8.75333	10	232	0.99	2	1	arl	tsw	2	3	
023 S	1/13/2010	8.78528	14	259	1.31	1.4	1	arl	tsw	2	3	
024 S	1/13/2010	8.86222	15	249	1.19	1.6	1	arl	tsw	2	3	
025 S	1/13/2010	8.87972	16	267	1.13	1.7	1	arl	tsw	2	3	
026 S	1/13/2010	8.88861	17	268	1.68	1	1	arl	tsw	2	3	
027 S	1/13/2010	8.89167	18	271	1.08	1.8	1	arl	tsw	2	3	
028 S	1/13/2010	8.90167	19	245	0.92	2.2	1	arl	tsw	2	3	
029 S	1/13/2010	8.94083	14	235	1.31	1.4	1	arl	tsw	2	3	
030 S	1/13/2010	8.98167	15	229	1.25	1.5	1	arl	tsw	2	3	
031 S	1/13/2010	9.01167	17	257	1.68	1	1	arl	tsw	2	3	
032 C	1/13/2010	9.01722										14 and 15 could be considered one group (two animals total)
033 S	1/13/2010	9.02361	16	253	1.08	1.8	1	arl	tsw	2	3	
034 P	1/13/2010	9.02667	vlp	arl								
035 V	1/13/2010	9.02667	2	3								
036 S	1/13/2010	9.035	18	258	0.99	2	1	vlp	arl	2	3	
037 S	1/13/2010	9.07167	16	242	1.08	1.8	1	vlp	arl	2	3	
038 S	1/13/2010	9.09778	20	259	1.08	1.8	2	vlp	arl	2	3	
039 S	1/13/2010	9.12833	18	241	0.99	2	1	vlp	arl	2	3	
040 S	1/13/2010	9.13667	17	242	1.47	1.2	2	vlp	arl	2	3	
041 S	1/13/2010	9.17722	20	243	0.99	2	2	vlp	arl	2	3	
042 S	1/13/2010	9.26389	21	243	0.99	2	1	vlp	arl	2	3	
043 S	1/13/2010	9.30056	22	268	1.47	1.2	2	vlp	arl	2	3	
044 S	1/13/2010	9.34306	23	285	1.68	1	1	vlp	arl	2	3	
045 V	1/13/2010	9.35056	2	2								
046 S	1/13/2010	9.39667	24	249	1.47	1.2	2	vlp	arl	2	2	
047 S	1/13/2010	9.43278	22	256	1.47	1.2	2	vlp	arl	2	2	
048 S	1/13/2010	9.50944	22	246	1.47	1.2	2	vlp	arl	2	2	
049 S	1/13/2010	9.51972	25	246	1.68	1	1	vlp	arl	2	2	
050 C	1/13/2010	9.54056										"other sighting = Delphinus traveling south at 1.2R, 245; 200/150/250 (best/hi/low)"
051 S	1/13/2010	9.60972	26	273	1.47	1.2	1	vlp	arl	2	2	
052 C	1/13/2010	9.69778										We have a group of at least 5 O. orca chasing the group of delphinus spp.; all animals traveling quickly north.
053 S	1/13/2010	9.75528	26	256	1.25	1.5	1	vlp	arl	2	2	
054 S	1/13/2010	9.77639	23	238	1.08	1.8	4	vlp	arl	2	2	
055 S	1/13/2010	9.84028	26	243	1.25	1.5	1	vlp	arl	2	2	
056 S	1/13/2010	9.88361	27	263	1.08	1.8	2	vlp	arl	2	2	
057 S	1/13/2010	9.93028	26	234	1.25	1.5	2	vlp	arl	2	2	
058 S	1/13/2010	9.93361	28	234	1.68	1	2	vlp	arl	2	2	
059 S	1/13/2010	9.97778	29	265	0.92	2.2	3	vlp	arl	2	2	
060 S	1/13/2010	10.03194	27	237	0.99	2	3	vlp	arl	2	2	
061 S	1/13/2010	10.06472	30	242	1.08	1.8	2	vlp	arl	2	2	
062 S	1/13/2010	10.14806	29	232	0.83	2.5	3	vlp	arl	2	2	
063 S	1/13/2010	10.19722	31	256	1.25	1.5	4	vlp	arl	2	2	
064 S	1/13/2010	10.24722	32	267	1.08	1.8	1	vlp	arl	2	2	
065 S	1/13/2010	10.41167	33	285	1.47	1.2	2	vlp	arl	2	2	
066 S	1/13/2010	10.41639	31	242	1.25	1.5	4	vlp	arl	2	2	
067 P	1/13/2010	10.50333	tsw	vlp								
068 V	1/13/2010	10.50333	2	2								
069 S	1/13/2010	10.57722	34	230	1.13	1.7	2	tsw	vlp	2	2	
070 V	1/13/2010	10.59361	2	2								
071 S	1/13/2010	10.62	35	275	1.08	1.8	1	tsw	vlp	2	2	
072 S	1/13/2010	10.66806	36	277	0.96	2.1	1	tsw	vlp	2	2	
073 S	1/13/2010	10.7425	33	240	0.83	2.5	2	tsw	vlp	2	2	
074 S	1/13/2010	10.75833	37	271	1.13	1.7	1	tsw	vlp	2	2	
075 S	1/13/2010	10.78417	36	267	0.92	2.2	2	tsw	vlp	2	2	
076 S	1/13/2010	10.85083	38	234	1.25	1.5	1	tsw	vlp	2	2	
077 S	1/13/2010	10.86917	36	258	0.86	2.4	2	tsw	vlp	2	2	
078 S	1/13/2010	10.90333	37	240	1.04	1.9	2	tsw	vlp	2	2	
079 S	1/13/2010	11.02028	39	241	0.89	2.3	2	tsw	vlp	2	2	
080 S	1/13/2010	11.12278	39	228	0.92	2.2	2	tsw	vlp	2	2	
081 S	1/13/2010	11.32694	40	284	1.19	1.6	4	tsw	vlp	2	2	
082 S	1/13/2010	11.4725	41	260	0.8	2.6	4	tsw	vlp	2	2	
083 C	1/13/2010	11.47806										horizon is becoming hazy
084 S	1/13/2010	11.49583	40	260	0.96	2.1	3	tsw	vlp	2	2	
085 C	1/13/2010	11.53194										"EDITED - the last reading we have for group 40 is actually 41, and reading for 41 is actually the reading for 40."
086 S	1/13/2010	11.56861	42	276	0.71	3	1	tsw	vlp	2	2	
087 S	1/13/2010	11.59639	40	231	0.83	2.5	4	tsw	vlp	2	2	
088 S	1/13/2010	11.60778	41	239	0.89	2.3	3	tsw	vlp	2	2	
089 S	1/13/2010	11.69306	43	270	0.99	2	2	tsw	vlp	2	2	
090 S	1/13/2010	11.70667	44	267	0.73	2.9	1	tsw	vlp	2	2	
091 S	1/13/2010	11.72806	45	244	0.69	3.1	1	tsw	vlp	2	2	
092 S	1/13/2010	11.81361	44	234	0.55	4	2	tsw	vlp	2	2	
093 S	1/13/2010	11.87333	43	241	0.71	3	2	tsw	vlp	2	2	
094 C	1/13/2010	11.89528										EDITED - 43=46
095 S	1/13/2010	11.95389	47	253	0.54	4.1	1	tsw	vlp	2	2	
096 S	1/13/2010	11.9825	43	215	0.99	2	2	tsw	vlp	2	2	
097 S	1/13/2010	12.02361	48	272	0.99	2	1	tsw	vlp	2	2	
098 P	1/13/2010	12.03028	arl	tsw								
099 V	1/13/2010	12.03028	2	2								
100 C	1/13/2010	12.035										horizon is clear
101 S	1/13/2010	12.05306	48	261	0.83	2.5	2	arl	tsw	2	2	
102 S	1/13/2010	12.0675	49	277	1.19	1.6	2	arl	tsw	2	2	
103 S	1/13/2010	12.10111	50	269	0.78	2.7	1	arl	tsw	2	2	
104 S	1/13/2010	12.16778	49	261	0.99	2	2	arl	tsw	2	2	
105 S	1/13/2010	12.1875	50	247	0.71	3	2	arl	tsw	2	2	
106 S	1/13/2010	12.20583	48	225	0.78	2.7	2	arl	tsw	2	2	
107 S	1/13/2010	12.235	49	247	0.99	2	2	arl	tsw	2	2	
108 S	1/13/2010	12.24944	51	275	1.13	1.7	2	arl	tsw	2	2	
109 S	1/13/2010	12.25833	49	241	0.99	2	2	arl	tsw	2	2	
110 S	1/13/2010	12.27056	50	226	0.75	2.8	2	arl	tsw	2	2	
111 S	1/13/2010	12.28694	49	235	0.99	2	2	arl	tsw	2	2	
112 S	1/13/2010	12.33806	52	239	0.39	5.8	1	arl	tsw	2	2	
113 S	1/13/2010	12.34944	51	261	1.08	1.8	3	arl	tsw	2	2	
114 S	1/13/2010	12.38583	51	254	0.99	2	3	arl	tsw	2	2	
115 S	1/13/2010	12.4575	53	261	1.08	1.8	1	arl	tsw	2	2	
116 S	1/13/2010	12.50528	51	230	0.99	2	3	arl	tsw	2	2	
117 S	1/13/2010	12.51778	53	245	0.99	2	3	arl	tsw	2	2	
118 S	1/13/2010	12.54556	54	275	1.13	1.7	1	arl	tsw	2	2	
119 S	1/13/2010	12.57028	53	243	0.99	2	3	arl	tsw	2	2	
120 S	1/13/2010	12.57861	55	263	0.59	3.7	2	arl	tsw	2	2	
121 S	1/13/2010	12.60028	53	231	0.92	2.2	3	arl	tsw	2	2	
122 S	1/13/2010	12.62	54	265	0.83	2.5	1	arl	tsw	2	2	
123 S	1/13/2010	12.62333	56	261	0.71	3	1	arl	tsw	2	2	
124 S	1/13/2010	12.63722	55	243	0.55	4	2	arl	tsw	2	2	
125 S	1/13/2010	12.65583	54	256	0.83	2.5	1	arl	tsw	2	2	
126 S	1/13/2010	12.66028	57	254	0.99	2	1	arl	tsw	2	2	
127 S	1/13/2010	12.68528	55	225	0.55	4	3	arl	tsw	2	2	
128 S	1/13/2010	12.73278	54	238	0.83	2.5	1	arl	tsw	2	2	
129 S	1/13/2010	12.86583	58	267	1.47	1.2	2	arl	tsw	2	2	
130 S	1/13/2010	12.9025	59	258	0.92	2.2	1	arl	tsw	2	2	
131 S	1/13/2010	12.93917	58	255	1.39	1.3	3	arl	tsw	2	2	
132 C	1/13/2010	12.95333										EDITED - Group 60 = Group 58
133 S	1/13/2010	12.98972	61	260	1.13	1.7	1	arl	tsw	2	2	
134 S	1/13/2010	13.03806	58	242	1.25	1.5	3	arl	tsw	2	2	
135 S	1/13/2010	13.11389	62	275	1.04	1.9	1	arl	tsw	2	2	
136 S	1/13/2010	13.17333	61	226	1.08	1.8	1	arl	tsw	2	2	
137 S	1/13/2010	13.17611	58	225	1.25	1.5	3	arl	tsw	2	2	
138 S	1/13/2010	13.18639	63	284	0.99	2	2	arl	tsw	2	2	
139 S	1/13/2010	13.20667	64	265	0.99	2	1	arl	tsw	2	2	
140 S	1/13/2010	13.23	65	277	1.39	1.3	2	arl	tsw	2	2	
141 S	1/13/2010	13.24611	66	264	0.92	2.2	1	arl	tsw	2	2	
142 S	1/13/2010	13.26333	62	248	0.86	2.4	1	arl	tsw	2	2	
143 S	1/13/2010	13.27444	66	259	0.92	2.2	1	arl	tsw	2	2	
144 S	1/13/2010	13.28333	65	270	1.25	1.5	2	arl	tsw	2	2	
145 S	1/13/2010	13.31833	63	258	0.89	2.3	2	arl	tsw	2	2	
146 S	1/13/2010	13.33472	62	226	0.83	2.5	1	arl	tsw	2	2	
147 S	1/13/2010	13.34917	67	266	0.92	2.2	3	arl	tsw	2	2	
148 S	1/13/2010	13.36917	65	257	1.25	1.5	3	arl	tsw	2	2	
149 S	1/13/2010	13.415	65	249	1.25	1.5	3	arl	tsw	2	2	
150 S	1/13/2010	13.4275	63	243	0.83	2.5	2	arl	tsw	2	2	
151 S	1/13/2010	13.48194	68	249	0.83	2.5	1	arl	tsw	2	2	
152 P	1/13/2010	13.50528	vlp	arl								
153 V	1/13/2010	13.50528	2	2								
154 S	1/13/2010	13.53194	69	265	0.99	2	2	vlp	arl	2	2	
155 S	1/13/2010	13.54361	70	246	0.99	2	3	vlp	arl	2	2	
156 S	1/13/2010	13.66	71	279	1.47	1.2	1	vlp	arl	2	2	
157 S	1/13/2010	13.68472	71	268	1.47	1.2	2	vlp	arl	2	2	
158 S	1/13/2010	13.70333	72	252	0.89	2.3	4	vlp	arl	2	2	
159 S	1/13/2010	13.70833	73	250	1.39	1.3	2	vlp	arl	2	2	
160 S	1/13/2010	13.73444	71	253	1.39	1.3	2	vlp	arl	2	2	
161 S	1/13/2010	13.77361	72	237	0.83	2.5	4	vlp	arl	2	2	
162 S	1/13/2010	13.7825	74	236	1.95	0.8	1	vlp	arl	2	2	
163 S	1/13/2010	13.79583	73	233	1.39	1.3	2	vlp	arl	2	2	
164 S	1/13/2010	13.81583	71	243	1.25	1.5	2	vlp	arl	2	2	
165 S	1/13/2010	13.83556	75	264	1.25	1.5	1	vlp	arl	2	2	
166 S	1/13/2010	13.85972	76	281	1.39	1.3	1	vlp	arl	2	2	
167 S	1/13/2010	13.97028	76	265	1.25	1.5	1	vlp	arl	2	2	
168 S	1/13/2010	14.02556	75	242	1.08	1.8	3	vlp	arl	2	2	
169 S	1/13/2010	14.05556	76	251	1.25	1.5	2	vlp	arl	2	2	
170 S	1/13/2010	14.12972	77	256	0.89	2.3	1	vlp	arl	2	2	
171 S	1/13/2010	14.16194	78	243	1.08	1.8	1	vlp	arl	2	2	
172 S	1/13/2010	14.18	76	230	1.08	1.8	2	vlp	arl	2	2	
173 S	1/13/2010	14.20194	79	274	1.47	1.2	2	vlp	arl	2	2	
174 S	1/13/2010	14.22833	80	285	1.95	0.8	1	vlp	arl	2	2	
175 S	1/13/2010	14.2575	77	228	0.83	2.5	1	vlp	arl	2	2	
176 S	1/13/2010	14.36417	79	251	1.08	1.8	2	vlp	arl	2	2	
177 S	1/13/2010	14.37667	81	236	0.99	2	1	vlp	arl	2	2	
178 S	1/13/2010	14.39222	80	270	1.39	1.3	2	vlp	arl	2	2	
179 S	1/13/2010	14.46361	79	235	1.25	1.5	2	vlp	arl	2	2	
180 S	1/13/2010	14.51972	80	245	1.25	1.5	2	vlp	arl	2	2	
181 S	1/13/2010	14.55417	82	272	1.39	1.3	1	vlp	arl	2	2	
182 S	1/13/2010	14.59944	82	260	1.25	1.5	3	vlp	arl	2	2	
183 S	1/13/2010	14.64028	80	236	1.19	1.6	2	vlp	arl	2	2	
184 S	1/13/2010	14.66028	83	264	1.08	1.8	1	vlp	arl	2	2	
185 S	1/13/2010	14.75583	83	250	1.13	1.7	1	vlp	arl	2	2	
186 V	1/13/2010	14.75778	3	2								
187 S	1/13/2010	14.76472	82	227	1.25	1.5	3	vlp	arl	3	2	
188 S	1/13/2010	14.85111	84	280	0.92	2.2	1	vlp	arl	3	2	
189 S	1/13/2010	14.94	85	270	1.39	1.3	1	vlp	arl	3	2	
190 S	1/13/2010	14.99583	84	267	0.71	3	1	vlp	arl	3	2	
191 P	1/13/2010	15.02083	tsw	vlp								
192 V	1/13/2010	15.02083	2	2								
193 S	1/13/2010	15.08444	86	245	1.57	1.1	1	tsw	vlp	2	2	
194 S	1/13/2010	15.11972	86	237	1.57	1.1	1	tsw	vlp	2	2	
195 S	1/13/2010	15.15278	87	262	1.8	0.9	1	tsw	vlp	2	2	
196 S	1/13/2010	15.23306	87	253	1.68	1	3	tsw	vlp	2	2	
197 S	1/13/2010	15.24806	88	233	0.62	3.5	2	tsw	vlp	2	2	
198 S	1/13/2010	15.33722	87	240	1.47	1.2	3	tsw	vlp	2	2	
199 V	1/13/2010	15.49667	2	3								
200 S	1/13/2010	15.52417	89	270	0.67	3.2	1	tsw	vlp	2	3	
201 S	1/13/2010	15.55167	90	268	0.83	2.5	1	tsw	vlp	2	3	
202 S	1/13/2010	15.59194	91	272	1.95	0.8	3	tsw	vlp	2	3	
203 S	1/13/2010	15.61333	90	249	0.73	2.9	1	tsw	vlp	2	3	
204 S	1/13/2010	15.6625	92	237	0.83	2.5	1	tsw	vlp	2	3	
205 S	1/13/2010	15.66556	93	240	1.8	0.9	1	tsw	vlp	2	3	
206 S	1/13/2010	15.67833	91	260	2.12	0.7	2	tsw	vlp	2	3	
207 S	1/13/2010	15.76611	94	251	1.47	1.2	3	tsw	vlp	2	3	
208 S	1/13/2010	15.81278	94	245	1.47	1.2	3	tsw	vlp	2	3	
209 S	1/13/2010	15.82556	95	237	0.54	4.1	1	tsw	vlp	2	3	
210 S	1/13/2010	15.85333	91	244	2.12	0.7	2	tsw	vlp	2	3	
211 S	1/13/2010	15.87083	96	257	1.08	1.8	1	tsw	vlp	2	3	
212 S	1/13/2010	15.88056	97	267	0.86	2.4	1	tsw	vlp	2	3	
213 S	1/13/2010	15.89222	94	235	1.57	1.1	4	tsw	vlp	2	3	
214 S	1/13/2010	15.96167	94	229	1.68	1	2	tsw	vlp	2	3	
215 S	1/13/2010	15.97861	96	238	1.13	1.7	1	tsw	vlp	2	3	
216 S	1/13/2010	16.03472	98	245	0.96	2.1	1	tsw	vlp	2	3	
218 S	1/13/2010	16.07972	99	271	1.39	1.3	2	tsw	vlp	2	3	
219 S	1/13/2010	16.11694	100	274	0.96	2.1	2	tsw	vlp	2	3	
220 S	1/13/2010	16.14222	101	273	1.31	1.4	2	tsw	vlp	2	3	
221 S	1/13/2010	16.16861	99	260	1.25	1.5	2	tsw	vlp	2	3	
222 S	1/13/2010	16.25444	101	258	1.39	1.3	2	tsw	vlp	2	3	
223 S	1/13/2010	16.26722	102	256	0.89	2.3	2	tsw	vlp	2	3	
224 S	1/13/2010	16.27722	103	257	1.08	1.8	1	tsw	vlp	2	3	
225 S	1/13/2010	16.29306	104	264	0.92	2.2	3	tsw	vlp	2	3	
226 S	1/13/2010	16.30583	99	235	1.19	1.6	2	tsw	vlp	2	3	
227 S	1/13/2010	16.35056	105	270	1.13	1.7	1	tsw	vlp	2	3	
228 S	1/13/2010	16.36	106	284	1.68	1	1	tsw	vlp	2	3	
229 S	1/13/2010	16.39278	102	228	0.83	2.5	2	tsw	vlp	2	3	
230 S	1/13/2010	16.40889	101	234	1.25	1.5	2	tsw	vlp	2	3	
231 S	1/13/2010	16.44111	107	256	0.8	2.6	3	tsw	vlp	2	3	
232 S	1/13/2010	16.44556	105	255	0.99	2	1	tsw	vlp	2	3	
233 S	1/13/2010	16.495	108	276	1.57	1.1	2	tsw	vlp	2	3	
234 E	1/13/2010	16.50444										
