SOUTH TRAILER												
001 B	1/14/2010	7.49										
002 P	1/14/2010	7.49	vlp	arl								
003 V	1/14/2010	7.49	2	2								
004 S	1/14/2010	7.50861	1	235	1.39	1.3	1	vlp	arl	2	2	
005 S	1/14/2010	7.66917	2	230	1.39	1.3	1	vlp	arl	2	2	
006 S	1/14/2010	7.69278	3	267	1.19	1.6	2	vlp	arl	2	2	
007 S	1/14/2010	7.8225	3	238	0.99	2	1	vlp	arl	2	2	
008 S	1/14/2010	7.84861	4	243	1.08	1.8	1	vlp	arl	2	2	
009 S	1/14/2010	7.94222	5	234	1.25	1.5	1	vlp	arl	2	2	
010 S	1/14/2010	7.97056	6	258	1.08	1.8	1	vlp	arl	2	2	
011 S	1/14/2010	7.98528	7	272	1.47	1.2	1	vlp	arl	2	2	
012 S	1/14/2010	8.03361	8	279	1.47	1.2	1	vlp	arl	2	2	
013 S	1/14/2010	8.05111	9	284	2.59	0.5	1	vlp	arl	2	2	
014 S	1/14/2010	8.07306	7	258	1.39	1.3	1	vlp	arl	2	2	
015 S	1/14/2010	8.16611	9	278	2.59	0.5	1	vlp	arl	2	2	
016 V	1/14/2010	8.2	3	2								
017 S	1/14/2010	8.26278	7	237	1.25	1.5	1	vlp	arl	3	2	
018 S	1/14/2010	8.30028	10	263	2.59	0.5	2	vlp	arl	3	2	
019 S	1/14/2010	8.33389	9	263	2.59	0.5	1	vlp	arl	3	2	
020 C	1/14/2010	8.335										group 9 and 10 are close together; a total of 3 animals
021 S	1/14/2010	8.43667	8	242	1.25	1.5	1	vlp	arl	3	2	
022 S	1/14/2010	8.46583	12	278	2.12	0.7	2	vlp	arl	3	2	
023 S	1/14/2010	8.50111	13	251	1.47	1.2	1	vlp	arl	3	2	
024 S	1/14/2010	8.56722	12	267	1.47	1.2	3	vlp	arl	3	2	
025 C	1/14/2010	8.57194										EDITED LINE 021 TO GRP 8 - group 8 = group 11
027 S	1/14/2010	8.68167	15	280	2.59	0.5	1	vlp	arl	3	2	
028 S	1/14/2010	8.72444	16	272	0.96	2.1	2	vlp	arl	3	2	
029 C	1/14/2010	8.75778		228	0.83	2.5	2	vlp	arl	3	2	group 14 is not gray whales! three animals there.
031 S	1/14/2010	8.91472	16	259	0.75	2.8	1	vlp	arl	3	2	
032 S	1/14/2010	8.95972	15	260	2.12	0.7	3	vlp	arl	3	2	
033 S	1/14/2010	9	17	252	1.68	1	1	vlp	arl	3	2	
034 P	1/14/2010	9.02361	tsw	vlp								
035 V	1/14/2010	9.02361	3	2								
036 S	1/14/2010	9.07	18	245	0.83	2.5	1	tsw	vlp	3	2	
037 S	1/14/2010	9.07528	17	246	1.57	1.1	2	tsw	vlp	3	2	
038 S	1/14/2010	9.13278	19	260	1.8	0.9	2	tsw	vlp	3	2	
039 S	1/14/2010	9.16583	17	232	1.47	1.2	2	tsw	vlp	3	2	
040 S	1/14/2010	9.19444	15	229	1.68	1	3	tsw	vlp	3	2	
041 S	1/14/2010	9.21972	20	280	1.8	0.9	3	tsw	vlp	3	2	
042 S	1/14/2010	9.24722	19	246	1.68	1	2	tsw	vlp	3	2	
043 S	1/14/2010	9.32306	20	272	1.47	1.2	3	tsw	vlp	3	2	
044 S	1/14/2010	9.33472	21	266	0.67	3.2	1	tsw	vlp	3	2	
045 S	1/14/2010	9.4525	22	261	1.19	1.6	3	tsw	vlp	3	2	
046 S	1/14/2010	9.52306	23	272	1.25	1.5	2	tsw	vlp	3	2	
