SOUTH TRAILER												
001 B	1/16/2010	7.50889										
002 P	1/16/2010	7.50889	arl	tsw								
003 V	1/16/2010	7.50889	4	3								
004 S	1/16/2010	7.55056	1	230	1.25	1.5	2	arl	tsw	4	3	
005 S	1/16/2010	7.58167	2	246	1.13	1.7	2	arl	tsw	4	3	
006 S	1/16/2010	7.67028	2	232	1.08	1.8	2	arl	tsw	4	3	
007 S	1/16/2010	7.70278	3	239	1.08	1.8	1	arl	tsw	4	3	
008 S	1/16/2010	7.77333	4	236	1.13	1.7	1	arl	tsw	4	3	
009 S	1/16/2010	7.785	5	263	1.39	1.3	3	arl	tsw	4	3	
010 S	1/16/2010	7.84972	6	233	1.13	1.7	3	arl	tsw	4	3	
011 S	1/16/2010	7.90361	7	256	1.39	1.3	1	arl	tsw	4	3	
012 S	1/16/2010	7.96917	8	275	1.68	1	4	arl	tsw	4	3	
013 S	1/16/2010	7.99833	7	246	1.13	1.7	3	arl	tsw	4	3	
014 S	1/16/2010	8.0175	5	224	1.39	1.3	3	arl	tsw	4	3	
015 S	1/16/2010	8.05306	9	248	1.25	1.5	1	arl	tsw	4	3	
016 S	1/16/2010	8.1075	7	229	1.25	1.5	3	arl	tsw	4	3	
017 S	1/16/2010	8.12778	8	260	1.47	1.2	4	arl	tsw	4	3	
018 S	1/16/2010	8.1925	8	254	1.47	1.2	4	arl	tsw	4	3	
019 S	1/16/2010	8.21306	10	284	1.8	0.9	1	arl	tsw	4	3	
020 S	1/16/2010	8.23083	11	267	1.68	1	2	arl	tsw	4	3	
021 V	1/16/2010	8.23944	3	2								
022 S	1/16/2010	8.30639	11	257	1.68	1	2	arl	tsw	3	2	
023 S	1/16/2010	8.34556	12	283	1.57	1.1	1	arl	tsw	3	2	
024 S	1/16/2010	8.37028	10	263	1.47	1.2	1	arl	tsw	3	2	
025 S	1/16/2010	8.43694	10	250	1.31	1.4	1	arl	tsw	3	2	
026 S	1/16/2010	8.45361	13	256	1.25	1.5	1	arl	tsw	3	2	
027 S	1/16/2010	8.4825	11	232	1.39	1.3	5	arl	tsw	3	2	
028 S	1/16/2010	8.54667	14	284	1.95	0.8	3	arl	tsw	3	2	
029 S	1/16/2010	8.56389	13	243	1.47	1.2	2	arl	tsw	3	2	
030 S	1/16/2010	8.61361	12	254	1.25	1.5	1	arl	tsw	3	2	
031 S	1/16/2010	8.64361	10	226	1.31	1.4	2	arl	tsw	3	2	
032 S	1/16/2010	8.65417	14	274	1.68	1	4	arl	tsw	3	2	
033 S	1/16/2010	8.72833	12	237	1.39	1.3	1	arl	tsw	3	2	
034 S	1/16/2010	8.75111	14	260	1.47	1.2	4	arl	tsw	3	2	
035 S	1/16/2010	8.76	12	232	1.39	1.3	2	arl	tsw	3	2	
036 S	1/16/2010	8.82917	14	249	1.47	1.2	4	arl	tsw	3	2	
037 S	1/16/2010	8.8375	15	262	1.47	1.2	2	arl	tsw	3	2	
038 S	1/16/2010	8.9	14	236	1.47	1.2	4	arl	tsw	3	2	
039 S	1/16/2010	8.92389	16	263	1.47	1.2	1	arl	tsw	3	2	
040 P	1/16/2010	8.99806	vlp	arl								
041 V	1/16/2010	8.99806	3	2								
042 S	1/16/2010	9.01778	17	254	2.59	0.5	1	vlp	arl	3	2	
043 S	1/16/2010	9.04083	15	235	1.39	1.3	2	vlp	arl	3	2	
044 S	1/16/2010	9.20444	18	282	1.95	0.8	2	vlp	arl	3	2	
045 S	1/16/2010	9.30306	19	266	1.47	1.2	1	vlp	arl	3	2	
046 S	1/16/2010	9.30917	18	269	2.12	0.7	2	vlp	arl	3	2	
047 S	1/16/2010	9.36639	18	269	1.57	1.1	2	vlp	arl	3	2	
048 S	1/16/2010	9.39861	20	243	1.95	0.8	4	vlp	arl	3	2	
049 S	1/16/2010	9.44167	19	245	1.25	1.5	1	vlp	arl	3	2	
050 S	1/16/2010	9.48111	18	252	1.31	1.4	2	vlp	arl	3	2	
051 S	1/16/2010	9.58472	21	222	0.71	3	1	vlp	arl	3	2	
052 S	1/16/2010	9.59361	18	239	1.39	1.3	3	vlp	arl	3	2	
053 S	1/16/2010	9.67	22	285	2.92	0.4	2	vlp	arl	3	2	
054 S	1/16/2010	9.72167	23	258	2.33	0.6	1	vlp	arl	3	2	
055 S	1/16/2010	9.80056	23	254	1.95	0.8	3	vlp	arl	3	2	
056 S	1/16/2010	9.84111	22	273	2.12	0.7	2	vlp	arl	3	2	
057 S	1/16/2010	9.91861	22	265	1.95	0.8	2	vlp	arl	3	2	
058 S	1/16/2010	9.94778	23	252	1.95	0.8	3	vlp	arl	3	2	
059 S	1/16/2010	9.98556	24	275	2.59	0.5	1	vlp	arl	3	2	
