SOUTH TRAILER												
001 P	1/22/2010	7.67139	JWD	JPB								
002 V	1/22/2010	7.67139	3	3								
003 B	1/22/2010	7.68556										
004 P	1/22/2010	7.68556	JWD	JPB								
005 V	1/22/2010	7.68556	3	3								
006 S	1/22/2010	7.7625	1	251	1.39	1.3	1	JWD	JPB	3	3	
007 S	1/22/2010	7.95889	1	214	1.47	1.2	1	JWD	JPB	3	3	
008 S	1/22/2010	8.27	2	266	1.8	0.9	1	JWD	JPB	3	3	
009 S	1/22/2010	8.32222	3	279	1.95	0.8	3	JWD	JPB	3	3	
010 S	1/22/2010	8.40333	2	249	1.47	1.2	1	JWD	JPB	3	3	
011 S	1/22/2010	8.42111	3	271	1.57	1.1	3	JWD	JPB	3	3	
012 S	1/22/2010	8.525	3	254	1.39	1.3	3	JWD	JPB	3	3	
013 S	1/22/2010	8.555	4	256	1.39	1.3	1	JWD	JPB	3	3	
014 S	1/22/2010	8.57611	3	242	1.39	1.3	3	JWD	JPB	3	3	
015 S	1/22/2010	8.60361	4	241	1.47	1.2	1	JWD	JPB	3	3	
016 S	1/22/2010	8.64139	4	235	1.47	1.2	1	JWD	JPB	3	3	
017 V	1/22/2010	8.66556	3	2								
018 V	1/22/2010	8.79639	3	3								
019 S	1/22/2010	8.82889	5	290	2.59	0.5	1	JWD	JPB	3	3	
020 S	1/22/2010	8.83389	6	287	2.33	0.6	1	JWD	JPB	3	3	
021 S	1/22/2010	8.8775	5	285	2.59	0.5	1	JWD	JPB	3	3	
022 S	1/22/2010	8.88528	6	284	2.12	0.7	1	JWD	JPB	3	3	
023 S	1/22/2010	8.96833	6	280	1.95	0.8	1	JWD	JPB	3	3	
024 S	1/22/2010	8.9825	7	286	2.33	0.6	2	JWD	JPB	3	3	
025 S	1/22/2010	8.99806	8	284	1.57	1.1	1	JWD	JPB	3	3	
026 P	1/22/2010	9.00722	DWW	JWD								
027 V	1/22/2010	9.00722	3	3								
028 S	1/22/2010	9.065	8	277	1.47	1.2	1	DWW	JWD	3	3	
029 S	1/22/2010	9.07722	7	277	2.12	0.7	2	DWW	JWD	3	3	
030 S	1/22/2010	9.11528	6	274	1.57	1.1	1	DWW	JWD	3	3	
031 S	1/22/2010	9.15278	8	272	1.39	1.3	1	DWW	JWD	3	3	
032 S	1/22/2010	9.1625	7	275	1.95	0.8	1	DWW	JWD	3	3	
033 S	1/22/2010	9.17639	7	275	1.95	0.8	1	DWW	JWD	3	3	
034 V	1/22/2010	9.20222	3	2								
035 S	1/22/2010	9.29667	8	255	1.19	1.6	1	DWW	JWD	3	2	
