SOUTH TRAILER												
001 B	1/23/2010	7.4975										
002 P	1/23/2010	7.4975	DWW	JWD								
003 V	1/23/2010	7.4975	3	3								
004 S	1/23/2010	7.86306	1	272	1.47	1.2	1	DWW	JWD	3	3	
005 S	1/23/2010	7.88306	2	237	2.12	0.7	1	DWW	JWD	3	3	
006 S	1/23/2010	7.92278	3	255	0.8	2.6	1	DWW	JWD	3	3	
007 S	1/23/2010	7.97	1	256	1.47	1.2	1	DWW	JWD	3	3	
008 S	1/23/2010	8.01278	3	241	0.8	2.6	2	DWW	JWD	3	3	
009 S	1/23/2010	8.05806	4	248	0.89	2.3	1	DWW	JWD	3	3	
010 S	1/23/2010	8.09722	5	267	0.92	2.2	1	DWW	JWD	3	3	
011 S	1/23/2010	8.11833	1	249	1.47	1.2	2	DWW	JWD	3	3	
012 S	1/23/2010	8.13917	6	241	1.19	1.6	2	DWW	JWD	3	3	
013 V	1/23/2010	8.16556	3	4								
014 S	1/23/2010	8.20111	5	248	0.89	2.3	1	DWW	JWD	3	4	
015 C	1/23/2010	8.22083										FUZZY HORIZON
016 S	1/23/2010	8.26667	7	255	0.64	3.4	1	DWW	JWD	3	4	
017 S	1/23/2010	8.29528	8	284	2.12	0.7	1	DWW	JWD	3	4	
018 V	1/23/2010	8.34028	3	5								
019 E	1/23/2010	8.34111										
020 B	1/23/2010	8.62861										
021 P	1/23/2010	8.62861	DWW	JWD								
022 V	1/23/2010	8.62861	3	4								
023 C	1/23/2010	8.63694										HORIZON CLEAR
024 V	1/23/2010	8.71306	3	3								
025 S	1/23/2010	8.74111	8	245	1.57	1.1	1	DWW	JWD	3	3	
026 P	1/23/2010	9.00139	JPB	DWW								
027 V	1/23/2010	9.00139	3	3								
028 S	1/23/2010	9.19417	9	287	2.92	0.4	2	JPB	DWW	3	3	
029 S	1/23/2010	9.30222	9	281	2.59	0.5	2	JPB	DWW	3	3	
030 S	1/23/2010	9.32028	10	230	1.8	0.9	1	JPB	DWW	3	3	
031 S	1/23/2010	9.43694	9	274	2.33	0.6	2	JPB	DWW	3	3	
032 S	1/23/2010	9.56778	11	230	0.83	2.5	1	JPB	DWW	3	3	
033 S	1/23/2010	9.59444	12	286	1.95	0.8	1	JPB	DWW	3	3	
034 S	1/23/2010	9.61417	13	270	1.25	1.5	2	JPB	DWW	3	3	
035 S	1/23/2010	9.63722	9	259	2.12	0.7	2	JPB	DWW	3	3	
036 S	1/23/2010	9.64972	14	272	1.47	1.2	1	JPB	DWW	3	3	
037 S	1/23/2010	9.69472	9	254	1.95	0.8	2	JPB	DWW	3	3	
038 S	1/23/2010	9.78528	15	245	1.68	1	1	JPB	DWW	3	3	
039 S	1/23/2010	9.83833	13	239	1.13	1.7	2	JPB	DWW	3	3	
041 C	1/23/2010	9.86111										EDITED - LINE 040 DELETED - USE ONLY 1ST SIGHTING OF 15
042 S	1/23/2010	9.88139	12	255	1.31	1.4	1	JPB	DWW	3	3	
043 S	1/23/2010	9.97806	14	238	1.13	1.7	1	JPB	DWW	3	3	
044 S	1/23/2010	10.07639	16	270	1.68	1	1	JPB	DWW	3	3	
045 S	1/23/2010	10.11944	16	263	1.57	1.1	1	JPB	DWW	3	3	
046 C	1/23/2010	10.18361										"UNID CETACEAN, 2+, SOUTHBOUND, 254, 2 RET"
047 C	1/23/2010	10.42472										NO HORIZON 260-280
048 C	1/23/2010	10.48694										NO HORIZON 270-290
049 P	1/23/2010	10.50028	JWD	JPB								
050 V	1/23/2010	10.50028	3	3								
051 S	1/23/2010	10.64278	17	266	1.47	1.2	2	JWD	JPB	3	3	
052 C	1/23/2010	10.77333										HORIZON OK
053 S	1/23/2010	10.79583	18	270	1.39	1.3	1	JWD	JPB	3	3	
054 S	1/23/2010	10.81417	19	269	2.59	0.5	1	JWD	JPB	3	3	
055 S	1/23/2010	10.87056	18	262	1.31	1.4	1	JWD	JPB	3	3	
