SOUTH TRAILER												
001 B	1/27/2010	7.50417										
002 P	1/27/2010	7.50417	JDR	SJC								
003 V	1/27/2010	7.50417	3	3								
004 C	1/27/2010	7.52389										310 obs bearing to lobos rocks
005 S	1/27/2010	7.5475	1	256	1.39	1.3	2	JDR	SJC	3	3	
007 S	1/27/2010	7.6375	3	251	1.08	1.8	2	JDR	SJC	3	3	
008 S	1/27/2010	7.64806	1	236	1.39	1.3	2	JDR	SJC	3	3	
009 S	1/27/2010	7.685	4	265	1.47	1.2	2	JDR	SJC	3	3	
010 S	1/27/2010	7.72833	5	242	1.31	1.4	4	JDR	SJC	3	3	
011 S	1/27/2010	7.74056	3	235	0.99	2	2	JDR	SJC	3	3	
012 S	1/27/2010	7.76	6	268	2.59	0.5	2	JDR	SJC	3	3	
013 S	1/27/2010	7.7625	7	266	2.59	0.5	1	JDR	SJC	3	3	
014 S	1/27/2010	7.77389	5	238	1.25	1.5	4	JDR	SJC	3	3	
015 S	1/27/2010	7.80694	8	272	1.8	0.9	1	JDR	SJC	3	3	
016 S	1/27/2010	7.84306	9	275	1.68	1	1	JDR	SJC	3	3	
017 S	1/27/2010	7.85472	4	244	1.39	1.3	2	JDR	SJC	3	3	
018 C	1/27/2010	7.85861										"EDITED, LINE 006 (GRP 2) DELETED - delete sight 2"
019 S	1/27/2010	7.93444	9	266	1.57	1.1	2	JDR	SJC	3	3	
020 S	1/27/2010	7.94389	10	268	1.95	0.8	1	JDR	SJC	3	3	
021 S	1/27/2010	7.95722	7	251	2.33	0.6	1	JDR	SJC	3	3	
022 S	1/27/2010	7.96056	6	253	2.33	0.6	2	JDR	SJC	3	3	
023 S	1/27/2010	8.01306	8	254	1.39	1.3	4	JDR	SJC	3	3	
024 S	1/27/2010	8.03972	9	251	1.47	1.2	2	JDR	SJC	3	3	
025 C	1/27/2010	8.05194										stopped collecting data on 8 & 9; the groups appear to have merged
026 S	1/27/2010	8.06694	7	241	2.33	0.6	1	JDR	SJC	3	3	
027 S	1/27/2010	8.06889	6	243	2.33	0.6	2	JDR	SJC	3	3	
028 S	1/27/2010	8.09111	10	261	1.8	0.9	1	JDR	SJC	3	3	
029 S	1/27/2010	8.1025	11	257	1.57	1.1	1	JDR	SJC	3	3	
030 S	1/27/2010	8.1325	12	280	2.33	0.6	6	JDR	SJC	3	3	
031 S	1/27/2010	8.13806	13	275	2.12	0.7	2	JDR	SJC	3	3	
032 S	1/27/2010	8.18306	10	253	1.8	0.9	1	JDR	SJC	3	3	
033 S	1/27/2010	8.26361	14	272	2.33	0.6	1	JDR	SJC	3	3	
034 S	1/27/2010	8.30111	12	266	1.95	0.8	6	JDR	SJC	3	3	
035 S	1/27/2010	8.38472	15	270	2.12	0.7	1	JDR	SJC	3	3	
036 S	1/27/2010	8.4025	13	246	1.68	1	4	JDR	SJC	3	3	
037 S	1/27/2010	8.43278	12	252	1.8	0.9	6	JDR	SJC	3	3	
038 S	1/27/2010	8.52722	16	282	2.33	0.6	1	JDR	SJC	3	3	
039 S	1/27/2010	8.53417	15	263	1.95	0.8	2	JDR	SJC	3	3	
