SOUTH TRAILER												
001 B	1/28/2010	7.5										
002 P	1/28/2010	7.5	RCH	JDR								
003 V	1/28/2010	7.5	2	3								
004 C	1/28/2010	7.50667										246 OBS BEARING TO FISHING VESSEL
005 C	1/28/2010	7.51056										311 OBS BEARING TO LOBOS ROCKS
006 C	1/28/2010	7.75111										239 OBS BEARING TO FISHING VESSEL
007 S	1/28/2010	7.79639	1	244	1.08	1.8	1	RCH	JDR	2	3	
008 S	1/28/2010	7.80778	1	243	1.08	1.8	1	RCH	JDR	2	3	
009 S	1/28/2010	7.83917	1	237	1.08	1.8	2	RCH	JDR	2	3	
010 S	1/28/2010	7.9525	2	246	1.39	1.3	2	RCH	JDR	2	3	
011 C	1/28/2010	8.00306										234 OBS BEARING TO FISHING VESSEL
012 S	1/28/2010	8.105	2	240	1.39	1.3	1	RCH	JDR	2	3	
013 S	1/28/2010	8.13944	3	261	1.39	1.3	3	RCH	JDR	2	3	
014 S	1/28/2010	8.21583	4	244	2.12	0.7	1	RCH	JDR	2	3	
015 C	1/28/2010	8.25										229 OBS BEARING TO FISHING VESSEL
016 S	1/28/2010	8.27056	3	250	1.31	1.4	3	RCH	JDR	2	3	
017 S	1/28/2010	8.29	4	250	2.12	0.7	1	RCH	JDR	2	3	
018 S	1/28/2010	8.35917	3	235	1.31	1.4	3	RCH	JDR	2	3	
019 C	1/28/2010	8.38389										LOW FOG ON THE WATER
020 S	1/28/2010	8.45194	4	250	2.12	0.7	1	RCH	JDR	2	3	north
021 C	1/28/2010	8.51333										226 OBS BEARING TO FISHING VESSEL
022 C	1/28/2010	8.75611										223 OBS BEARING TO FISHING VESSEL
023 S	1/28/2010	8.85972	5	261	1.95	0.8	2	RCH	JDR	2	3	
024 S	1/28/2010	8.97417	5	248	1.68	1	2	RCH	JDR	2	3	
025 C	1/28/2010	9.04167										220 OBS BEARING TO FISHING VESSEL
026 S	1/28/2010	9.04722	6	270	1.95	0.8	1	RCH	JDR	2	3	
027 P	1/28/2010	9.06611	SJC	RCH								
028 V	1/28/2010	9.06611	2	3								
029 C	1/28/2010	9.08056										310LR
030 S	1/28/2010	9.18083	5	239	1.57	1.1	4	SJC	RCH	2	3	
031 S	1/28/2010	9.25472	6	249	1.8	0.9	3	SJC	RCH	2	3	
032 S	1/28/2010	9.36861	6	234	1.8	0.9	3	SJC	RCH	2	3	
033 S	1/28/2010	9.41944	7	234	2.33	0.6	1	SJC	RCH	2	3	
034 C	1/28/2010	9.50389										SAILBOAT 271
035 S	1/28/2010	9.64944	8	267	2.12	0.7	2	SJC	RCH	2	3	
036 S	1/28/2010	9.66	9	285	2.59	0.5	1	SJC	RCH	2	3	
037 S	1/28/2010	9.67444	8	265	2.12	0.7	2	SJC	RCH	2	3	
038 S	1/28/2010	9.72361	9	283	2.59	0.5	2	SJC	RCH	2	3	
039 C	1/28/2010	9.74667										SAILBOAT 251
040 S	1/28/2010	9.75639	10	230	0.62	3.5	1	SJC	RCH	2	3	
041 S	1/28/2010	9.8125	8	251	1.8	0.9	2	SJC	RCH	2	3	
042 S	1/28/2010	9.82806	8	248	1.8	0.9	3	SJC	RCH	2	3	
043 S	1/28/2010	9.86472	9	272	2.33	0.6	2	SJC	RCH	2	3	
044 S	1/28/2010	9.87889	11	272	1.57	1.1	1	SJC	RCH	2	3	
045 V	1/28/2010	9.93556	2	2								
046 S	1/28/2010	9.94972	12	283	2.59	0.5	5	SJC	RCH	2	2	
047 S	1/28/2010	9.99028	9	263	2.33	0.6	2	SJC	RCH	2	2	
048 C	1/28/2010	9.99833										SAILBOAT 231
049 S	1/28/2010	10.00972	8	235	1.95	0.8	3	SJC	RCH	2	2	
050 S	1/28/2010	10.04833	9	257	1.95	0.8	3	SJC	RCH	2	2	
051 S	1/28/2010	10.10833	12	273	2.12	0.7	5	SJC	RCH	2	2	
052 S	1/28/2010	10.20139	13	284	2.59	0.5	1	SJC	RCH	2	2	
053 S	1/28/2010	10.20889	14	283	1.95	0.8	1	SJC	RCH	2	2	
054 S	1/28/2010	10.2175	9	240	1.8	0.9	3	SJC	RCH	2	2	
055 S	1/28/2010	10.25722	12	260	1.95	0.8	5	SJC	RCH	2	2	
056 S	1/28/2010	10.27833	9	233	1.8	0.9	3	SJC	RCH	2	2	
057 C	1/28/2010	10.28694										SB 211
058 S	1/28/2010	10.31444	13	278	2.59	0.5	1	SJC	RCH	2	2	
059 S	1/28/2010	10.33806	13	277	2.59	0.5	3	SJC	RCH	2	2	
060 S	1/28/2010	10.37333	15	285	2.59	0.5	1	SJC	RCH	2	2	
061 S	1/28/2010	10.40917	16	288	2.33	0.6	2	SJC	RCH	2	2	
062 S	1/28/2010	10.46139	17	280	1.8	0.9	2	SJC	RCH	2	2	
063 C	1/28/2010	10.48278										SB 201
064 S	1/28/2010	10.49333	12	241	1.95	0.8	5	SJC	RCH	2	2	
066 P	1/28/2010	10.5075	JDR	SJC								
067 V	1/28/2010	10.5075	2	3								
068 S	1/28/2010	10.55361	19	284	2.33	0.6	2	JDR	SJC	2	3	
069 S	1/28/2010	10.56389	16	281	1.95	0.8	2	JDR	SJC	2	3	
070 S	1/28/2010	10.58389	14	240	1.08	1.8	1	JDR	SJC	2	3	
071 C	1/28/2010	10.5875										310 OBS BEARING TO LOBOS ROCKS
072 S	1/28/2010	10.61944	17	264	1.39	1.3	2	JDR	SJC	2	3	
073 S	1/28/2010	10.69528	15	264	2.12	0.7	3	JDR	SJC	2	3	
074 S	1/28/2010	10.69861	20	261	1.68	1	1	JDR	SJC	2	3	
075 S	1/28/2010	10.73278	21	256	1.39	1.3	2	JDR	SJC	2	3	
076 C	1/28/2010	10.75083										220 OBS BEARING TO FISHING VESSEL POINTING NORTH
077 S	1/28/2010	10.77667	17	243	1.25	1.5	2	JDR	SJC	2	3	
078 S	1/28/2010	10.78806	13	243	1.95	0.8	3	JDR	SJC	2	3	
079 S	1/28/2010	10.81056	15	253	1.95	0.8	3	JDR	SJC	2	3	
080 S	1/28/2010	10.83139	21	241	1.39	1.3	2	JDR	SJC	2	3	
081 S	1/28/2010	10.92222	19	254	1.57	1.1	2	JDR	SJC	2	3	
082 S	1/28/2010	10.93944	16	238	1.68	1	2	JDR	SJC	2	3	
083 C	1/28/2010	11.0125										220.5 OBS BEARING TO FISHING VESSEL
085 S	1/28/2010	11.10861	22	245	1.25	1.5	1	JDR	SJC	2	3	
086 S	1/28/2010	11.12389	23	284	1.8	0.9	2	JDR	SJC	2	3	
087 S	1/28/2010	11.14056	24	255	2.12	0.7	6	JDR	SJC	2	3	
088 S	1/28/2010	11.25889	23	269	1.39	1.3	2	JDR	SJC	2	3	
089 S	1/28/2010	11.30028	24	242	1.95	0.8	6	JDR	SJC	2	3	
090 S	1/28/2010	11.37528	25	287	3.37	0.3	2	JDR	SJC	2	3	
091 C	1/28/2010	11.51194										224 OBS BEARING TO FISHING VESSEL
092 S	1/28/2010	11.51611	26	242	1.39	1.3	1	JDR	SJC	2	3	
093 S	1/28/2010	11.54111	27	219	0.55	4	2	JDR	SJC	2	3	
094 S	1/28/2010	11.64417	28	280	2.33	0.6	1	JDR	SJC	2	3	
095 S	1/28/2010	11.65389	25	274	2.59	0.5	2	JDR	SJC	2	3	
096 S	1/28/2010	11.77583	29	274	2.33	0.6	2	JDR	SJC	2	3	
097 S	1/28/2010	11.8475	30	262	1.47	1.2	1	JDR	SJC	2	3	
098 S	1/28/2010	11.85389	28	259	1.95	0.8	2	JDR	SJC	2	3	
099 S	1/28/2010	11.88667	30	258	1.47	1.2	1	JDR	SJC	2	3	
100 C	1/28/2010	11.89222										221 OBS BEARING TO FISHING VESSEL... WE'RE LATE BUT HOPEFULLY OKAY
101 C	1/28/2010	11.9275										"G GRI @ 247, 3 RET; ~8 BEST GROUP SIZE"
102 S	1/28/2010	11.99333	31	282	1.95	0.8	1	JDR	SJC	2	3	
103 C	1/28/2010	12.00083										210 OBS BEARING TO FISHING VESSEL TRAVELING NORTH CLOSE TO SHORE (~2 RET)
104 P	1/28/2010	12.02111	RCH	JDR								
105 V	1/28/2010	12.02111	2	2								
106 C	1/28/2010	12.07139										311 OBS BEARING TO LOBOS ROCKS
107 V	1/28/2010	12.14778	2	3								
108 S	1/28/2010	12.19528	32	247	1.39	1.3	1	RCH	JDR	2	3	
109 S	1/28/2010	12.20583	33	247	1.57	1.1	1	RCH	JDR	2	3	
110 S	1/28/2010	12.22667	32	245	1.39	1.3	5	RCH	JDR	2	3	
111 S	1/28/2010	12.23972	33	241	1.57	1.1	1	RCH	JDR	2	3	
112 C	1/28/2010	12.26194										
113 S	1/28/2010	12.26917	33	237	1.57	1.1	1	RCH	JDR	2	3	
114 S	1/28/2010	12.27722	34	240	0.65	3.3	1	RCH	JDR	2	3	
115 S	1/28/2010	12.31722	34	231	0.71	3	2	RCH	JDR	2	3	
116 S	1/28/2010	12.32333	32	232	1.39	1.3	5	RCH	JDR	2	3	
117 S	1/28/2010	12.35	32	232	1.39	1.3	5	RCH	JDR	2	3	
118 S	1/28/2010	12.35611	31	237	1.39	1.3	1	RCH	JDR	2	3	
119 C	1/28/2010	12.36972										307 OBS BEARING TO FISHING VESSEL
120 S	1/28/2010	12.39667	35	243	1.39	1.3	3	RCH	JDR	2	3	
121 S	1/28/2010	12.42083	35	237	1.39	1.3	4	RCH	JDR	2	3	
122 V	1/28/2010	12.44167	2	2								
123 S	1/28/2010	12.60389	36	250	1.95	0.8	3	RCH	JDR	2	2	
124 V	1/28/2010	12.80694	2	3								
125 S	1/28/2010	12.89306	37	238	1.57	1.1	5	RCH	JDR	2	3	
126 S	1/28/2010	13.025	38	257	1.31	1.4	1	RCH	JDR	2	3	
127 S	1/28/2010	13.03861	38	253	1.31	1.4	1	RCH	JDR	2	3	
128 S	1/28/2010	13.04111	39	256	1.31	1.4	2	RCH	JDR	2	3	
