SOUTH TRAILER												
003 B	1/29/2010	7.50028										
004 P	1/29/2010	7.50028	SJC	RCH								
005 V	1/29/2010	7.50028	2	4								
006 C	1/29/2010	7.63639										240 28 RET 2 TURSIOPS??
007 C	1/29/2010	7.70417										270  JUST ABOVE ROCKS 10-12 TURSIOPS MILLING
008 C	1/29/2010	7.72611										310 LR
009 V	1/29/2010	8.17	3	4								
010 C	1/29/2010	8.27583										SAIL VESSEL 235
011 S	1/29/2010	8.31806	1	258	1.68	1	2	SJC	RCH	3	4	
012 C	1/29/2010	8.33333										"FLAT LIGHT, NO BLOWS CHANGE TO VIS 4"
013 V	1/29/2010	8.35722	3	4								
014 S	1/29/2010	8.42583	2	243	0.62	3.5	1	SJC	RCH	3	4	
015 S	1/29/2010	8.45667	1	245	1.47	1.2	2	SJC	RCH	3	4	
016 S	1/29/2010	8.48583	3	238	1.39	1.3	1	SJC	RCH	3	4	
017 C	1/29/2010	8.5										SAIL VESSEL 235.5
018 S	1/29/2010	8.53333	1	237	1.47	1.2	2	SJC	RCH	3	4	
019 S	1/29/2010	8.60083	4	275	2.33	0.6	5	SJC	RCH	3	4	
020 S	1/29/2010	8.66667	4	270	2.33	0.6	5	SJC	RCH	3	4	
021 S	1/29/2010	8.69694	5	287	3.37	0.3	3	SJC	RCH	3	4	
022 S	1/29/2010	8.71222	4	265	2.33	0.6	5	SJC	RCH	3	4	
023 C	1/29/2010	8.74028										SV 237
024 S	1/29/2010	8.77222	4	261	2.12	0.7	5	SJC	RCH	3	4	
025 S	1/29/2010	8.82806	4	254	2.12	0.7	5	SJC	RCH	3	4	
026 S	1/29/2010	8.8375	6	285	2.33	0.6	1	SJC	RCH	3	4	
027 S	1/29/2010	8.87056	5	279	2.92	0.4	3	SJC	RCH	3	4	
028 S	1/29/2010	8.88611	4	246	1.95	0.8	5	SJC	RCH	3	4	
029 V	1/29/2010	8.89083	3	3								
030 S	1/29/2010	8.89806	7	247	3.37	0.3	2	SJC	RCH	3	3	
