SOUTH TRAILER												
001 B	2/3/2010	7.50778										
002 P	2/3/2010	7.50778	DJR	SLR								
003 V	2/3/2010	7.50778	2	4								
004 C	2/3/2010	7.51722										OBS BEARING 312.4
005 S	2/3/2010	7.52722	1	270	0.99	2	1	DJR	SLR	2	4	
006 S	2/3/2010	7.53278	2	257	0.86	2.4	2	DJR	SLR	2	4	
007 S	2/3/2010	7.56611	3	270	0.99	2	1	DJR	SLR	2	4	
008 S	2/3/2010	7.58694	2	250	0.8	2.6	2	DJR	SLR	2	4	
009 S	2/3/2010	7.61333	3	259	0.96	2.1	1	DJR	SLR	2	4	
010 S	2/3/2010	7.63	4	286	1.68	1	1	DJR	SLR	2	4	
011 S	2/3/2010	7.6475	5	268	0.89	2.3	2	DJR	SLR	2	4	
012 S	2/3/2010	7.66806	2	234	0.71	3	2	DJR	SLR	2	4	
013 S	2/3/2010	7.6775	1	233	0.71	3	1	DJR	SLR	2	4	
014 S	2/3/2010	7.69472	3	238	0.83	2.5	2	DJR	SLR	2	4	
015 S	2/3/2010	7.71778	5	254	0.92	2.2	2	DJR	SLR	2	4	
016 S	2/3/2010	7.75167	4	256	1.19	1.6	1	DJR	SLR	2	4	
017 S	2/3/2010	7.76472	6	272	1.39	1.3	1	DJR	SLR	2	4	
018 S	2/3/2010	7.78	7	268	1.25	1.5	1	DJR	SLR	2	4	
019 S	2/3/2010	7.79806	5	232	0.89	2.3	2	DJR	SLR	2	4	
020 S	2/3/2010	7.82528	8	240	0.65	3.3	1	DJR	SLR	2	4	
021 S	2/3/2010	7.88972	7	248	0.99	2	3	DJR	SLR	2	4	
022 V	2/3/2010	7.90306	2	3								
023 C	2/3/2010	7.97778										BOAT TRAVELING S ON RET 1 OBS 242  RECRDR 246
024 S	2/3/2010	8.00778	7	226	0.89	2.3	3	DJR	SLR	2	3	
025 S	2/3/2010	8.1425	9	286	1.68	1	1	DJR	SLR	2	3	
026 V	2/3/2010	8.14722	2	2								
027 S	2/3/2010	8.21278	9	280	1.19	1.6	1	DJR	SLR	2	2	
028 V	2/3/2010	8.23889	3	2								
029 S	2/3/2010	8.25222	9	272	1.08	1.8	1	DJR	SLR	3	2	
030 S	2/3/2010	8.25694	10	274	1.04	1.9	1	DJR	SLR	3	2	
