SOUTH TRAILER												
001 B	2/5/2010	7.5										
002 P	2/5/2010	7.5	SLR	BLT								
003 V	2/5/2010	7.5	2	4								
004 C	2/5/2010	7.50861										OBS BEARING 311  EST ROCKS FOGGED IN-BLURRY
005 V	2/5/2010	7.66444	3	4								
006 S	2/5/2010	7.69222	1	284	1.57	1.1	1	SLR	BLT	3	4	
007 S	2/5/2010	7.69889	2	274	1.47	1.2	1	SLR	BLT	3	4	
008 C	2/5/2010	7.71083										FOG ON HORIZON FROM 257 TO THE SOUTH
009 S	2/5/2010	7.73806	2	261	1.31	1.4	1	SLR	BLT	3	4	
010 C	2/5/2010	7.79111										FOG OUT TO 280 HARD TO SEE  BEYOND 2 RET
011 V	2/5/2010	7.80278	3	5								
012 S	2/5/2010	7.86028	2	245	1.31	1.4	1	SLR	BLT	3	5	
013 S	2/5/2010	7.9325	1	250	1.04	1.9	2	SLR	BLT	3	5	
014 S	2/5/2010	8.04556	1	231	1.08	1.8	2	SLR	BLT	3	5	
015 V	2/5/2010	8.17611	3	4								
016 C	2/5/2010	8.17833										NO FOG IN ZONE BUT HAZE ON HORIZON
017 S	2/5/2010	8.43722	3	284	1.08	1.8	1	SLR	BLT	3	4	
018 S	2/5/2010	8.53306	4	271	1.47	1.2	1	SLR	BLT	3	4	
019 C	2/5/2010	8.57056										OBS ANGLE 310
020 S	2/5/2010	8.68111	4	256	1.25	1.5	1	SLR	BLT	3	4	
021 C	2/5/2010	8.78028										FOG MOVED IN COVERING HORIZON AND IN TO 1 RET
022 V	2/5/2010	8.79	3	5								
023 S	2/5/2010	8.79611	4	242	1.25	1.5	2	SLR	BLT	3	5	
024 P	2/5/2010	9.00778	DJR	SLR								
025 V	2/5/2010	9.00778	3	5								
026 V	2/5/2010	9.02028	4	5								
027 V	2/5/2010	9.19639	4	4								
028 S	2/5/2010	9.25083	5	264	2.12	0.7	2	DJR	SLR	4	4	
029 C	2/5/2010	9.50083										HORIZON NOW VISIBLE
030 V	2/5/2010	9.51444	4	4								
031 V	2/5/2010	9.76972	4	3								
032 V	2/5/2010	9.89806	5	4								
033 C	2/5/2010	9.90333										FOG ON HORIZON
034 S	2/5/2010	10.48222	6	256	1.19	1.6	1	DJR	SLR	5	4	
035 P	2/5/2010	10.53389	BLT	DJR								
036 V	2/5/2010	10.53389	5	4								
037 C	2/5/2010	10.54639										OBS BEARING 311
038 S	2/5/2010	10.72444	6	223	1.25	1.5	1	BLT	DJR	5	4	
039 S	2/5/2010	11.08611	7	205	1.25	1.5	1	BLT	DJR	5	4	
040 C	2/5/2010	11.14611										SAILBOAT AT 241 DEG FOR PRIMARY BINO; 247 DEG FOR RECORDER BINO
041 S	2/5/2010	11.20444	8	268	1.47	1.2	1	BLT	DJR	5	4	
042 S	2/5/2010	11.50417	8	232	1.31	1.4	1	BLT	DJR	5	4	
043 S	2/5/2010	11.6325	9	250	1.08	1.8	1	BLT	DJR	5	4	
044 S	2/5/2010	11.66583	10	256	1.08	1.8	1	BLT	DJR	5	4	
045 S	2/5/2010	11.695	11	252	1.25	1.5	1	BLT	DJR	5	4	
