SOUTH TRAILER												
001 B	2/6/2010	9.01278										
002 P	2/6/2010	9.01278	BLT	DJR								
003 V	2/6/2010	9.01278	2	4								
004 C	2/6/2010	9.05111										OBS BEARING 310
005 C	2/6/2010	9.27222										"15-40 GRAMPUS AT 242 DEG, RET 3.4, GOING SOUTH SLOWLY"
006 S	2/6/2010	9.35611	1	283	1.39	1.3	2	BLT	DJR	2	4	
007 S	2/6/2010	9.4525	1	275	1.28	1.45	2	BLT	DJR	2	4	
008 S	2/6/2010	9.58111	2	271	1.25	1.5	1	BLT	DJR	2	4	
009 S	2/6/2010	9.59083	3	265	1.08	1.8	2	BLT	DJR	2	4	
010 S	2/6/2010	9.62056	4	263	0.83	2.5	1	BLT	DJR	2	4	
011 V	2/6/2010	9.6225	3	3								
012 S	2/6/2010	9.67389	3	253	1.04	1.9	2	BLT	DJR	3	3	
013 S	2/6/2010	9.7475	2	242	1.13	1.7	2	BLT	DJR	3	3	
014 S	2/6/2010	9.81028	5	292	1.68	1	1	BLT	DJR	3	3	
015 C	2/6/2010	9.825										BOAT ON THE HORIZON:  PRIMARY BINO 226 DEG; RECORDER BINO 234 DEG
016 S	2/6/2010	9.88194	2	226	1.08	1.8	2	BLT	DJR	3	3	
017 C	2/6/2010	10.05639										BOAT ON THE HORIZON: PRIMARY BINO 244 DEG; RECORDER BINO 251 DEG
018 S	2/6/2010	10.11417	6	248	0.38	6	1	BLT	DJR	3	3	
019 S	2/6/2010	10.12972	6	242	0.41	5.5	1	BLT	DJR	3	3	
020 S	2/6/2010	10.18333	7	248	0.71	3	1	BLT	DJR	3	3	
021 S	2/6/2010	10.20833	5	248	0.71	3	1	BLT	DJR	3	3	
022 S	2/6/2010	10.25667	7	232	0.62	3.5	1	BLT	DJR	3	3	
023 P	2/6/2010	10.50889	SLR	BLT								
024 V	2/6/2010	10.50889	3	3								
025 C	2/6/2010	10.55306										OBS BERING 310
026 S	2/6/2010	10.66444	8	252	1.25	1.5	1	SLR	BLT	3	3	
027 V	2/6/2010	10.80639	3	4								
