Edited North Trailer 13 Jan 2011 (DWW)
001 B	01/13/2011	07:30:00
002 P	01/13/2011	07:30:00	DWW	BLH	N
003 V	01/13/2011	07:30:00	1	3
004 S	01/13/2011	07:31:31	1	236	1.39	1.3	2	DWW	BLH	1	3		South
005 S	01/13/2011	07:34:49	2	240	1.47	1.2	2	DWW	BLH	1	3		South
006 S	01/13/2011	07:38:15	1	222	1.57	1.1	2	DWW	BLH	1	3		South
007 S	01/13/2011	07:40:57	2	230	1.47	1.2	2	DWW	BLH	1	3		South
008 S	01/13/2011	07:43:52	3	261	1.68	1	2	DWW	BLH	1	3		South
009 S	01/13/2011	07:46:08	3	258	1.68	1	2	DWW	BLH	1	3		South
010 C	01/13/2011	07:46:31	Grampus bearing 260 reticle 3 traveling south group size 25+
011 S	01/13/2011	07:52:00	3	250	1.68	1	2	DWW	BLH	1	3		South
012 S	01/13/2011	07:56:45	3	242	1.68	1	2	DWW	BLH	1	3		South
013 S	01/13/2011	08:02:33	4	264	1.47	1.2	1	DWW	BLH	1	3		South
014 S	01/13/2011	08:04:27	5	264	1.95	0.8	1	DWW	BLH	1	3		South
015 S	01/13/2011	08:06:39	6	233	1.8	0.9	1	DWW	BLH	1	3		South
016 S	01/13/2011	08:11:13	4	252	1.47	1.2	2	DWW	BLH	1	3		South
017 C	01/13/2011	08:12:33	Horizon line changing from 230 bearing to close to north end of study area, tracklines may look a little off
018 S	01/13/2011	08:13:47	7	273	1.95	0.8	1	DWW	BLH	1	3		South
019 S	01/13/2011	08:16:54	8	240	1.19	1.6	1	DWW	BLH	1	3		South
020 C	01/13/2011	08:17:34	grampus spread throughout study area from bearing 210 to 275
021 S	01/13/2011	08:25:03	7	260	1.8	0.9	1	DWW	BLH	1	3		South
022 S	01/13/2011	08:29:18	7	252	1.57	1.1	1	DWW	BLH	1	3		South
023 S	01/13/2011	08:30:19	9	260	1.47	1.2	1	DWW	BLH	1	3		South
024 S	01/13/2011	08:32:47	9	256	1.47	1.2	1	DWW	BLH	1	3		South
025 S	01/13/2011	08:35:55	7	240	1.47	1.2	1	DWW	BLH	1	3		South
026 S	01/13/2011	08:36:39	9	246	1.39	1.3	1	DWW	BLH	1	3		South
027 S	01/13/2011	08:39:38	10	253	1.47	1.2	2	DWW	BLH	1	3		South
028 S	01/13/2011	08:43:04	11	275	2.12	0.7	6	DWW	BLH	1	3		South
029 S	01/13/2011	08:43:58	7	224	1.47	1.2	2	DWW	BLH	1	3		South
030 S	01/13/2011	08:45:20	11	273	2.12	0.7	1	DWW	BLH	1	3		South
032 S	01/13/2011	08:48:57	11	270	2.12	0.7	10	DWW	BLH	1	3		South
033 V	01/13/2011	08:52:03	1	2
034 S	01/13/2011	08:55:04	11	261	1.95	0.8	10	DWW	BLH	1	2		South
035 S	01/13/2011	08:58:55	13	230	1.57	1.1	2	DWW	BLH	1	2		South
036 S	01/13/2011	09:00:29	11	250	1.8	0.9	10	DWW	BLH	1	2		South
037 P	01/13/2011	09:00:59	TSW	DWW	N
038 V	01/13/2011	09:00:59	1	2
039 C	01/13/2011	09:01:27	obs ref = 271
040 S	01/13/2011	09:04:31	14	272	1.68	1	2	TSW	DWW	1	2		South
041 S	01/13/2011	09:07:00	11	241	1.68	1	10	TSW	DWW	1	2		South
042 S	01/13/2011	09:14:42	15	257	1.57	1.1	2	TSW	DWW	1	2		South
043 S	01/13/2011	09:15:31	11	223	1.39	1.3	10	TSW	DWW	1	2		South
044 S	01/13/2011	09:17:48	16	280	2.92	0.4	5	TSW	DWW	1	2		South
045 C	01/13/2011	09:18:30	grp 11 spread over 5-7 degrees in a line on the same dist. from shore
046 S	01/13/2011	09:21:31	15	236	1.31	1.4	2	TSW	DWW	1	2		South
