Edited South Trailer 24 Jan 2011 (SJC/DWW)
001 C	01/24/2011	07:25:14	obs ref 301 sjc 298 eia
002 B	01/24/2011	07:30:12
003 P	01/24/2011	07:30:12	SJC	EIA	S
004 V	01/24/2011	07:30:12	2	2
005 C	01/24/2011	07:31:00	Ggri r5.6 245 10-5-15
006 S	01/24/2011	07:34:01	1	220	0.21	11.5	1	SJC	EIA	2	2		South
007 S	01/24/2011	07:35:25	2	285	1.68	1	4	SJC	EIA	2	2		South
008 S	01/24/2011	07:40:44	3	255	1.57	1.1	2	SJC	EIA	2	2		South
009 V	01/24/2011	07:41:55	2	3
010 S	01/24/2011	07:44:14	4	250	1.39	1.3	2	SJC	EIA	2	3		South
011 S	01/24/2011	07:48:10	2	257	1.13	1.7	4	SJC	EIA	2	3		South
012 S	01/24/2011	07:49:31	3	246	1.57	1.1	2	SJC	EIA	2	3		South
013 S	01/24/2011	07:53:06	5	292	1.47	1.2	1	SJC	EIA	2	3		South
015 S	01/24/2011	07:55:51	2	238	1.08	1.8	5	SJC	EIA	2	3		South
018 S	01/24/2011	07:58:05	3	243	1.8	0.9	4	SJC	EIA	2	3		South
019 S	01/24/2011	07:58:43	6	294	1.19	1.6	2	SJC	EIA	2	3		South
020 S	01/24/2011	07:59:27	7	263	2.92	0.4	1	SJC	EIA	2	3		South
021 S	01/24/2011	08:01:05	3	241	1.8	0.9	2	SJC	EIA	2	3		South
022 S	01/24/2011	08:01:40	7	261	2.92	0.4	1	SJC	EIA	2	3		South
023 S	01/24/2011	08:05:28	5	255	1.04	1.9	2	SJC	EIA	2	3		South
024 S	01/24/2011	08:07:35	7	256	2.92	0.4	1	SJC	EIA	2	3		South
025 S	01/24/2011	08:10:19	8	248	0.52	4.3	1	SJC	EIA	2	3		South
026 S	01/24/2011	08:12:18	9	283	0.99	2	1	SJC	EIA	2	3		South
027 S	01/24/2011	08:13:29	10	243	1.8	0.9	2	SJC	EIA	2	3		South
028 S	01/24/2011	08:15:56	9	266	1.04	1.9	2	SJC	EIA	2	3		South
029 S	01/24/2011	08:17:08	6	243	0.99	2	2	SJC	EIA	2	3		South
030 S	01/24/2011	08:17:41	10	245	1.95	0.8	2	SJC	EIA	2	3		South
031 S	01/24/2011	08:19:46	9	250	0.86	2.4	2	SJC	EIA	2	3		South
032 S	01/24/2011	08:20:16	11	290	1.95	0.8	1	SJC	EIA	2	3		South
033 S	01/24/2011	08:21:07	11	290	1.95	0.8	2	SJC	EIA	2	3		South
034 S	01/24/2011	08:21:36	7	246	2.92	0.4	1	SJC	EIA	2	3		South
035 S	01/24/2011	08:23:05	12	275	0.45	5	1	SJC	EIA	2	3		 South
036 S	01/24/2011	08:24:05	12	270	0.78	2.7	3	SJC	EIA	2	3		South
037 S	01/24/2011	08:24:22	12	270	0.78	2.7	4	SJC	EIA	2	3		South
038 S	01/24/2011	08:25:34	13	253	0.58	3.8	1	SJC	EIA	2	3		South
