001 B	01/22/2015	07:30:37
002 P	01/22/2015	07:30:37	ARL	SJC	N
003 V	01/22/2015	07:30:37	2	3
004 S	01/22/2015	07:32:33	1	247	0.92	2.2	3	ARL	SJC	2	3		South
005 S	01/22/2015	07:32:54	2	248	1.31	1.4	1	ARL	SJC	2	3		South
006 S	01/22/2015	07:34:34	1	248	0.92	2.2	4	ARL	SJC	2	3		South
007 S	01/22/2015	07:35:47	3	256	1.25	1.5	3	ARL	SJC	2	3		South
008 S	01/22/2015	07:36:38	3	255	1.25	1.5	5	ARL	SJC	2	3		South
009 S	01/22/2015	07:38:19	4	254	0.99	2	1	ARL	SJC	2	3		South
010 S	01/22/2015	07:41:28	3	243	1.25	1.5	5	ARL	SJC	2	3		South
011 S	01/22/2015	07:42:38	4	241	1.08	1.8	2	ARL	SJC	2	3		South
012 S	01/22/2015	07:45:00	5	265	1.80	0.9	2	ARL	SJC	2	3		South
013 S	01/22/2015	07:46:22	6	248	1.47	1.2	1	ARL	SJC	2	3		South
014 S	01/22/2015	07:46:42	7	245	0.83	2.5	1	ARL	SJC	2	3		South
015 S	01/22/2015	07:48:55	8	244	0.83	2.5	1	ARL	SJC	2	3		South
016 S	01/22/2015	07:50:21	9	271	1.8	0.9	1	ARL	SJC	2	3		South
018 S	01/22/2015	07:53:42	6	240	1.47	1.2	2	ARL	SJC	2	3		South
020 S	01/22/2015	07:55:19	11	249	0.71	3	1	ARL	SJC	2	3		South
021 S	01/22/2015	07:56:46	9	260	1.57	1.1	2	ARL	SJC	2	3		South
022 S	01/22/2015	07:57:33	9	261	1.47	1.2	3	ARL	SJC	2	3		South
023 S	01/22/2015	08:02:00	12	259	1.57	1.1	1	ARL	SJC	2	3		South
025 S	01/22/2015	08:06:13	12	252	1.47	1.2	1	ARL	SJC	2	3		South
026 S	01/22/2015	08:08:10	9	247	1.25	1.5	3	ARL	SJC	2	3		South
028 S	01/22/2015	08:12:54	12	239	1.47	1.2	1	ARL	SJC	2	3		South
029 S	01/22/2015	08:13:40	14	265	1.31	1.4	2	ARL	SJC	2	3		South
031 S	01/22/2015	08:16:55	14	255	1.25	1.5	2	ARL	SJC	2	3		South
032 S	01/22/2015	08:17:49	14	253	1.25	1.5	3	ARL	SJC	2	3		South
033 S	01/22/2015	08:23:39	15	258	1.68	1	1	ARL	SJC	2	3		South
034 S	01/22/2015	08:29:00	16	244	1.08	1.8	3	ARL	SJC	2	3		South
035 S	01/22/2015	08:30:58	15	249	1.57	1.1	2	ARL	SJC	2	3		South
036 S	01/22/2015	08:33:42	17	283	0.86	2.4	2	ARL	SJC	2	3		South
037 S	01/22/2015	08:34:48	18	283	1.13	1.7	1	ARL	SJC	2	3		South
038 S	01/22/2015	08:36:02	19	241	1.13	1.7	2	ARL	SJC	2	3		South
039 S	01/22/2015	08:39:35	20	242	1.39	1.3	2	ARL	SJC	2	3		South
040 S	01/22/2015	08:40:10	17	274	0.75	2.8	2	ARL	SJC	2	3		South
041 S	01/22/2015	08:41:57	17	271	0.75	2.8	2	ARL	SJC	2	3		South
042 S	01/22/2015	08:43:01	18	257	0.92	2.2	1	ARL	SJC	2	3		South
043 S	01/22/2015	08:46:09	17	263	0.71	3	2	ARL	SJC	2	3		South
044 S	01/22/2015	08:46:44	18	244	0.92	2.2	1	ARL	SJC	2	3		South
045 S	01/22/2015	08:51:03	17	256	0.67	3.2	2	ARL	SJC	2	3		South
