001 B	01/27/2016	07:30:00
002 P	01/27/2016	07:30:47	BLH	KXD	N
003 V	01/27/2016	07:30:51	2	4
005 V	01/27/2016	08:14:40	2	4
006 S	01/27/2016	08:18:20	1	275	1.68	1	1	BLH	KXD	2	4		South
007 S	01/27/2016	08:33:50	2	268	1.68	1	1	BLH	KXD	2	4		South
008 S	01/27/2016	08:35:32	3	271	0.71	3	2	BLH	KXD	2	4		South
009 S	01/27/2016	08:36:17	4	261	2.12	0.7	1	BLH	KXD	2	4		South
010 S	01/27/2016	08:38:56	2	254	1.57	1.1	1	BLH	KXD	2	4		South
011 S	01/27/2016	08:39:19	4	257	2.12	0.7	1	BLH	KXD	2	4		South
012 S	01/27/2016	08:40:34	3	253	0.71	3	2	BLH	KXD	2	4		South
013 S	01/27/2016	08:43:16	4	252	1.95	0.8	1	BLH	KXD	2	4		South
014 S	01/27/2016	08:44:45	5	255	0.96	2.1	1	BLH	KXD	2	4		South
015 S	01/27/2016	08:45:02	6	267	0.99	2	1	BLH	KXD	2	4		South
017 S	01/27/2016	08:49:00	5	240	0.99	2	1	BLH	KXD	2	4		South
018 S	01/27/2016	08:51:34	7	259	0.99	2	1	BLH	KXD	2	4		South
019 S	01/27/2016	08:52:00	6	267	0.99	2	1	BLH	KXD	2	4		South
020 S	01/27/2016	08:55:48	8	257	1.39	1.3	1	BLH	KXD	2	4		South
021 S	01/27/2016	08:57:07	6	253	0.83	2.5	1	BLH	KXD	2	4		South
022 S	01/27/2016	08:57:37	10	263	0.45	5	1	BLH	KXD	2	4		South
024 S	01/27/2016	08:58:22	11	270	0.35	6.7	1	BLH	KXD	2	4		South
025 P	01/27/2016	09:00:50	DWW	BLH	N
026 V	01/27/2016	09:00:50	2	4
027 S	01/27/2016	09:12:48	12	262	0.52	4.3	3	DWW	BLH	2	4		South
028 S	01/27/2016	09:17:16	13	267	0.96	2.1	1	DWW	BLH	2	4		South
029 S	01/27/2016	09:17:57	13	264	0.99	2	1	DWW	BLH	2	4		South
030 S	01/27/2016	09:25:50	14	255	0.48	4.7	2	DWW	BLH	2	4		South
031 S	01/27/2016	09:26:30	15	256	0.86	2.4	1	DWW	BLH	2	4		South
032 S	01/27/2016	09:34:27	16	275	0.86	2.4	2	DWW	BLH	2	4		South
033 S	01/27/2016	09:35:57	17	267	1.47	1.2	1	DWW	BLH	2	4		South
034 S	01/27/2016	09:38:57	18	272	1.04	1.9	1	DWW	BLH	2	4		South
035 S	01/27/2016	09:39:49	19	280	1.25	1.5	1	DWW	BLH	2	4		South
036 S	01/27/2016	09:49:45	19	261	0.92	2.2	1	DWW	BLH	2	4		South
037 S	01/27/2016	09:51:45	20	274	0.96	2.1	1	DWW	BLH	2	4		South
038 S	01/27/2016	09:53:31	20	269	0.89	2.3	2	DWW	BLH	2	4		South
039 S	01/27/2016	09:55:03	19	246	0.86	2.4	1	DWW	BLH	2	4		South
040 S	01/27/2016	09:56:27	21	288	0.43	5.3	1	DWW	BLH	2	4		South
041 S	01/27/2016	09:58:21	20	256	0.73	2.9	2	DWW	BLH	2	4		South
042 S	01/27/2016	10:00:49	22	285	1.25	1.5	2	DWW	BLH	2	4		South
043 S	01/27/2016	10:04:02	22	278	1.13	1.7	2	DWW	BLH	2	4		South
044 S	01/27/2016	10:04:50	23	287	1.95	0.8	6	DWW	BLH	2	4		South
045 S	01/27/2016	10:07:06	22	272	1.08	1.8	2	DWW	BLH	2	4		South
046 V	01/27/2016	10:07:33	3	4
047 S	01/27/2016	10:10:37	23	278	1.68	1	9	DWW	BLH	3	4		South
048 S	01/27/2016	10:12:49	23	275	1.68	1	10	DWW	BLH	3	4		South
049 S	01/27/2016	10:13:37	22	254	0.99	2	2	DWW	BLH	3	4		South
050 S	01/27/2016	10:15:40	22	246	0.96	2.1	2	DWW	BLH	3	4		South
051 S	01/27/2016	10:16:03	23	270	1.31	1.4	10	DWW	BLH	3	4		South
052 S	01/27/2016	10:19:23	24	256	1.13	1.7	1	DWW	BLH	3	4		South
053 S	01/27/2016	10:23:35	24	245	1.04	1.9	1	DWW	BLH	3	4		South
054 S	01/27/2016	10:24:37	23	257	1.25	1.5	10	DWW	BLH	3	4		South
055 P	01/27/2016	10:30:21	KXD	DWW	N
056 V	01/27/2016	10:30:21	3	4
057 S	01/27/2016	10:34:08	25	284	1.95	0.8	1	KXD	DWW	3	4		South
058 S	01/27/2016	10:34:53	25	284	1.95	0.8	2	KXD	DWW	3	4		South
059 S	01/27/2016	10:37:04	25	278	1.95	0.8	2	KXD	DWW	3	4		South
060 S	01/27/2016	10:45:59	26	276	1.68	1	1	KXD	DWW	3	4		South
061 V	01/27/2016	10:46:30	3	3
062 S	01/27/2016	10:50:36	27	289	1.47	1.2	1	KXD	DWW	3	3		South
063 S	01/27/2016	10:51:49	25	261	1.95	0.8	2	KXD	DWW	3	3		South
064 S	01/27/2016	10:54:39	26	271	1.68	1	1	KXD	DWW	3	3		South
065 S	01/27/2016	10:59:38	28	285	0.9	2.2	1	KXD	DWW	3	3		South
066 S	01/27/2016	11:01:38	26	245	1.47	1.2	1	KXD	DWW	3	3		South
067 S	01/27/2016	11:03:11	27	262	1.08	1.8	1	KXD	DWW	3	3		South
068 S	01/27/2016	11:03:59	29	284	1.8	0.9	1	KXD	DWW	3	3		South
069 S	01/27/2016	11:08:42	30	271	0.78	2.7	1	KXD	DWW	3	3		South
070 S	01/27/2016	11:12:22	29	271	1.39	1.3	2	KXD	DWW	3	3		South
071 S	01/27/2016	11:15:16	30	243	0.83	2.5	1	KXD	DWW	3	3		South
072 S	01/27/2016	11:20:25	31	288	1.25	1.5	2	KXD	DWW	3	3		South
073 V	01/27/2016	11:22:03	2	3
074 S	01/27/2016	11:26:03	31	281	1.25	1.5	2	KXD	DWW	2	3		South
075 S	01/27/2016	11:27:09	29	231	1.13	1.7	2	KXD	DWW	2	3		South
076 S	01/27/2016	11:35:34	32	252	0.71	3	2	KXD	DWW	2	3		South
077 S	01/27/2016	11:39:07	31	247	1.19	1.6	2	KXD	DWW	2	3		South
078 S	01/27/2016	11:53:04	33	290	0.62	3.5	3	KXD	DWW	2	3		South
079 S	01/27/2016	11:57:45	33	259	0.48	4.7	3	KXD	DWW	2	3		South
080 P	01/27/2016	12:00:00	BLH	KXD	N
081 V	01/27/2016	12:00:00	2	3
082 S	01/27/2016	12:07:29	34	288	1.68	1	1	BLH	KXD	2	3		South
083 S	01/27/2016	12:11:23	35	282	2.59	0.5	2	BLH	KXD	2	3		South
086 S	01/27/2016	12:17:55	37	280	0.53	4.2	2	BLH	KXD	2	3		South
087 S	01/27/2016	12:22:23	37	262	0.51	4.4	2	BLH	KXD	2	3		South
088 S	01/27/2016	12:25:58	34	240	1.25	1.5	1	BLH	KXD	2	3		South
089 S	01/27/2016	12:27:04	34	238	1.25	1.5	2	BLH	KXD	2	3		South
090 S	01/27/2016	12:45:28	38	289	2.33	0.6	5	BLH	KXD	2	3		South
091 S	01/27/2016	12:52:03	38	281	2.12	0.7	5	BLH	KXD	2	3		South
092 S	01/27/2016	12:55:39	39	281	1.57	1.1	2	BLH	KXD	2	3		South
093 S	01/27/2016	12:56:51	38	277	2.12	0.7	6	BLH	KXD	2	3		South
094 S	01/27/2016	12:57:35	39	275	1.57	1.1	2	BLH	KXD	2	3		South
095 S	01/27/2016	12:58:44	38	275	2.12	0.7	8	BLH	KXD	2	3		South
096 S	01/27/2016	13:02:58	38	269	1.95	0.8	8	BLH	KXD	2	3		South	
098 S	01/27/2016	13:06:31	40	279	1.57	1.1	1	BLH	KXD	2	3		South
099 S	01/27/2016	13:07:45	40	275	1.47	1.2	2	BLH	KXD	2	3		South
