001 B	1/13/2020	7:32:23											
002 P	1/13/2020	7:32:23	VLP	ARL	N								
003 V	1/13/2020	7:32:23	3	3									
004 E	1/13/2020	7:41:23											
005 C	1/13/2020	7:41:26	Effort was stopped due to site manager safety briefing.									
006 B	1/13/2020	7:50:12											
007 P	1/13/2020	7:50:12	VLP	ARL	N								
008 V	1/13/2020	7:50:12	3	3									
009 S	1/13/2020	8:04:11	1	290	1.68	1	1	VLP	ARL	3	3		South
010 S	1/13/2020	8:10:46	1	271	1.47	1.2	1	VLP	ARL	3	3		South
011 S	1/13/2020	8:20:23	1	241	1.39	1.3	1	VLP	ARL	3	3		South
012 V	1/13/2020	8:34:49	3	2									
014 S	1/13/2020	8:58:31	2	286	2.59	0.5	1	VLP	ARL	3	2		South
015 P	1/13/2020	9:00:38	ARL	BJB	N								
016 V	1/13/2020	9:00:38	3	2									
017 S	1/13/2020	9:03:37	2	282	2.59	0.5	1	ARL	BJB	3	2		South
018 S	1/13/2020	9:05:22	3	281	1.13	1.7	1	ARL	BJB	3	2		South
019 S	1/13/2020	9:08:58	3	270	0.99	2	1	ARL	BJB	3	2		South
020 S	1/13/2020	9:14:53	2	272	2.59	0.5	3	ARL	BJB	3	2		South
021 S	1/13/2020	9:20:12	4	286	1.95	0.8	1	ARL	BJB	3	2		South
022 S	1/13/2020	9:26:17	5	289	1.68	1	2	ARL	BJB	3	2		South
023 S	1/13/2020	9:34:44	2	248	2.33	0.6	3	ARL	BJB	3	2		South
024 S	1/13/2020	9:41:33	6	254	1.25	1.5	1	ARL	BJB	3	2		South
025 S	1/13/2020	9:43:58	7	282	2.59	0.5	3	ARL	BJB	3	2		South
026 S	1/13/2020	9:52:48	7	272	2.12	0.7	5	ARL	BJB	3	2		South
027 S	1/13/2020	9:55:47	8	281	1.95	0.8	2	ARL	BJB	3	2		South
028 S	1/13/2020	9:56:52	8	279	1.95	0.8	4	ARL	BJB	3	2		South
029 S	1/13/2020	10:24:54	9	286	2.59	0.5	3	ARL	BJB	3	2		South
030 S	1/13/2020	10:27:17	10	284	1.19	1.6	1	ARL	BJB	3	2		South
031 S	1/13/2020	10:27:39	11	284	1.68	1	1	ARL	BJB	3	2		South
032 S	1/13/2020	10:28:30	9	283	2.33	0.6	6	ARL	BJB	3	2		South
034 P	1/13/2020	10:30:42	BJB	VLP	N								
035 V	1/13/2020	10:30:42	4	2									
036 S	1/13/2020	10:37:51	10	251	0.99	2	1	BJB	VLP	4	2		South
037 S	1/13/2020	10:45:04	9	266	2.33	0.6	6	BJB	VLP	4	2		South
038 S	1/13/2020	10:55:06	12	290	2.59	0.5	1	BJB	VLP	4	2		South
039 S	1/13/2020	11:01:27	9	252	1.68	1	6	BJB	VLP	4	2		South
040 S	1/13/2020	11:05:19	13	289	2.59	0.5	1	BJB	VLP	4	2		South
041 S	1/13/2020	11:06:01	14	290	1.25	1.5	1	BJB	VLP	4	2		South
042 S	1/13/2020	11:09:16	15	285	1.25	1.5	1	BJB	VLP	4	2		South
043 S	1/13/2020	11:12:45	9	241	1.68	1	6	BJB	VLP	4	2		South
044 S	1/13/2020	11:18:01	13	270	2.59	1	1	BJB	VLP	4	2		South
046 S	1/13/2020	11:20:47	16	289	1.13	1.7	2	BJB	VLP	4	2		South
048 S	1/13/2020	11:26:19	15	241	0.99	2	1	BJB	VLP	4	2		South
049 S	1/13/2020	11:27:38	17	291	2.59	0.5	2	BJB	VLP	4	2		South
050 S	1/13/2020	11:33:00	18	289	2.59	0.5	1	BJB	VLP	4	2		South
051 S	1/13/2020	11:35:40	19	259	0.99	2	3	BJB	VLP	4	2		South
052 S	1/13/2020	11:37:43	20	289	2.59	0.5	2	BJB	VLP	4	2		South
053 S	1/13/2020	11:40:04	17	257	1.68	1	2	BJB	VLP	4	2		South
055 S	1/13/2020	11:45:24	20	276	1.68	1	2	BJB	VLP	4	2		South
056 S	1/13/2020	11:49:23	17	246	1.68	1	2	BJB	VLP	4	2		South
057 S	1/13/2020	11:52:05	20	250	1.68	1	2	BJB	VLP	4	2	
063 P	1/13/2020	12:00:54	VLP	ARL	N								
064 V	1/13/2020	12:00:54	4	2									
066 S	1/13/2020	12:02:22	18	244	1.47	1.2	1	VLP	ARL	4	2		South
068 S	1/13/2020	12:22:33	22	291	2.33	0.6	1	VLP	ARL	4	2		South
069 S	1/13/2020	12:28:20	22	279	1.95	0.8	2	VLP	ARL	4	2		South
070 S	1/13/2020	12:29:39	23	286	2.59	0.5	1	VLP	ARL	4	2		South
071 S	1/13/2020	12:34:51	23	271	1.95	0.8	1	VLP	ARL	4	2		South
