001 B	1/17/2020	7:30:01											
002 P	1/17/2020	7:30:01	ARL	BJB	N								
003 V	1/17/2020	7:30:01	2	3									
004 S	1/17/2020	7:43:08	1	278	1.25	1.5	2	ARL	BJB	2	3		South
005 S	1/17/2020	7:51:06	1	258	0.92	2.2	2	ARL	BJB	2	3		South
007 S	1/17/2020	7:59:15	3	280	0.83	2.5	1	ARL	BJB	2	3		South
008 S	1/17/2020	8:05:53	4	238	0.92	2.2	5	ARL	BJB	2	3		South
009 S	1/17/2020	8:08:05	5	274	1.39	1.3	1	ARL	BJB	2	3		South
010 S	1/17/2020	8:08:57	3	252	0.83	2.5	2	ARL	BJB	2	3		South
011 S	1/17/2020	8:10:10	3	251	0.75	2.8	2	ARL	BJB	2	3		South
013 S	1/17/2020	8:14:02	5	259	1.08	1.8	2	ARL	BJB	2	3		South
014 S	1/17/2020	8:17:16	7	246	1.04	1.9	3	ARL	BJB	2	3		South
015 S	1/17/2020	8:20:09	8	264	1.47	1.2	2	ARL	BJB	2	3		South
016 S	1/17/2020	8:24:41	9	257	0.83	2.5	3	ARL	BJB	2	3		South
017 V	1/17/2020	8:27:17	2	2									
018 S	1/17/2020	8:42:41	10	264	1.25	1.5	1	ARL	BJB	2	2		South
019 S	1/17/2020	8:43:37	11	286	1.68	1	3	ARL	BJB	2	2		South
020 S	1/17/2020	8:49:12	12	267	1.25	1.5	2	ARL	BJB	2	2		South
021 S	1/17/2020	8:50:35	10	244	1.19	1.6	1	ARL	BJB	2	2		South
022 S	1/17/2020	8:53:52	13	253	0.99	2	1	ARL	BJB	2	2		South
023 C	1/17/2020	8:54:49	bino calibration: observer =222; recorder=228										
024 S	1/17/2020	8:59:07	11	257	1.31	1.4	3	ARL	BJB	2	2		South
026 P	1/17/2020	9:00:37	BJB	VLP	N								
027 V	1/17/2020	9:00:37	2	2									
028 S	1/17/2020	9:03:54	14	260	0.89	2.3	3	BJB	VLP	2	2		South
029 S	1/17/2020	9:09:50	14	255	0.71	3	3	BJB	VLP	2	2		South
030 C	1/17/2020	9:09:58	"Group #14 went N for a bit, turned around"										
031 C	1/17/2020	9:17:28	Switched out binoculars. Calibration: observer = 238; recorder = 240										
032 S	1/17/2020	9:19:45	15	264	0.99	2	2	BJB	VLP	2	2		South
033 S	1/17/2020	9:35:24	16	284	1.08	1.8	2	BJB	VLP	2	2		South
034 S	1/17/2020	9:50:47	17	288	2.59	0.5	1	BJB	VLP	2	2		South
035 S	1/17/2020	9:53:04	18	285	4.01	0.2	1	BJB	VLP	2	2		South
036 S	1/17/2020	9:54:47	19	276	2.59	0.5	1	BJB	VLP	2	2		South
037 S	1/17/2020	9:58:55	20	278	1.25	1.5	2	BJB	VLP	2	2		South
038 S	1/17/2020	10:00:28	19	271	2.59	0.5	1	BJB	VLP	2	2		South
039 S	1/17/2020	10:12:37	21	280	2.59	0.5	2	BJB	VLP	2	2		South
040 S	1/17/2020	10:15:47	20	241	1.08	1.8	2	BJB	VLP	2	2		South
041 S	1/17/2020	10:18:17	18	275	2.59	0.5	1	BJB	VLP	2	2		South
042 S	1/17/2020	10:22:41	22	270	1.68	1	2	BJB	VLP	2	2		South
043 S	1/17/2020	10:24:50	23	243	0.99	2	2	BJB	VLP	2	2		South
044 S	1/17/2020	10:26:13	22	266	1.68	1	2	BJB	VLP	2	2		South
045 P	1/17/2020	10:30:03	VLP	ARL	N								
046 V	1/17/2020	10:30:03	2	2									
047 S	1/17/2020	10:33:58	22	259	1.47	1.2	2	VLP	ARL	2	2		South
048 S	1/17/2020	10:39:22	21	244	1.68	1	2	VLP	ARL	2	2		South
049 S	1/17/2020	10:41:53	24	291	2.33	0.6	1	VLP	ARL	2	2		South
050 S	1/17/2020	10:43:22	26	266	1.25	1.5	3	VLP	ARL	2	2		South
051 S	1/17/2020	10:47:36	26	255	1.39	1.3	1	VLP	ARL	2	2		South
