001 B	1/21/2020	7:30:01											
002 P	1/21/2020	7:30:01	BLH	ARL	N								
003 V	1/21/2020	7:30:01	2	4									
004 S	1/21/2020	7:31:17	1	265	0.99	2	1	BLH	ARL	2	4		South
005 S	1/21/2020	7:34:10	2	242	0.96	2.1	2	BLH	ARL	2	4		South
006 S	1/21/2020	7:37:54	1	249	0.99	2	1	BLH	ARL	2	4		South
007 S	1/21/2020	7:38:26	3	288	1.47	1.2	1	BLH	ARL	2	4		South
008 S	1/21/2020	7:45:08	4	285	1.04	1.9	1	BLH	ARL	2	4		South
009 S	1/21/2020	7:52:50	3	264	0.99	2	1	BLH	ARL	2	4		South
010 S	1/21/2020	7:54:41	5	247	1.04	1.9	1	BLH	ARL	2	4		South
012 S	1/21/2020	7:56:14	6	261	0.99	2	2	BLH	ARL	2	4		South
013 S	1/21/2020	8:00:11	7	282	1.47	1.2	2	BLH	ARL	2	4		South
014 S	1/21/2020	8:03:40	8	277	1.19	1.6	4	BLH	ARL	2	4		South
016 S	1/21/2020	8:08:39	8	263	1.08	1.8	4	BLH	ARL	2	4		South
017 V	1/21/2020	8:09:53	2	3									
018 S	1/21/2020	8:14:06	8	247	0.99	2	4	BLH	ARL	2	3		South
019 S	1/21/2020	8:14:41	9	258	0.99	2	2	BLH	ARL	2	3		South
020 S	1/21/2020	8:16:54	9	252	0.99	2	4	BLH	ARL	2	3		South
021 S	1/21/2020	8:18:08	10	272	1.25	1.5	1	BLH	ARL	2	3		South
022 S	1/21/2020	8:19:51	11	263	0.83	2.5	1	BLH	ARL	2	3		South
023 S	1/21/2020	8:21:27	12	255	1.08	1.8	1	BLH	ARL	2	3		South
024 S	1/21/2020	8:22:41	13	272	1.25	1.5	3	BLH	ARL	2	3		South
025 S	1/21/2020	8:26:43	13	262	1.08	1.8	3	BLH	ARL	2	3		South
026 S	1/21/2020	8:28:15	10	253	0.99	2	1	BLH	ARL	2	3		South
027 S	1/21/2020	8:33:12	14	257	1.08	1.8	1	BLH	ARL	2	3		South
028 S	1/21/2020	8:48:04	15	278	1.47	1.2	1	BLH	ARL	2	3		South
029 S	1/21/2020	8:55:44	15	266	1.25	1.5	1	BLH	ARL	2	3		South
030 S	1/21/2020	8:57:50	16	262	0.8	2.6	1	BLH	ARL	2	3		South
031 S	1/21/2020	8:59:51	17	287	1.39	1.3	1	BLH	ARL	2	3		South
032 P	1/21/2020	9:00:00	KXD	BLH	N								
033 V	1/21/2020	9:00:00	3	3									
034 S	1/21/2020	9:10:14	17	270	1.25	1.5	1	KXD	BLH	3	3		South
035 S	1/21/2020	9:23:23	18	272	1.08	1.8	1	KXD	BLH	3	3		South
036 S	1/21/2020	9:26:02	19	285	1.68	1	2	KXD	BLH	3	3		South
037 S	1/21/2020	9:27:51	20	259	3.65	0.25	1	KXD	BLH	3	3		South
038 S	1/21/2020	9:29:34	19	279	1.47	1.2	2	KXD	BLH	3	3		South
039 S	1/21/2020	9:29:46	21	281	0.71	3	1	KXD	BLH	3	3		South
040 S	1/21/2020	9:32:15	22	288	1.95	0.8	1	KXD	BLH	3	3		South
041 S	1/21/2020	9:35:38	19	269	1.47	1.2	2	KXD	BLH	3	3		South
