001 B	1/22/2020	7:30:05											
002 P	1/22/2020	7:30:05	KXD	BLH	N								
003 V	1/22/2020	7:30:05	2	3									
004 S	1/22/2020	7:31:58	1	253	1.08	1.8	1	KXD	BLH	2	3		South
005 S	1/22/2020	7:39:30	2	240	0.99	2	1	KXD	BLH	2	3		South
006 S	1/22/2020	7:42:22	3	280	1.47	1.2	1	KXD	BLH	2	3		South
007 S	1/22/2020	7:44:19	4	245	1.68	1	1	KXD	BLH	2	3		South
008 S	1/22/2020	7:45:41	3	273	1.25	1.5	2	KXD	BLH	2	3		South
009 V	1/22/2020	7:48:51	3	4									
010 C	1/22/2020	7:49:06	"Fog and haze is rolling in from the north, 275-290 is unreliable"										
011 C	1/22/2020	7:50:47	reticle 2 to the horizon fogged in										
012 C	1/22/2020	7:54:07	"horizon is gone reticle 4 to horizon no vis, 0.5 mile vis only"										
013 V	1/22/2020	7:55:28	3	5									
014 C	1/22/2020	7:58:44	Vis distance is down to .5 nm-fog is heavy										
015 E	1/22/2020	7:59:11											
016 B	1/22/2020	13:30:00											
017 P	1/22/2020	13:30:00	ARL	KXD	N								
018 V	1/22/2020	13:30:00	2	4									
019 S	1/22/2020	13:30:51	5	261	0.41	5.5	1	ARL	KXD	2	4		North
020 S	1/22/2020	13:34:48	6	250	1.25	1.5	1	ARL	KXD	2	4		South
021 S	1/22/2020	13:36:55	7	261	0.99	2	2	ARL	KXD	2	4		South
022 S	1/22/2020	13:40:51	8	260	1.25	1.5	1	ARL	KXD	2	4		South
023 S	1/22/2020	13:46:23	8	243	1.13	1.7	1	ARL	KXD	2	4		South
024 S	1/22/2020	13:47:19	9	245	1.13	1.7	2	ARL	KXD	2	4		South
025 C	1/22/2020	13:52:51	"bino calibration: obs=266, rec=270"										
026 S	1/22/2020	14:03:48	10	284	1.68	1	2	ARL	KXD	2	4		South
027 S	1/22/2020	14:09:43	11	287	1.95	0.8	2	ARL	KXD	2	4		South
028 S	1/22/2020	14:15:51	5	279	0.41	5.5	1	ARL	KXD	2	4	 	North
029 S	1/22/2020	14:17:03	13	274	1.25	1.5	1	ARL	KXD	2	4		South
030 S	1/22/2020	14:19:09	14	281	1.08	1.8	1	ARL	KXD	2	4		South
031 V	1/22/2020	14:20:15	2	3									
033 S	1/22/2020	14:26:45	13	252	1.13	1.7	1	ARL	KXD	2	3		South
034 S	1/22/2020	14:27:42	15	245	1.95	0.8	1	ARL	KXD	2	3		South
035 S	1/22/2020	14:28:37	16	280	1.19	1.6	1	ARL	KXD	2	3		South
036 V	1/22/2020	14:30:49	3	3									
037 S	1/22/2020	14:35:24	16	259	1.08	1.8	1	ARL	KXD	3	3		South
039 S	1/22/2020	14:41:43	18	277	1.25	1.5	2	ARL	KXD	3	3		South
040 S	1/22/2020	14:42:55	19	281	1.95	0.8	1	ARL	KXD	3	3		South
041 S	1/22/2020	14:43:13	20	282	1.57	1.1	3	ARL	KXD	3	3		South
042 S	1/22/2020	14:48:11	21	285	1.25	1.5	1	ARL	KXD	3	3		South
043 S	1/22/2020	14:50:07	20	267	1.25	1.5	3	ARL	KXD	3	3		South
044 S	1/22/2020	14:53:57	20	262	1.08	1.8	3	ARL	KXD	3	3		South
045 S	1/22/2020	14:54:48	22	259	1.31	1.4	2	ARL	KXD	3	3		South
046 S	1/22/2020	14:56:10	23	264	1.25	1.5	1	ARL	KXD	3	3		South
047 S	1/22/2020	14:57:57	21	269	0.99	2	1	ARL	KXD	3	3		South
048 S	1/22/2020	15:00:28	24	270	1.25	1.5	2	ARL	KXD	3	3		South
049 P	1/22/2020	15:00:48	BLH	ARL	N								
050 V	1/22/2020	15:00:48	3	3									
051 S	1/22/2020	15:02:27	20	249	0.99	2	6	BLH	ARL	3	3		South
052 S	1/22/2020	15:08:15	24	254	1.04	1.9	3	BLH	ARL	3	3		South
054 S	1/22/2020	15:12:05	26	275	1.13	1.7	2	BLH	ARL	3	3		South
055 S	1/22/2020	15:20:36	26	253	0.99	2	2	BLH	ARL	3	3		South
