003 V	1/24/2020	7:30:00	3	3									
002 P	1/24/2020	7:30:00	ARL	KXD	N								
001 B	1/24/2020	7:30:00											
004 S	1/24/2020	7:37:27	1	260	0.71	3	1	ARL	KXD	3	3		South
005 S	1/24/2020	7:41:36	2	260	1.25	1.5	1	ARL	KXD	3	3		South
006 S	1/24/2020	7:59:00	3	278	1.25	1.5	1	ARL	KXD	3	3		South
007 S	1/24/2020	8:03:44	3	263	1.13	1.7	1	ARL	KXD	3	3		South
008 V	1/24/2020	8:16:00	4	4									
009 S	1/24/2020	8:17:07	4	286	1.47	1.2	2	ARL	KXD	4	4		South
010 S	1/24/2020	8:18:34	5	285	2.59	0.5	1	ARL	KXD	4	4		South
011 S	1/24/2020	8:22:05	4	275	1.39	1.3	1	ARL	KXD	4	4		South
013 S	1/24/2020	8:25:47	4	263	1.31	1.4	1	ARL	KXD	4	4		South
014 S	1/24/2020	8:30:23	5	271	2.33	0.6	2	ARL	KXD	4	4		South
015 S	1/24/2020	8:45:55	7	272	2.59	0.5	3	ARL	KXD	4	4		South
016 S	1/24/2020	8:56:35	7	255	1.95	0.8	5	ARL	KXD	4	4		South
018 V	1/24/2020	9:00:10	4	4									
017 P	1/24/2020	9:00:10	BLH	ARL	N								
019 S	1/24/2020	9:05:12	8	283	1.68	1	2	BLH	ARL	4	4		South
020 S	1/24/2020	9:14:47	8	269	1.39	1.3	5	BLH	ARL	4	4		South
021 S	1/24/2020	9:30:02	9	290	1.25	1.5	1	BLH	ARL	4	4		South
022 S	1/24/2020	9:36:37	10	290	1.57	1.1	1	BLH	ARL	4	4		South
023 S	1/24/2020	9:37:32	9	284	1.31	1.4	3	BLH	ARL	4	4		South
024 S	1/24/2020	9:45:39	10	280	1.25	1.5	2	BLH	ARL	4	4		South
025 S	1/24/2020	9:45:55	12	278	0.71	3	1	BLH	ARL	4	4		South
027 S	1/24/2020	9:49:41	9	256	1.31	1.4	3	BLH	ARL	4	4		South
028 S	1/24/2020	9:52:13	13	286	0.55	4	1	BLH	ARL	4	4		South
029 S	1/24/2020	9:55:49	10	268	1.08	1.8	2	BLH	ARL	4	4		South
030 S	1/24/2020	9:57:13	14	278	0.99	2	4	BLH	ARL	4	4		South
031 S	1/24/2020	9:58:50	13	267	0.45	5	1	BLH	ARL	4	4		South
032 S	1/24/2020	10:05:17	13	243	0.41	5.5	1	BLH	ARL	4	4		South
033 S	1/24/2020	10:07:32	15	286	0.99	2	3	BLH	ARL	4	4		South
034 S	1/24/2020	10:09:33	14	248	0.92	2.2	4	BLH	ARL	4	4		South
035 S	1/24/2020	10:10:53	16	281	1.25	1.5	1	BLH	ARL	4	4		South
036 S	1/24/2020	10:12:35	15	277	0.89	2.3	3	BLH	ARL	4	4		South
037 S	1/24/2020	10:15:06	17	258	0.71	3	1	BLH	ARL	4	4		South
