001 B	01/31/2020	07:30:00
002 P	01/31/2020	07:30:00	CLP	KXD	N
003 V	01/31/2020	07:30:00	2	3
004 S	01/31/2020	07:44:18	1	244	0.99	2	2	CLP	KXD	2	3		South
005 V	01/31/2020	07:44:21	2	4
006 C	01/31/2020	07:44:47	LOW LYING FOG, HAZY
007 S	01/31/2020	07:46:08	2	290	1.25	1.5	1	CLP	KXD	2	4		South
008 V	01/31/2020	07:54:53	2	4
009 S	01/31/2020	07:58:44	2	259	0.89	2.3	1	CLP	KXD	2	4		South
010 S	01/31/2020	08:04:52	3	261	0.99	2	2	CLP	KXD	2	4		South
011 S	01/31/2020	08:17:26	4	278	0.99	2	2	CLP	KXD	2	4		South
012 V	01/31/2020	08:28:17	2	3
013 S	01/31/2020	08:29:46	5	260	0.92	2.2	2	CLP	KXD	2	3		South
014 S	01/31/2020	08:33:45	6	277	1.04	1.9	1	CLP	KXD	2	3		South
015 V	01/31/2020	08:39:03	2	4
016 C	01/31/2020	08:39:12	FOG SHIFTING BACK AND  FORTH
017 C	01/31/2020	08:42:42	LOSING HORIZON
018 V	01/31/2020	08:43:02	2	5
019 E	01/31/2020	08:43:09
020 B	01/31/2020	09:09:10
021 P	01/31/2020	09:09:10	BLH	CLP	N
022 V	01/31/2020	09:09:10	2	3
023 S	01/31/2020	09:10:18	7	278	1.25	1.5	2	BLH	CLP	2	3		South
024 S	01/31/2020	09:20:35	7	252	0.99	2	4	BLH	CLP	2	3		South
025 V	01/31/2020	09:24:19	2	4
026 C	01/31/2020	09:24:26	HAZY ON HORIZON WITH A LARGER SWELL OBSCURING VIZ
027 S	01/31/2020	09:34:46	8	290	1.04	1.9	1	BLH	CLP	2	4		South
028 S	01/31/2020	09:47:15	8	264	0.99	2	1	BLH	CLP	2	4		South
029 S	01/31/2020	09:57:00	9	285	0.75	2.8	1	BLH	CLP	2	4		South
030 S	01/31/2020	10:00:57	9	272	0.71	3	2	BLH	CLP	2	4		South
031 S	01/31/2020	10:13:07	10	244	0.96	2.1	2	BLH	CLP	2	4		South
032 S	01/31/2020	10:29:48	11	273	0.50	4.5	1	BLH	CLP	2	4		South
033 P	01/31/2020	10:30:46	KXD	BLH	N
034 V	01/31/2020	10:30:46	2	4
035 P	01/31/2020	10:31:08	KXD	BLH	N
036 V	01/31/2020	10:31:08		
037 S	01/31/2020	10:35:08	12	258	1.95	0.8	3	KXD	BLH	2	4		South
038 S	01/31/2020	10:37:51	13	241	0.99	2	1	KXD	BLH	2	4		South
039 S	01/31/2020	10:40:40	14	246	1.47	1.2	1	KXD	BLH	2	4		South
040 S	01/31/2020	10:50:26	15	275	0.26	9	1	KXD	BLH	2	4		South
041 V	01/31/2020	10:57:07	3	4
042 S	01/31/2020	11:14:53	16	285	0.99	2	1	KXD	BLH	3	4		South
043 S	01/31/2020	11:21:09	16	268	0.71	3	1	KXD	BLH	3	4		South
044 S	01/31/2020	11:22:21	17	261	0.55	4	1	KXD	BLH	3	4		South
045 V	01/31/2020	11:25:29	3	3
046 C	01/31/2020	11:30:19	bearing check KXD is 262 and BLH is at 265
047 S	01/31/2020	11:32:13	18	290	1.68	1	2	KXD	BLH	3	3		South
048 S	01/31/2020	11:33:27	19	286	1.57	1.1	2	KXD	BLH	3	3		South
049 S	01/31/2020	11:40:19	20	283	1.68	1	1	KXD	BLH	3	3		South
050 S	01/31/2020	11:56:29	21	253	0.62	3.5	1	KXD	BLH	3	3		South
051 S	01/31/2020	11:57:45	22	285	1.68	1	2	KXD	BLH	3	3		South
052 P	01/31/2020	12:00:20	CLP	KXD	N
053 V	01/31/2020	12:00:20	3	3
054 V	01/31/2020	12:01:02	3	2
055 S	01/31/2020	12:06:31	23	279	1.57	1.1	3	CLP	KXD	3	2		South
056 S	01/31/2020	12:07:20	22	272	1.68	1	2	CLP	KXD	3	2		South
057 S	01/31/2020	12:09:27	24	260	0.92	2.2	1	CLP	KXD	3	2		South
058 S	01/31/2020	12:17:18	25	287	2.12	0.7	1	CLP	KXD	3	2		South
059 S	01/31/2020	12:18:13	24	244	0.92	2.2	2	CLP	KXD	3	2		South
060 S	01/31/2020	12:19:39	23	245	1.25	1.5	3	CLP	KXD	3	2		South
061 S	01/31/2020	12:24:57	26	277	1.68	1	2	CLP	KXD	3	2		South
062 S	01/31/2020	12:30:08	27	251	1.13	1.7	2	CLP	KXD	3	2		South
063 S	01/31/2020	12:32:17	26	272	1.47	1.2	2	CLP	KXD	3	2		South
064 S	01/31/2020	12:33:36	25	274	1.57	1.1	3	CLP	KXD	3	2		South
065 S	01/31/2020	12:41:09	25	265	1.31	1.4	4	CLP	KXD	3	2		South
066 S	01/31/2020	12:48:30	25	254	1.19	1.6	4	CLP	KXD	3	2		South
067 S	01/31/2020	13:04:49	28	271	1.57	1.1	2	CLP	KXD	3	2		South
068 S	01/31/2020	13:07:05	29	290	1.68	1	2	CLP	KXD	3	2		South
069 S	01/31/2020	13:12:25	30	287	1.57	1.1	2	CLP	KXD	3	2		South
070 S	01/31/2020	13:17:41	30	277	1.47	1.2	2	CLP	KXD	3	2		South
071 S	01/31/2020	13:22:43	31	245	0.96	2.1	1	CLP	KXD	3	2		South
072 S	01/31/2020	13:23:46	29	264	0.99	2	2	CLP	KXD	3	2		South
073 S	01/31/2020	13:25:55	32	289	1.68	1	1	CLP	KXD	3	2		South
076 P	01/31/2020	13:31:48	BLH	CLP	N
077 V	01/31/2020	13:31:48	3	2
078 S	01/31/2020	13:34:47	32	275	1.39	1.3	5	BLH	CLP	3	2		South
080 C	01/31/2020	13:41:48	
081 S	01/31/2020	13:44:05	35	274	1.25	1.5	2	BLH	CLP	3	2		South
082 S	01/31/2020	13:44:16	36	282	1.39	1.3	1	BLH	CLP	3	2		South
085 V	01/31/2020	13:48:59	3	2
086 C	01/31/2020	13:49:30	Had to shut computer down, it froze
087 C	01/31/2020	13:50:19	#36: re-sight 1.2 ret @ 272 @1347
088 C	01/31/2020	13:50:55	#35: re-sight 1.6 ret @ 257 (2 GW) @ 1351
089 S	01/31/2020	13:56:51	37	282	1.57	1.1	1	BLH	CLP	3	2		South
090 S	01/31/2020	14:09:15	38	289	2.12	0.7	1	BLH	CLP	3	2		South
091 S	01/31/2020	14:09:41	39	278	0.89	2.3	1	BLH	CLP	3	2		South
092 S	01/31/2020	14:12:03	37	254	1.08	1.8	1	BLH	CLP	3	2		South
