001 B	02/07/2020	07:30:09
002 P	02/07/2020	07:30:09	BLT	MSL	N
003 V	02/07/2020	07:30:09	2	3
004 C	02/07/2020	07:40:18	fog bank farther out, horizon obscured in some areas
005 S	02/07/2020	07:46:03	1	282	1.68	1	1	BLT	MSL	2	3		South
006 S	02/07/2020	08:06:07	1	251	1.25	1.5	1	BLT	MSL	2	3		South
007 S	02/07/2020	08:08:26	2	282	1.25	1.5	1	BLT	MSL	2	3		South
008 S	02/07/2020	08:13:02	1	238	1.25	1.5	2	BLT	MSL	2	3		South
009 S	02/07/2020	08:17:28	2	260	0.99	2	2	BLT	MSL	2	3		South
010 S	02/07/2020	08:26:55	2	232	0.96	2.1	2	BLT	MSL	2	3		South
011 S	02/07/2020	08:31:56	3	286	1.08	1.8	2	BLT	MSL	2	3		South
012 S	02/07/2020	08:36:00	3	278	0.96	2.1	2	BLT	MSL	2	3		South
013 V	02/07/2020	08:36:31	2	2
014 S	02/07/2020	08:41:34	4	267	0.86	2.4	2	BLT	MSL	2	2		South
015 S	02/07/2020	08:58:13	5	278	1.25	1.5	2	BLT	MSL	2	2		South
016 P	02/07/2020	09:00:02	PCF	BLT	N
017 V	02/07/2020	09:00:02	2	2
018 S	02/07/2020	09:03:30	6	261	1.13	1.7	2	PCF	BLT	2	2		South
020 S	02/07/2020	09:11:00	6	250	0.99	2	3	PCF	BLT	2	2		South
023 S	02/07/2020	09:41:35	8	270	1.68	1	2	PCF	BLT	2	2		South
024 S	02/07/2020	09:48:34	8	248	1.47	1.2	2	PCF	BLT	2	2		South
025 S	02/07/2020	10:23:25	9	283	1.39	1.3	1	PCF	BLT	2	2		South
026 S	02/07/2020	10:29:34	10	282	1.08	1.8	1	PCF	BLT	2	2		South
027 P	02/07/2020	10:30:00	MSL	PCF	N
028 V	02/07/2020	10:30:00	2	2
029 S	02/07/2020	10:39:22	10	259	0.99	2	1	MSL	PCF	2	2		South
030 S	02/07/2020	10:40:03	9	244	1.08	1.8	1	MSL	PCF	2	2		South
031 S	02/07/2020	10:42:11	10	246	0.96	2.1	1	MSL	PCF	2	2		South
032 S	02/07/2020	10:47:36	11	228	0.45	5	1	MSL	PCF	2	2		South
033 S	02/07/2020	10:50:14	12	288	1.57	1.1	2	MSL	PCF	2	2		South
034 S	02/07/2020	10:59:11	12	279	1.57	1.1	2	MSL	PCF	2	2		South
035 S	02/07/2020	11:01:45	13	278	0.96	2.1	1	MSL	PCF	2	2		South
036 S	02/07/2020	11:06:09	12	272	1.47	1.2	2	MSL	PCF	2	2		South
037 S	02/07/2020	11:07:16	13	256	0.75	2.8	1	MSL	PCF	2	2		South
038 S	02/07/2020	11:15:11	12	260	1.39	1.3	2	MSL	PCF	2	2		South
039 S	02/07/2020	11:22:02	14	285	1.19	1.6	2	MSL	PCF	2	2		South
040 S	02/07/2020	11:29:12	14	267	1.08	1.8	2	MSL	PCF	2	2		South
041 S	02/07/2020	11:31:41	14	260	1.13	1.7	2	MSL	PCF	2	2		South
042 S	02/07/2020	11:38:40	14	247	1.04	1.9	3	MSL	PCF	2	2		South
043 C	02/07/2020	11:51:47	14 is milling at 233
044 P	02/07/2020	12:00:00	BLT	MSL	N
045 V	02/07/2020	12:00:00	2	2
046 V	02/07/2020	12:05:29	3	2
047 S	02/07/2020	12:12:59	15	270	0.41	5.5	1	BLT	MSL	3	2		North
048 S	02/07/2020	12:18:09	16	285	0.92	2.2	1	BLT	MSL	3	2		South
049 C	02/07/2020	12:19:09	What do do about a whale seen at 5 ret 295 and not seen again?  not entered as a sighting
050 S	02/07/2020	12:19:36	17	290	1.95	0.8	1	BLT	MSL	3	2		South
051 S	02/07/2020	12:21:31	16	279	0.75	2.8	1	BLT	MSL	3	2		South
052 S	02/07/2020	12:23:07	18	273	0.92	2.2	1	BLT	MSL	3	2		South
053 S	02/07/2020	12:24:16	19	271	0.33	7	1	BLT	MSL	3	2		South
054 S	02/07/2020	12:27:39	18	256	0.75	2.8	1	BLT	MSL	3	2		South
055 S	02/07/2020	12:29:57	16	244	0.55	4	1	BLT	MSL	3	2		South
056 S	02/07/2020	12:37:31	17	272	1.13	1.7	1	BLT	MSL	3	2		South
057 V	02/07/2020	12:49:00	4	3
058 P	02/07/2020	13:30:01	PCF	BLT	N
059 V	02/07/2020	13:30:01	4	4
060 S	02/07/2020	13:31:20	20	250	1.68	1	1	PCF	BLT	4	4		South
061 S	02/07/2020	13:33:45	20	246	1.68	1	2	PCF	BLT	4	4		South
062 S	02/07/2020	13:39:02	21	271	0.99	2	1	PCF	BLT	4	4		South
063 S	02/07/2020	13:45:52	21	255	0.89	2.3	1	PCF	BLT	4	4		South
064 S	02/07/2020	13:53:54	21	238	0.83	2.5	1	PCF	BLT	4	4		South
065 S	02/07/2020	14:00:16	22	284	1.57	1.1	1	PCF	BLT	4	4		South
066 S	02/07/2020	14:08:38	22	275	1.31	1.4	1	PCF	BLT	4	4		South
067 S	02/07/2020	14:15:40	22	262	1.04	1.9	2	PCF	BLT	4	4		South
068 S	02/07/2020	14:23:53	22	242	1.04	1.9	3	PCF	BLT	4	4		South
069 C	02/07/2020	14:23:57	starting to lose the horizon with light fog/haze bank
070 S	02/07/2020	14:24:53	23	284	1.80	0.9	3	PCF	BLT	4	4		South
071 S	02/07/2020	14:30:20	24	256	1.31	1.4	3	PCF	BLT	4	4		South
072 C	02/07/2020	14:31:25	horizon line questionable in some parts of view
073 S	02/07/2020	14:34:30	24	240	1.25	1.5	3	PCF	BLT	4	4		South
074 S	02/07/2020	14:38:52	23	248	1.31	1.4	3	PCF	BLT	4	4		South
075 S	02/07/2020	14:48:04	25	255	1.25	1.5	1	PCF	BLT	4	4		South
076 C	02/07/2020	14:53:52	have lost sight of horizon over most of the zone
077 V	02/07/2020	14:56:17	4	5
078 E	02/07/2020	14:56:23
079 C	02/07/2020	14:58:25	fog
080 C	02/07/2020	15:56:57	still foggy, calling it a day
