#edited
001 B	01/13/2022	07:30:00
002 P	01/13/2022	07:30:00	AEH	ARL	N
003 V	01/13/2022	07:30:00	2	2
004 C	01/13/2022	07:35:06	Bino Calibration: PO:272; DR:269
005 V	01/13/2022	07:43:14	3	2
006 S	01/13/2022	07:55:59	1	288	0.99	2	1	AEH	ARL	3	2		South
007 S	01/13/2022	08:05:14	2	258	0.55	4	1	AEH	ARL	3	2		South
008 S	01/13/2022	08:05:53	1	256	0.71	3	1	AEH	ARL	3	2		South
009 S	01/13/2022	08:06:30	3	274	0.99	2	1	AEH	ARL	3	2		South
010 S	01/13/2022	08:11:49	3	258	0.83	2.5	1	AEH	ARL	3	2		South
011 S	01/13/2022	08:14:48	4	289	0.83	2.5	1	AEH	ARL	3	2		South
012 S	01/13/2022	08:16:02	5	289	1.08	1.8	1	AEH	ARL	3	2		South
013 S	01/13/2022	08:25:06	5	268	0.83	2.5	2	AEH	ARL	3	2		South
014 S	01/13/2022	08:35:26	6	288	1.39	1.3	1	AEH	ARL	3	2		South
015 S	01/13/2022	08:36:40	7	253	0.67	3.2	4	AEH	ARL	3	2		South
016 S	01/13/2022	08:40:50	8	248	0.92	2.2	1	AEH	ARL	3	2		South
017 S	01/13/2022	08:47:34	6	262	1.25	1.5	2	AEH	ARL	3	2		South
018 S	01/13/2022	08:53:23	9	278	1.68	1	2	AEH	ARL	3	2		South
019 P	01/13/2022	09:00:00	CLP	AEH	N
020 V	01/13/2022	09:00:00	3	2
021 C	01/13/2022	09:01:56	Calibration PO: 271; DR 272
022 S	01/13/2022	09:04:34	10	269	1.47	1.2	2	CLP	AEH	3	2		South
023 S	01/13/2022	09:06:18	11	249	0.99	2	1	CLP	AEH	3	2		South
025 S	01/13/2022	09:08:03	12	287	1.04	1.9	1	CLP	AEH	3	2		South
026 S	01/13/2022	09:11:58	13	274	1.25	1.5	1	CLP	AEH	3	2		South
027 S	01/13/2022	09:14:36	12	265	0.83	2.5	1	CLP	AEH	3	2		South
028 S	01/13/2022	09:43:24	14	275	1.25	1.5	2	CLP	AEH	3	2		South
029 S	01/13/2022	09:45:26	15	284	1.25	1.5	1	CLP	AEH	3	2		South
030 S	01/13/2022	09:47:40	16	270	2.59	0.5	1	CLP	AEH	3	2		South
031 S	01/13/2022	09:53:12	15	269	0.99	2	1	CLP	AEH	3	2		South
032 S	01/13/2022	09:56:28	17	289	1.57	1.1	2	CLP	AEH	3	2		South
033 S	01/13/2022	10:02:02	18	273	1.13	1.7	1	CLP	AEH	3	2		South
034 S	01/13/2022	10:05:35	17	271	1.13	1.7	3	CLP	AEH	3	2		South
036 S	01/13/2022	10:07:44	18	264	2.59	0.5	1	CLP	AEH	3	2		South
038 S	01/13/2022	10:09:27	18	262	2.59	0.5	2	CLP	AEH	3	2		South
039 S	01/13/2022	10:10:45	17	254	1.25	1.5	3	CLP	AEH	3	2		South
040 S	01/13/2022	10:11:20	21	240	0.99	2	1	CLP	AEH	3	2		South
042 S	01/13/2022	10:14:51	22	243	0.99	2	2	CLP	AEH	3	2		South
043 S	01/13/2022	10:16:15	23	256	2.33	0.6	1	CLP	AEH	3	2		South
044 S	01/13/2022	10:22:50	24	261	1.08	1.8	1	CLP	AEH	3	2		South
045 S	01/13/2022	10:24:20	24	257	0.99	2	2	CLP	AEH	3	2		South
046 S	01/13/2022	10:27:24	25	265	1.25	1.5	2	CLP	AEH	3	2		South
047 P	01/13/2022	10:30:00	ARL	CLP	N
048 V	01/13/2022	10:30:00	3	2
049 S	01/13/2022	10:31:49	26	245	1.68	1	3	ARL	CLP	3	2		South
050 C	01/13/2022	10:32:51	Calibration: Observer 268; Recorder 272
051 S	01/13/2022	10:39:08	27	261	1.47	1.2	1	ARL	CLP	3	2		South
052 S	01/13/2022	10:41:45	28	242	1.47	1.2	5	ARL	CLP	3	2		South
053 V	01/13/2022	10:46:51	4	2
055 S	01/13/2022	11:00:14	29	289	2.12	0.7	1	ARL	CLP	4	2		South
056 S	01/13/2022	11:05:55	30	275	1.95	0.8	3	ARL	CLP	4	2		South
057 S	01/13/2022	11:17:04	31	286	2.59	0.5	2	ARL	CLP	4	2		South
058 S	01/13/2022	11:17:57	32	287	3.37	0.3	4	ARL	CLP	4	2		South
059 S	01/13/2022	11:23:34	33	285	2.59	0.5	2	ARL	CLP	4	2		South
060 S	01/13/2022	11:34:05	33	271	2.59	0.5	2	ARL	CLP	4	2		South
061 V	01/13/2022	11:36:26	4	3
062 S	01/13/2022	11:38:28	31	253	1.68	1	2	ARL	CLP	4	3		South
063 S	01/13/2022	11:51:43	34	287	1.95	0.8	3	ARL	CLP	4	3		South
064 P	01/13/2022	12:00:00	AEH	ARL	N
065 V	01/13/2022	12:00:00	4	4
066 S	01/13/2022	12:06:44	34	251	1.47	1.2	3	AEH	ARL	4	4		South
067 S	01/13/2022	12:16:10	35	286	1.68	1	1	AEH	ARL	4	4		South
068 S	01/13/2022	12:26:19	35	270	1.68	1	1	AEH	ARL	4	4		South
069 S	01/13/2022	12:33:56	36	288	1.68	1	1	AEH	ARL	4	4		South
070 S	01/13/2022	12:35:07	35	248	1.68	1	2	AEH	ARL	4	4		South
071 C	01/13/2022	12:35:26	calibration: PO:270; DR 269
072 S	01/13/2022	12:59:49	37	286	1.47	1.2	2	AEH	ARL	4	4		South
073 S	01/13/2022	13:07:58	38	268	1.68	1	1	AEH	ARL	4	4		South
074 S	01/13/2022	13:08:33	37	264	1.25	1.5	4	AEH	ARL	4	4		South
075 S	01/13/2022	13:21:30	39	263	0.55	4	3	AEH	ARL	4	4		South
076 S	01/13/2022	13:25:04	40	289	2.12	0.7	1	AEH	ARL	4	4		South
077 P	01/13/2022	13:30:00	CLP	AEH	N
078 V	01/13/2022	13:30:00	4	4
079 S	01/13/2022	13:32:03	41	275	1.47	1.2	2	CLP	AEH	4	4		South
080 S	01/13/2022	13:36:28	42	275	2.59	0.5	1	CLP	AEH	4	4		South
081 S	01/13/2022	13:40:03	43	263	1.47	1.2	2	CLP	AEH	4	4		South
082 S	01/13/2022	13:41:33	44	277	1.39	1.3	1	CLP	AEH	4	4		South
083 S	01/13/2022	13:51:47	40	246	1.47	1.2	1	CLP	AEH	4	4		South
084 S	01/13/2022	13:57:14	44	242	1.25	1.5	2	CLP	AEH	4	4		South
085 S	01/13/2022	14:03:35	45	252	1.57	1.1	5	CLP	AEH	4	4		South
086 S	01/13/2022	14:08:55	46	249	0.41	5.5	3	CLP	AEH	4	4		South
087 S	01/13/2022	14:16:10	47	266	1.13	1.7	1	CLP	AEH	4	4		South
088 S	01/13/2022	14:22:52	48	260	1.19	1.6	1	CLP	AEH	4	4		South
089 S	01/13/2022	14:24:04	49	248	0.99	2	1	CLP	AEH	4	4		South
090 S	01/13/2022	14:25:20	50	241	1.47	1.2	1	CLP	AEH	4	4		South
091 S	01/13/2022	14:46:09	51	277	1.04	1.9	3	CLP	AEH	4	4		South
092 S	01/13/2022	14:54:10	52	283	1.68	1	5	CLP	AEH	4	4		South
093 S	01/13/2022	14:59:23	53	251	0.99	2	3	CLP	AEH	4	4		South
094 P	01/13/2022	15:00:00	CLP	ARL	N
095 V	01/13/2022	15:00:00	4	4
096 S	01/13/2022	15:00:38	53	251	0.99	2	5	CLP	ARL	4	4		South
097 E	01/13/2022	15:00:40
