#edited
001 B	01/24/2022	07:30:00
002 P	01/24/2022	07:30:00	ARL	DWW	N
003 V	01/24/2022	07:30:00	2	3
004 S	01/24/2022	07:32:21	1	261	1.08	1.8	1	ARL	DWW	2	3		South
005 S	01/24/2022	07:36:10	2	256	1.39	1.3	2	ARL	DWW	2	3		South
006 S	01/24/2022	07:42:16	2	242	1.39	1.3	2	ARL	DWW	2	3		South
007 S	01/24/2022	07:44:45	3	245	1.08	1.8	1	ARL	DWW	2	3		South
008 S	01/24/2022	07:46:16	4	267	1.31	1.4	1	ARL	DWW	2	3		South
009 S	01/24/2022	07:49:29	4	258	1.19	1.6	1	ARL	DWW	2	3		South
010 S	01/24/2022	07:52:10	4	249	1.19	1.6	2	ARL	DWW	2	3		South
011 S	01/24/2022	08:01:00	5	244	1.13	1.7	1	ARL	DWW	2	3		South
012 S	01/24/2022	08:06:37	6	253	1.68	1	1	ARL	DWW	2	3		South
013 S	01/24/2022	08:13:10	7	244	1.31	1.4	1	ARL	DWW	2	3		South
014 V	01/24/2022	08:13:39	3	3
015 S	01/24/2022	08:17:43	8	279	0.58	3.8	1	ARL	DWW	3	3		South
016 S	01/24/2022	08:19:10	8	248	0.50	4.5	2	ARL	DWW	3	3		South
017 S	01/24/2022	08:20:53	9	268	0.49	4.6	2	ARL	DWW	3	3		South
018 S	01/24/2022	08:22:31	10	280	1.08	1.8	2	ARL	DWW	3	3		South
019 S	01/24/2022	08:32:32	11	250	2.33	0.6	3	ARL	DWW	3	3		South
020 S	01/24/2022	08:33:19	12	257	0.99	2	2	ARL	DWW	3	3		South
021 S	01/24/2022	08:35:50	13	275	0.99	2	2	ARL	DWW	3	3		South
022 S	01/24/2022	08:37:06	12	242	0.99	2	2	ARL	DWW	3	3		South
023 S	01/24/2022	08:38:08	13	267	0.92	2.2	2	ARL	DWW	3	3		South
024 S	01/24/2022	08:42:12	13	249	0.78	2.7	2	ARL	DWW	3	3		South
025 S	01/24/2022	08:46:21	14	253	0.78	2.7	1	ARL	DWW	3	3		South
026 S	01/24/2022	08:56:11	15	282	1.08	1.8	1	ARL	DWW	3	3		South
027 S	01/24/2022	08:59:45	16	283	0.89	2.3	2	ARL	DWW	3	3		South
028 P	01/24/2022	09:00:00	DXB	ARL	N
029 V	01/24/2022	09:00:00	3	3
030 C	01/24/2022	09:02:06	Bino calibration: PO=268; DR=265
031 S	01/24/2022	09:05:41	15	254	0.83	2.5	1	DXB	ARL	3	3		South
032 S	01/24/2022	09:07:39	16	259	0.75	2.8	2	DXB	ARL	3	3		South
033 V	01/24/2022	09:27:43	4	3
034 S	01/24/2022	09:36:49	17	242	2.12	0.7	1	DXB	ARL	4	3		South
035 V	01/24/2022	09:48:41	4	4
036 V	01/24/2022	10:29:34	5	5
037 E	01/24/2022	10:30:00
