001	B	02/02/2023	07:30:00	DWW	ACH									
002	V	02/02/2023	07:30:00	2	4									
003	S	02/02/2023	07:32:39	1	241	0.99	2	2	DWW	ACH	2	4		South
004	S	02/02/2023	07:36:13	2	270	0.78	2.7	1	DWW	ACH	2	4		South
005	S	02/02/2023	07:40:37	2	251	0.75	2.8	1	DWW	ACH	2	4		South
006	S	02/02/2023	07:42:16	3	286	1.8	0.9	2	DWW	ACH	2	4		South
007	S	02/02/2023	07:51:18	3	277	1.8	0.9	3	DWW	ACH	2	4		South
008	S	02/02/2023	07:59:29	4	280	1.68	1	1	DWW	ACH	2	4		South
009	S	02/02/2023	08:00:04	3	266	1.47	1.2	4	DWW	ACH	2	4		South
010	S	02/02/2023	08:06:26	3	253	1.25	1.5	4	DWW	ACH	2	4		South
011	S	02/02/2023	08:10:43	4	257	1.25	1.5	2	DWW	ACH	2	4		South
012	S	02/02/2023	08:19:57	5	280	1.47	1.2	1	DWW	ACH	2	4		South
013	S	02/02/2023	08:24:52	5	271	1.47	1.2	1	DWW	ACH	2	4		South
026	V	02/02/2023	08:33:10	2	4									
027	S	02/02/2023	08:33:54	7	285	1.19	1.6	1	DWW	ACH	2	4		South
029	S	02/02/2023	08:39:32	7	276	1.19	1.6	2	DWW	ACH	2	4		South
030	S	02/02/2023	08:40:34	7	274	1.19	1.6	3	DWW	ACH	2	4		South
031	S	02/02/2023	08:41:55	8	285	1.8	0.9	1	DWW	ACH	2	4		South
032	S	02/02/2023	08:44:03	9	272	0.99	2	1	DWW	ACH	2	4		South
033	S	02/02/2023	08:48:10	8	276	1.47	1.2	2	DWW	ACH	2	4		South
034	S	02/02/2023	08:57:04	8	260	1.31	1.4	2	DWW	ACH	2	4		South
035	P	02/02/2023	09:00:00	DXB	DWW	N								
036	V	02/02/2023	09:00:00	2	3									
037	S	02/02/2023	09:02:37	10	258	1.8	0.9	1	DXB	DWW	2	3		South
038	S	02/02/2023	09:06:29	11	256	1.08	1.8	2	DXB	DWW	2	3		South
039	S	02/02/2023	09:11:05	11	245	0.99	2	2	DXB	DWW	2	3		South
040	S	02/02/2023	09:30:45	12	285	1.68	1	1	DXB	DWW	2	3		South
042	V	02/02/2023	09:31:30	2	4									
044	S	02/02/2023	09:33:15	12	281	1.68	1	1	DXB	DWW	2	4		South
045	S	02/02/2023	09:34:13	12	280	1.68	1	4	DXB	DWW	2	4		South
046	S	02/02/2023	09:38:15	12	272	1.39	1.3	4	DXB	DWW	2	4		South
047	S	02/02/2023	09:43:13	13	270	1.39	1.3	1	DXB	DWW	2	4		South
048	S	02/02/2023	09:44:16	13	266	1.39	1.3	2	DXB	DWW	2	4		South
049	S	02/02/2023	09:45:21	12	258	1.25	1.5	4	DXB	DWW	2	4		South
050	S	02/02/2023	09:49:51	12	246	1.25	1.5	4	DXB	DWW	2	4		South
051	S	02/02/2023	09:52:22	13	253	1.39	1.3	2	DXB	DWW	2	4		South
052	S	02/02/2023	09:55:24	13	244	1.39	1.3	2	DXB	DWW	2	4		South
053	S	02/02/2023	09:56:34	14	282	1.08	1.8	2	DXB	DWW	2	4		South
054	S	02/02/2023	09:58:01	15	254	1.13	1.7	1	DXB	DWW	2	4		South
055	S	02/02/2023	10:00:07	16	289	1.57	1.1	2	DXB	DWW	2	4		South
056	S	02/02/2023	10:04:55	17	274	1.13	1.7	1	DXB	DWW	2	4		South
057	S	02/02/2023	10:07:03	16	279	1.47	1.2	2	DXB	DWW	2	4		South
058	S	02/02/2023	10:08:04	14	251	0.99	2	2	DXB	DWW	2	4		South
059	S	02/02/2023	10:10:32	16	272	1.31	1.4	2	DXB	DWW	2	4		South
060	S	02/02/2023	10:15:31	16	261	1.25	1.5	2	DXB	DWW	2	4		South
061	S	02/02/2023	10:22:48	18	266	1.25	1.5	1	DXB	DWW	2	4		South
062	P	02/02/2023	10:30:00	ACH	DXB	N								
063	V	02/02/2023	10:30:00	2	4									
064	S	02/02/2023	10:56:19	19	290	2.59	0.5	2	ACH	DXB	2	4		South
065	S	02/02/2023	11:03:40	19	285	2.59	0.5	2	ACH	DXB	2	4		South
066	V	02/02/2023	11:04:57	3	4									
067	S	02/02/2023	11:09:18	19	280	2.33	0.6	2	ACH	DXB	3	4		South
068	S	02/02/2023	11:09:51	20	288	2.59	0.5	1	ACH	DXB	3	4		South
069	S	02/02/2023	11:11:52	19	277	2.33	0.6	2	ACH	DXB	3	4		South
070	S	02/02/2023	11:13:16	20	285	2.59	0.5	1	ACH	DXB	3	4		South
071	S	02/02/2023	11:17:04	19	270	2.33	0.6	2	ACH	DXB	3	4		South
072	S	02/02/2023	11:22:24	20	275	2.59	0.5	1	ACH	DXB	3	4		South
073	S	02/02/2023	11:29:49	21	264	1.68	1	2	ACH	DXB	3	4		South
074	S	02/02/2023	11:33:45	20	266	2.59	0.5	1	ACH	DXB	3	4		South
075	S	02/02/2023	11:35:17	21	256	1.68	1	2	ACH	DXB	3	4		South
076	V	02/02/2023	11:37:35	4	4									
077	V	02/02/2023	12:00:00	5	4									
078	E	02/02/2023	12:00:00											
