001	C	02/24/2023	07:59:28	rain delayed start										
002	B	02/24/2023	08:02:51											
003	P	02/24/2023	08:02:51	DWW	SRB	N								
004	V	02/24/2023	08:02:51	3	4									
006	V	02/24/2023	08:57:13	4	4									
007	P	02/24/2023	09:00:00	KAF	DWW	N								
008	V	02/24/2023	09:01:04	4	4									
011	V	02/24/2023	09:02:20	5	5									
012	E	02/24/2023	09:02:32											
013	B	02/24/2023	11:02:06											
014	P	02/24/2023	11:02:06	SRB	KAF	N								
015	V	02/24/2023	11:02:06	3	3									
016	V	02/24/2023	11:50:51	3	4									
017	P	02/24/2023	12:00:00	DWW	SRB	N								
018	V	02/24/2023	12:00:01	3	4									
019	V	02/24/2023	12:28:23	3	5									
020	E	02/24/2023	12:28:38											
