#edited
002 B	01/08/2024	07:30:00
003 P	01/08/2024	07:30:00	ACH	ARL	N
004 V	01/08/2024	07:30:00	2	3
005 S	01/08/2024	07:33:36	1	250	0.62	3.5	1	ACH	ARL	2	3		South
006 C	01/08/2024	07:35:39	Bino calibration PO 266 DR 267
007 E	01/08/2024	07:50:53
008 C	01/08/2024	08:02:13	Stop effort for Cal fire briefing from Robert.
009 B	01/08/2024	08:02:44
010 P	01/08/2024	08:02:44	ACH	ARL	N
011 V	01/08/2024	08:02:44	3	3
012 S	01/08/2024	08:03:36	2	257	0.92	2.2	2	ACH	ARL	3	3		South
013 S	01/08/2024	08:18:50	3	270	0.99	2	3	ACH	ARL	3	3		South
014 S	01/08/2024	08:19:24	4	270	0.45	5	2	ACH	ARL	3	3		South
015 C	01/08/2024	08:28:02	Group 4 is a MC pair
016 S	01/08/2024	08:46:40	5	282	0.67	3.2	1	ACH	ARL	3	3		South
017 S	01/08/2024	08:54:47	5	241	0.55	4	1	ACH	ARL	3	3		South
018 S	01/08/2024	08:58:48	6	261	1.47	1.2	1	ACH	ARL	3	3		South
019 P	01/08/2024	09:00:00	ACB	ACH	N
020 V	01/08/2024	09:00:00	3	2
021 S	01/08/2024	09:19:34	7	264	1.25	1.5	1	ACB	ACH	3	2		South
022 S	01/08/2024	09:24:30	7	252	0.99	2	2	ACB	ACH	3	2		South
023 S	01/08/2024	09:39:49	8	285	1.25	1.5	1	ACB	ACH	3	2		South
024 S	01/08/2024	09:47:20	9	275	1.39	1.3	1	ACB	ACH	3	2		South
025 S	01/08/2024	09:59:25	10	274	2.03	0.75	2	ACB	ACH	3	2		South
026 S	01/08/2024	10:03:43	11	280	1.13	1.7	1	ACB	ACH	3	2		South
027 S	01/08/2024	10:10:14	11	263	0.99	2	1	ACB	ACH	3	2		South
028 S	01/08/2024	10:25:28	12	265	0.99	2	1	ACB	ACH	3	2		South
029 P	01/08/2024	10:30:00	ARL	ACB	N
030 V	01/08/2024	10:30:00	3	2
031 S	01/08/2024	10:44:29	13	278	1.13	1.7	1	ARL	ACB	3	2		South
032 S	01/08/2024	10:50:42	14	264	1.25	1.5	1	ARL	ACB	3	2		South
033 S	01/08/2024	10:52:14	15	283	1.47	1.2	2	ARL	ACB	3	2		South
034 V	01/08/2024	10:57:14	4	2
035 S	01/08/2024	11:03:51	15	257	1.08	1.8	3	ARL	ACB	4	2		South
036 S	01/08/2024	11:10:30	16	258	1.25	1.5	2	ARL	ACB	4	2		South
037 S	01/08/2024	11:23:16	17	280	1.39	1.3	1	ARL	ACB	4	2		South
038 S	01/08/2024	11:32:58	17	256	1.13	1.7	1	ARL	ACB	4	2		South
039 S	01/08/2024	11:50:41	18	278	1.31	1.4	2	ARL	ACB	4	2		South
040 S	01/08/2024	11:56:37	19	248	0.92	2.2	1	ARL	ACB	4	2		South
041 P	01/08/2024	12:00:00	ACH	ARL	N
042 V	01/08/2024	12:00:00	4	2
043 S	01/08/2024	12:26:38	20	284	0.99	2	1	ACH	ARL	4	2		South
044 S	01/08/2024	12:43:54	21	279	0.45	5	1	ACH	ARL	4	2		South
045 V	01/08/2024	13:01:49	4	3
046 S	01/08/2024	13:02:58	22	286	1.47	1.2	1	ACH	ARL	4	3		South
047 S	01/08/2024	13:09:53	23	271	1.68	1	3	ACH	ARL	4	3		South
048 S	01/08/2024	13:18:39	22	238	1.25	1.5	1	ACH	ARL	4	3		South
049 S	01/08/2024	13:20:40	23	251	1.25	1.5	3	ACH	ARL	4	3		South
050 P	01/08/2024	13:30:00	ACB	ACH	N
051 V	01/08/2024	13:30:00	4	3
052 S	01/08/2024	13:35:08	24	276	0.99	2	1	ACB	ACH	4	3		South
053 C	01/08/2024	13:41:37	13 reticle, 270 bearing Tursiops BHL 6 8 4 northbound
054 S	01/08/2024	13:54:46	25	269	0.99	2	1	ACB	ACH	4	3		South
055 S	01/08/2024	13:58:17	26	258	1.57	1.1	1	ACB	ACH	4	3		South
056 P	01/08/2024	15:00:00	ARL	ACB	N
057 V	01/08/2024	15:00:00	4	3
058 S	01/08/2024	15:07:52	27	251	2.59	0.5	3	ARL	ACB	4	3		South
059 S	01/08/2024	16:21:31	28	274	1.25	1.5	2	ARL	ACB	4	3		South
060 C	01/08/2024	16:22:22	unid dolphins, likely G gri -- 4 reticles 280; BHL 20-25-15; traveling north
061 E	01/08/2024	16:30:00
