#edited
002 B	01/10/2024	07:30:00
003 P	01/10/2024	07:30:00	ARL	ACB	N
004 V	01/10/2024	07:30:00	3	4
005 S	01/10/2024	07:31:11	1	267	1.95	0.8	4	ARL	ACB	3	4		South
006 S	01/10/2024	07:33:08	2	250	0.92	2.2	3	ARL	ACB	3	4		South
007 S	01/10/2024	07:37:51	3	264	1.08	1.8	2	ARL	ACB	3	4		South
008 S	01/10/2024	07:47:36	4	264	1.08	1.8	2	ARL	ACB	3	4		South
009 S	01/10/2024	08:03:48	5	285	1.47	1.2	1	ARL	ACB	3	4		South
010 S	01/10/2024	08:13:29	6	279	1.57	1.1	1	ARL	ACB	3	4		South
011 V	01/10/2024	08:17:20	2	3
012 S	01/10/2024	08:53:47	7	260	1.47	1.2	2	ARL	ACB	2	3		South
013 P	01/10/2024	09:00:00	ACH	ARL	N
014 V	01/10/2024	09:00:00	2	3
017 S	01/10/2024	09:15:56	8	260	0.99	2	1	ACH	ARL	2	3		South
018 S	01/10/2024	09:20:38	9	241	0.45	5	1	ACH	ARL	2	3		South
019 S	01/10/2024	09:25:18	10	290	1.25	1.5	1	ACH	ARL	2	3		South
020 S	01/10/2024	09:39:47	11	282	0.99	2	1	ACH	ARL	2	3		South
021 S	01/10/2024	09:47:30	11	268	0.75	2.8	3	ACH	ARL	2	3		South
023 S	01/10/2024	09:56:24	11	246	0.65	3.3	3	ACH	ARL	2	3		South
024 S	01/10/2024	10:10:27	13	271	0.99	2	2	ACH	ARL	2	3		South
025 S	01/10/2024	10:15:14	14	277	0.83	2.5	1	ACH	ARL	2	3		South
026 S	01/10/2024	10:17:52	13	243	0.99	2	2	ACH	ARL	2	3		South
027 P	01/10/2024	10:30:00	ACB	ACH	N
028 V	01/10/2024	10:30:00	2	3
029 S	01/10/2024	10:32:45	15	279	1.57	1.1	4	ACB	ACH	2	3		South
030 S	01/10/2024	10:35:04	16	274	1.08	1.8	3	ACB	ACH	2	3		South
031 C	01/10/2024	10:40:51	Grampus northbound 244 7.5 reticles BHL 4-8-3
032 S	01/10/2024	10:47:25	15	250	1.08	1.8	4	ACB	ACH	2	3		South
033 S	01/10/2024	10:47:35	16	247	0.92	2.2	3	ACB	ACH	2	3		South
034 S	01/10/2024	10:56:48	17	290	1.8	0.9	1	ACB	ACH	2	3		South
035 S	01/10/2024	11:08:20	18	276	0.53	4.2	1	ACB	ACH	2	3		South
036 S	01/10/2024	11:08:37	17	274	1.47	1.2	1	ACB	ACH	2	3		South
037 V	01/10/2024	11:45:32	2	4
038 V	01/10/2024	11:53:39	2	5
039 C	01/10/2024	11:53:55	Fog.
040 E	01/10/2024	11:54:10
041 B	01/10/2024	12:34:24
042 P	01/10/2024	12:34:24	ARL	ACB	N
043 V	01/10/2024	12:34:24	3	3
044 S	01/10/2024	12:39:03	19	256	0.96	2.1	2	ARL	ACB	3	3		South
045 S	01/10/2024	12:41:39	20	254	1.47	1.2	1	ARL	ACB	3	3		South
046 S	01/10/2024	13:05:35	21	276	1.57	1.1	3	ARL	ACB	3	3		South
047 V	01/10/2024	13:24:05	3	4
048 S	01/10/2024	13:24:31	22	277	1.68	1	1	ARL	ACB	3	4		South
049 E	01/10/2024	13:25:44
050 C	01/10/2024	13:25:49	fog
