Season,Median_Date
1967/1968,1968-01-08
1968/1969,1969-01-08
1969/1970,1970-01-05
1970/1971,1971-01-08
1971/1972,1972-01-09
1972/1973,1973-01-13
1973/1974,1974-01-09
1974/1975,1975-01-07
1975/1976,1976-01-04
1976/1977,1977-01-08
1977/1978,1978-01-06
1978/1979,1979-01-07
1979/1980,1980-01-10
1980/1981,NA
1981/1982,NA
1982/1983,NA
1983/1984,NA
1984/1985,1985-01-14
1985/1986,1986-01-14
1986/1987,NA
1987/1988,1988-01-12
1988/1989,NA
1989/1990,NA
1990/1991,NA
1991/1992,NA
1992/1993,1993-01-13
1993/1994,1994-01-18
1994/1995,NA
1995/1996,1996-01-16
1996/1997,NA
1997/1998,1998-01-18
1998/1999,NA
1999/2000,NA
2000/2001,NA
2001/2002,NA
2002/2003,NA
2003/2004,NA
2004/2005,NA
2005/2006,NA
