"","Season","total.mean","total.CV","total.median","total.LCL","total.UCL"
"1","2006/2007",22155.5542857143,7.06569055833056,21990,19860,25406.25
"2","2007/2008",20638.5914285714,10.7206719972306,20200,17570,25955.75
"3","2009/2010",21693.7142857143,4.70699640906064,21690,19764.75,23720
"4","2010/2011",22618.6942857143,4.67550284673624,22620,20604.75,24725.25
"5","2014/2015",24770.8828571429,4.79607650845072,24760,22494.75,27090
"6","2015/2016",29256.2514285714,4.90242872867776,29240,26569.5,32275.25
"7","2019/2020",21355.2257142857,4.7733919862933,21350,19410,23385.25
"8","2021/2022",18244.8228571429,5.01283045015614,18225,16520,20105.25
"9","2022/2023",15482.52,4.93307151137227,15470,14040,17020
"10","2023/2024",21238.4142857143,5.19039485981342,21210,19150,23480
"11","2024/2025",13784.9542857143,5.2615250677943,13770,12440,15300
