2006/2007 2007/2008 2009/2010 2010/2011 2014/2015 2015/2016 2019/2020 2021/2022 2022/2023 2023/2024 2024/2025
2006/2007 0.00860776814069239 0.0018637408865236 0.00181885105902432 0.00171156052667925 0.00182692893843074 0.00171841729808694 0.00175795708036419 0.00177942204555125 0.00181412014222409 0.00181548079311712 0.00185069229184132
2007/2008 0.0018637408865236 0.00576460015184102 0.00184141224108273 0.00190123642726495 0.00165679057608917 0.00209229217740885 0.00189789739364196 0.00191272451782246 0.00185928569583287 0.00199232585319144 0.00198601758098848
2009/2010 0.00181885105902432 0.00184141224108273 0.00225315636162895 0.00170595679050006 0.00182718115019946 0.00173286700555669 0.00176740764554727 0.00173934320461149 0.00176955418791014 0.00182067047708692 0.00180623262579384
2010/2011 0.00171156052667925 0.00190123642726495 0.00170595679050006 0.00206749993791589 0.0018048553749145 0.00175540805000611 0.00171768990378177 0.00168650145258598 0.00173222151786462 0.00174734296210238 0.0017589637906424
2014/2015 0.00182692893843074 0.00165679057608917 0.00182718115019946 0.0018048553749145 0.00296579933487175 0.00171297113798617 0.00179102009756696 0.00175091751136725 0.0018833381729565 0.00185833819457686 0.00184326461083107
2015/2016 0.00171841729808694 0.00209229217740885 0.00173286700555669 0.00175540805000611 0.00171297113798617 0.00238182094733592 0.00183324760046888 0.00178805699838724 0.00186164695178304 0.00186947065843195 0.0019078537702661
2019/2020 0.00175795708036419 0.00189789739364196 0.00176740764554727 0.00171768990378177 0.00179102009756696 0.00183324760046888 0.00227295782674199 0.0017770549111643 0.00182499209921586 0.00185301455174436 0.00183209138728711
2021/2022 0.00177942204555125 0.00191272451782246 0.00173934320461149 0.00168650145258598 0.00175091751136725 0.00178805699838724 0.0017770549111643 0.00254875503658568 0.0017692637613663 0.001795163954884 0.00181165202966479
2022/2023 0.00181412014222409 0.00185928569583287 0.00176955418791014 0.00173222151786462 0.0018833381729565 0.00186164695178304 0.00182499209921586 0.0017692637613663 0.00240036803328853 0.00190753898269085 0.00193912901781659
2023/2024 0.00181548079311712 0.00199232585319144 0.00182067047708692 0.00174734296210238 0.00185833819457686 0.00186947065843195 0.00185301455174436 0.001795163954884 0.00190753898269085 0.00260228355554688 0.00201073678487389
2024/2025 0.00185069229184132 0.00198601758098848 0.00180623262579384 0.0017589637906424 0.00184326461083107 0.0019078537702661 0.00183209138728711 0.00181165202966479 0.00193912901781659 0.00201073678487389 0.00282440568302705
